scripts/finding-gate/SelfTest.php	1180	two cases
scripts/finding-gate/SelfTest.php	1627	one file per differing surface
scripts/finding-gate/SelfTest.php	1660	one control
scripts/finding-gate/SelfTest.php	1770	one naming no surface
scripts/finding-gate/SelfTest.php	1789	one on a surface
scripts/finding-gate/SelfTest.php	2131	one surface
scripts/finding-gate/SelfTest.php	2132	one surface
scripts/finding-gate/SubjectLevel.php	20	two levels inside one case
scripts/finding-gate/SubjectLevel.php	122	two levels in one case
scripts/finding-gate/Surfaces.php	33	one rule, whatever case
finding-gate/README.md	20	one corpus case
finding-gate/README.md	61	one case
finding-gate/README.md	79	two levels inside one case
finding-gate/README.md	88	two cases
finding-gate/README.md	96	one case
finding-gate/README.md	224	twelve formats
finding-gate/README.md	250	one-case
finding-gate/README.md	296	twelve GitLab surfaces
finding-gate/README.md	345	twelve formats
finding-gate/README.md	351	one surface
finding-gate/README.md	414	fourteen cases
finding-gate/README.md	445	one case
finding-gate/README.md	483	twelve surface
finding-gate/README.md	508	three producers, so a case
finding-gate/README.md	606	nine surfaces
finding-gate/README.md	714	twenty controls
finding-gate/README.md	716	two derive controls
finding-gate/README.md	748	Four surfaces
finding-gate/README.md	764	two surfaces
finding-gate/README.md	773	twelve `check` formats
finding-gate/README.md	783	eleven formats
finding-gate/README.md	822	two are the only controls
finding-gate/README.md	846	seven channels of that case
finding-gate/README.md	848	one level in a case
