691	CLOSED	Контроль эквивалентности силён ровно настолько, насколько разнороден наш `src`	Закрыто пакетом Х3-F (2026-09-03, во второй редакции).
735	OPEN	Удельная цена больше не линейна по числу директив	Что закроет: если шаг снова начнёт мешать, считать не директивы, а Σ(nᴿ · Tᴿ) -- обе величины уже снимаются профилировщиком и отчётом команды.	switch to counting Σ(rule count × rule time) instead of directive count if step cost becomes a problem again
747	OPEN	Два полных исполнения остаются в цене узкого прохода	Что закроет: ничего дешёвого. Сузить его -- значит перестать доказывать ровно то, ради чего он есть.	no cheap fix exists; the double full run stays as a documented permanent cost of the reproducibility control
759	OPEN	Аудит директив не адресует продюсера без класса, и ветка сужения для него недостижима	Что закроет: первый настоящий потребитель сужения помимо аудита -- либо снятие ветки вместе с обещанием, если такого потребителя не появится.	first real consumer of the narrowing-to-classless-producer branch besides the audit, or remove the branch and its promise
774	PARTIAL	`isRuleDisabledByOptions()` не спускается в поуровневую конфигурацию	измерено, что частичное (callable.enabled: false при включённом class) даёт тот же ложный Inert и тот же код 2, и по-другому чиниться не может: директива живёт на объявлении, то есть на уровне.	partial per-level rule disabling (callable disabled, class enabled) still yields a false Inert verdict and exit code 2
799	OPEN	Физическая директива не несёт уровня, и на ней исходный дефект остался	Что закроет: NextLine получает субъект объявления, начинающегося на подавляемой строке -- тогда DirectiveLevels отвечает про него так же, как про символьную форму.	give the physical NextLine directive form a declaration subject so level-aware verdicts work for it too
828	OPEN	Вывод команды `directives` не входит в сравниваемые поверхности гейта	Что закроет: directives в списке поверхностей, с корпусным кейсом, в котором директивы разнородны по вердикту.	add the directives command's output (both formats and exit codes) to the equivalence gate's compared surfaces
842	CLOSED	Разнородный прогон контроля эквивалентности некуда положить	Закрыто пакетом Х3-F (2026-09-03).
872	CLOSED	Две меры популяции директив связаны тестом, который требует их совпадения	Теперь снятие такое же, как у продукта, и колонка values сгенерированной таблицы несёт пробелы там, где раньше был вырезанный текст.
923	OPEN	Страж проверяет имя экземпляра, а инварианту нужно имя продюсера	Что закроет: первый продюсер без класса, поддерживающий порог; тогда страж обязан спрашивать про имя продюсера находки.	guard must check producer name, not instance name, once a classless producer supports thresholds
935	CLOSED	Предмет «авторская группа директив» не назван, и это он держит WMC	Закрыто пакетом Х3-E (2026-09-03).
955	CLOSED	`Policy\Inline\Directive` разложен на предмет и его аудит	Закрыто пакетом Х3-E (2026-09-03).
992	OPEN	Идентичность авторской группы: путь строкой, субъекты строками	Что закроет: нормализация ключей карты в одном месте (тогда путь может стать RelativePath) и пересечение субъектов по значению VO.	normalize thresholdOverrides map keys in one place and compare subjects by VO value instead of string cast
1007	PARTIAL	Страж инварианта видит форму, а не тип, и три класса чтения проходят мимо	Остаются слепыми динамическое имя метода и носитель, нераспознаваемый текстуально; они названы в докблоке стража.	dynamic method-name construction and textually-unrecognized AnalysisContext carriers remain blind spots for the guard
1038	CLOSED	Пол CI-шага считает измеренным всё, что не названо неизмеренным	Закрыто пакетом Х3-C, первая половина (2026-09-03).
1056	CLOSED	Контроль полноты стража не привязан к местам, которые называет	Закрыто пакетом Х3-D (2026-09-03).
1074	OPEN	Проза повторяет счёт, который живёт в коде, и расходится с ним молча	Пока такого теста нет, любая правка чисел -- отсрочка, а не закрытие.	write a consistency test tying prose counts to Surfaces::FORMATS, the corpus case-directory count, and Controls::all()
1113	OPEN	Разделитель `\s+` у продукта переходит через перевод строки	Что закроет: разделитель [ \t]+ вместо \s+ (либо явный отказ на директиве без цели), плюс кейс в фикстуре авторских форм.	restrict the threshold-directive separator regex so it can't cross a line boundary, plus a fixture case
1140	OPEN	Согласие двух мер проверено на фикстуре и на `src/`, но не на корпусе	Что закроет: параметр цели у перечислителя плюс сверка по корпусу -- ту же работу, что нужна разнородному прогону контроля узкого прохода, и делать её стоит одним шагом.	add a target parameter to the enumerator and check the two measures' agreement against the finding-gate corpus too
1154	PARTIAL	`CheckCommand` на когезии 50.0 перестал быть наблюдаемым по этому каналу	Цена выбранного: файл из списка, чья когезия позже поднимется, оставит исключение, которое ничего не гасит и никому об этом не скажет.	a per-path exclude_paths entry that stops suppressing anything (because cohesion later improved) gives no signal that it went stale
1203	CLOSED	Подробный режим печатает лог в тот же поток, где рисуется бар	Закрыто вместе с ней, пакетом 5 захода Х5 (a4291097).
1222	PARTIAL	Популяция, удовлетворяющая полу, не даёт сравнению вердиктов увидеть сужение не тем правилом	Осталось как цена: два прогона по одной фикстуре вместо одного, и требование помнить, что пол и различающая сила тянут в разные стороны.	control now needs two runs over one fixture, and the floor requirement and discriminating power still pull in opposite directions
1247	OPEN	Ось причин у пола разнородности -- покрытие словаря, а не различение	Что закроет: ничего дешёвого и ничего нужного. Запись существует, чтобы следующий заход не прочитал «четыре причины» как «четыре ветки свипа».	three of the four DirectiveUnmeasurableReason values remain dictionary-coverage padding rather than discriminating branches; accepted as-is, not fixed
1262	CLOSED	Перечисление мест, дающих непонятный код возврата, было короче самих мест дважды	Закрыто пакетом Х3-F, вторая редакция (2026-09-03).
1284	PARTIAL	Составной прогон контроля возвращает код первой неудачи, а не худший из трёх	Что закроет: оболочка, исполняющая все цели и сводящая коды. Пока её нет, формулировка «первый упавший» -- та, что верна.	no wrapper yet runs all three narrow-control targets and merges their exit codes; only run order was cheapened (cheapest signal first)
1300	UNCLEAR	Посаженная фикстура входит в перечисление переименований	Решено не исключать каталог из периметра. Исключение сделало бы перечисление меньше правды ради тишины.	decision reached to keep fixture docblocks in the renaming perimeter and accept the regen cost permanently; unclear whether a deliberate accepted-cost decision counts as CLOSED or as a standing OPEN cost since the entry names an ongoing price (docblock edits require enumeration-renames.tsv regeneration)
1320	OPEN	Инвариант «правило не читает чужую директиву» типом в этом дереве не купить	Перечитано после пакета 3 захода Х5: механизма не появилось... Карта переопределений по-прежнему приходит правилу целиком, инвариант по-прежнему держится текстом.	need a contract where a rule receives only its own filtered threshold overrides, removing the need to read another rule's directive
1356	PARTIAL	Гейт не умеет объявить намеренное изменение множества находок	Что закроет: форма объявления, ключуемая кейсом и точными множествами идентичностей исчезающих и появляющихся записей. Это правка самого компаратора, поэтому за ней обязателен повторный composer gate:controls.	half II (declaring an intentional change to the finding SET, not just field movement) is still open; needs a comparator-level declaration form
1406	CLOSED	Символьная форма адресует канал, который она не может погасить никогда	Закрыто заходом Х4, пакет 2 (2026-09-03).
1424	OPEN	Публикация и аудит расходятся ещё в одном месте, и оно остаётся	Что остаётся открытым: порядок стадий не тронут, и отдельного вердикта «effective, но ничего не публикует» нет -- он записан ниже, в разделе Х5.	stage ordering (audit reads produced, report reads published) untouched; no verdict distinguishing real suppression from a no-op suppression
1458	PARTIAL	Подсказки «did you mean» советуют канал, который нельзя погасить	Что осталось и записано отдельно (см. раздел Х5): ветка «X names a rule, not a channel. Its channels are: …» через addressable() не проходит и по-прежнему печатает забаненный канал среди каналов правила.	the rule-name-lookup hint branch still prints the banned channel among a rule's channels
1481	OPEN	Форма без фильтра правил не получает вердикта и может умереть молча	Что закроет: отдельный вердикт для формы без фильтра -- «покрывает всё, и вот что именно она погасила в этом прогоне», то есть измерение вместо отказа измерять.	give the filterless directive form (@qmx-ignore-file with no channel) its own measured verdict instead of unmeasured/addresses-every-channel
1504	PARTIAL	Поканальные исключения к этому каналу неприменимы по построению	Что закроет: решение о месте сборки -- либо канал порождается внутри исполнения правила и проходит леджер вместе со счётом, либо у поздних каналов заводится собственная стадия исключений со своим счётом.	per-rule exclude_paths/exclude_namespaces/exclude_namespace_channels still can't reach the late-assembled annotation.unused-directive channel; only rule selection was fixed, the exclusion ledger half was not
1548	PARTIAL	`exclude_namespace_channels` не может назвать канал с дефисом	Хвост, названный пакетом заранее и оставшийся: ключ annotation.unused-directive под annotation.directive теперь принимается и не гасит ничего -- производимость, а не применимость, по ADR 0025.	a producibility-only validator still accepts channels it can't actually suppress (annotation.unused-directive under annotation.directive), tracked separately below
1580	PARTIAL	`Outcome::asDeclared()` сверяет объявленное подмножеством, а не равенством	Что осталось открытым и записано отдельно (раздел Х5): ключ кейса без classname; условие покрытия, считающее защищённым кейс, который краснеет только чьим-то каскадом; и недетерминизм стенда под нагрузкой.	three follow-ups tracked separately: case key lacks classname, coverage counts cascade reddening as protection, and stand nondeterminism under load
1605	CLOSED	Методическая: запись follow-up описывает предмет уже, чем он есть	Что из этого следует практически: измерение до планирования обязательно даже тогда, когда запись выглядит измеренной... и ревью исполнения не заменяется зелёным барьером.
1636	OPEN	Обязанность снять объявления гейта переходит первому шагу следующего захода	Снять их обязан первый шаг следующего захода, чей эталон уже содержит эти правки.	next round's first step must remove finding-gate/declared-delta.tsv, the declared-delta/ diff files, and the declared-field-moves.tsv row
1662	CLOSED	`Fs::write` писал сквозь жёсткую ссылку, и стенд правил рабочее дерево	Найдено и починено пакетом 1 (593b6db2).
1678	CLOSED	`--derive-declared-delta` печатал «nothing was written», уже переписав файлы	Найдено попутно измерением Х5 и починено пакетом 1 (8efb778c).
1692	CLOSED	Подсказка о каналах правила называла забаненный канал	Закрыта фиксами по ревью исполнения Х5 (2026-09-04), коммит 9975b011.
1715	OPEN	Ключ кейса харнесса пробников -- имя без `classname`	Что закроет: ключ classname::name, плюс переписывание 191 объявления скриптом по JUnit-логу -- ровно та же операция, которой пакет 2 переписал 45.	key probe cases by classname::name instead of bare name; rewrite 191 declarations accordingly
1728	OPEN	Условие покрытия стенда читает покрасневшее, а не объявленное	Дешёвая форма лечения: считать покрытие от объявлений ($probe->reddens), а не от покрасневшего.	coverage condition should count declared reddening, not actual reddening, so cascade-only red cases aren't counted as protected
1743	OPEN	Стенд пробников недетерминирован под нагрузкой -- гипотеза	Механизм не диагностирован -- отсюда «гипотеза». Цена: красный стенд на загруженной машине не отличим от настоящей находки без поштучного пересъёма.	diagnose why the probe stand is nondeterministic under CPU load (candidates: time/order-sensitive test, shared clone cache)
1760	OPEN	Ключ исключения, называющий канал без уровня `namespace`, принимается и молчит	Что закроет: смена контракта валидатора с производимости на применимость -- предмет своего ADR, а не строчка в этом.	change the exclude_namespace_channels validator contract from producibility to applicability (own ADR)
1775	OPEN	Отдельного вердикта «effective, но ничего не публикует» нет	Что закроет: аудиту передаётся опубликованное множество рядом с произведённым, и вердикт различает «погасило находку» и «погасило находку, которую отчёт всё равно не показал бы».	pass the published finding set to the audit alongside the produced one so "effective" can distinguish real suppression from no-op suppression
1789	OPEN	Предупреждение `WorkerBootstrap` пишется в `STDERR` дочернего процесса -- гипотеза	Что закроет: сперва измерение -- прогон с коллектором, не реализующим ParallelSafeCollectorInterface, при --workers>0 и наблюдение обоих потоков.	measure whether WorkerBootstrap's stderr warning actually reaches anyone under parallel workers before treating it as a confirmed defect
1803	OPEN	Порог `code-smell.constructor-overinjection` у `ResultPresenter` поднят с 9 до 10	Что закроет: разбиение ResultPresenter на предмет отчёта и предмет подавленной композиции. Это работа своего масштаба, и порог 10 -- расписка в том, что она отложена.	split ResultPresenter into a report subject and a suppressed-composition subject instead of keeping the raised threshold
1819	OPEN	Протухшее исключение конфигурации не получает вердикта, а протухшая директива получает	Что закроет: вердикт протухания для исключений конфигурации, аналогичный директивному... недостаёт обратного вопроса «какие настроенные исключения не подавили ничего».	add a staleness verdict for config-level exclusions (exclude_paths etc.), symmetric to the inline-directive unused-directive verdict
