# Enumeration for the upcoming step: "RuleCategory is retired as a separate vocabulary; the display group is derived from the producer's family -- the first dot-separated segment of its name."
# Snapshot: branch rule-vocabulary-channel-levels, HEAD 1ce47801, taken 2026-08-26. Method: (a) mcp__serena__find_referencing_symbols (2 calls: on RuleCategory itself, on RuleMetadata); (b) git grep -P over src/ and tests/; (c) live product runs (bin/qmx rules, bin/qmx rules --group=..., bin/qmx check --format=<each of 11 formats>). Prior tables under docs/internal/plans/rule-vocabulary/*.tsv were NOT read, per instruction.
# Coverage / blind spots of this method, per channel -- state explicitly what each channel does NOT see:
#   string identifiers (raw '...RuleCategory::X' greps) -- covered: git grep -P over src/ and tests/, cross-checked against Serena's symbol-reference walk (232 == 113+119 matched exactly).
#   reflection reads (RuleOwnConstantReader, CliAliasReader, RuleDocsPageReader) -- covered for NAME/DOCS_PAGE/REMEDIATION_MINUTES because they gate every producer's registration and were read directly; RuleCategory itself is never read by reflection anywhere in src/ (confirmed: zero hits for a reflection-based category reader) -- so this channel is a true negative, not a blind spot.
#   PHPDoc / docblocks -- covered manually for the files carrying the ADR-grade rationale (RuleCategory.php, RuleDocsPageReader.php, RuleIdentifierLiteralGuardTest.php, Core/README.md); NOT exhaustively grepped across every docblock in the tree, so an unrelated docblock mentioning "category" in an unrelated sense elsewhere in src/ may exist unseen (spot-checked, none found beyond what's listed).
#   DI configuration / autoconfiguration by tag or interface -- NOT applicable: RuleCategory is a plain enum value carried on VOs (RuleMetadata, ProducerDeclaration), never a DI tag, never referenced from any *Configurator.php or compiler-pass tag definition except as a plain constructor argument (ChannelDeclarationCompilerPass.php:324) -- checked, confirmed absent elsewhere.
#   HTML report templates / JS bundle (src/Reporting/Template/) -- NOT separately grepped inside compiled JS/Vue assets; the PHP-side HtmlFormatter was checked and does not pass category into its payload (grep across src/Reporting/ for "RuleCategory" returned zero hits) -- treated as covered via the PHP boundary, but the JS source tree itself was not opened.
#   tests/ -- covered at file granularity (49 files, 119 occurrences, git grep -c cross-checked); NOT itemized per line inside per-rule unit tests (each such test's own line is a mechanical assertSame(RuleCategory::X, $rule->getCategory()) restating what its production rule class already declares in kind=producer; itemizing all 119 lines individually would duplicate the producer table without adding a new consumption mechanism -- deliberate rollup, not an omission; the handful of structurally distinct test consumers -- RulesCommandTest, RuleExecutorTest, ChannelDeclarationCompilerPassTest, ChannelPresentationViewTest, RuleRegistryCompilerPassTest, AbstractRuleSubjectControlTest, ConfigurationErrorClassificationTopologyTest, RuleIdentifierLiteralGuardTest -- are each still their own consumer row.
#   external consumers (outside this repository) -- out of scope by construction; nothing in this repo publishes RuleCategory as a stable wire format (no format serializes it, see kind=surface), so there is no evidence of an external contract on its values.
#
# kind=producer columns: producer_name, declared_category, first_segment, equal(yes|no), how_declared, source
# kind=consumer columns: file, line, what_it_does(declares|groups-for-display|filters|documents|asserts|other), observable(yes|no), note
# kind=surface columns: surface, verified_by, observed_output
# kind=derivation-risk columns: risk, verified_by, verdict
# kind=filter-domain columns: aspect, behavior, verified_by
kind	c1	c2	c3	c4	c5	c6
producer	code-smell.unused-private	code-smell	code-smell	yes	rule class itself (extends AbstractRule directly, not AbstractCodeSmellRule)	src/Analysis/Evidence/CodeSmell/UnusedPrivateRule.php:58-61 (NAME:37)
producer	cohesion.lcom	cohesion	cohesion	yes	rule class	src/Analysis/Evidence/Cohesion/LcomRule.php:53-56 (NAME:38)
producer	complexity.cognitive	complexity	complexity	yes	rule class	src/Analysis/Evidence/Complexity/CognitiveComplexityRule.php:55-58 (NAME:40)
producer	complexity.cyclomatic	complexity	complexity	yes	rule class	src/Analysis/Evidence/Complexity/ComplexityRule.php:55-58 (NAME:40)
producer	complexity.npath	complexity	complexity	yes	rule class	src/Analysis/Evidence/Complexity/NpathComplexityRule.php:57-60 (NAME:40)
producer	complexity.wmc	complexity	complexity	yes	rule class	src/Analysis/Evidence/Complexity/WmcRule.php:52-55 (NAME:37)
producer	computed	computed	computed	yes	rule class, runtime dispatch (ComputedMetricChannelFamily::categoryOf)	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php:59-62; NAME:24 = ComputedMetricChannelFamily::OPEN_PRODUCER_RULE_NAME (Contract/Finding/ComputedMetricChannelFamily.php:56); categoryOf() at ComputedMetricChannelFamily.php:137-142
producer	coupling.cbo	coupling	coupling	yes	rule class	src/Analysis/Evidence/Coupling/CboRule.php:58-61 (NAME:43)
producer	coupling.class-rank	coupling	coupling	yes	rule class	src/Analysis/Evidence/Coupling/ClassRankRule.php:48-51 (NAME:33)
producer	coupling.distance	coupling	coupling	yes	rule class	src/Analysis/Evidence/Coupling/DistanceRule.php:77-80 (NAME:54)
producer	coupling.instability	coupling	coupling	yes	rule class	src/Analysis/Evidence/Coupling/InstabilityRule.php:59-62 (NAME:44)
producer	design.data-class	design	design	yes	rule class	src/Analysis/Evidence/Design/DataClassRule.php:55-58 (NAME:40)
producer	design.god-class	design	design	yes	rule class	src/Analysis/Evidence/Design/GodClassRule.php:54-57 (NAME:39)
producer	design.inheritance	design	design	yes	rule class	src/Analysis/Evidence/Design/InheritanceRule.php:50-53 (NAME:35)
producer	design.noc	design	design	yes	rule class	src/Analysis/Evidence/Design/NocRule.php:52-55 (NAME:37)
producer	design.param-type-coverage	design	design	yes	abstract predecessor (AbstractTypeCoverageRule.php:51-54)	src/Analysis/Evidence/Design/ParamTypeCoverageRule.php:25 (NAME, via channelName())
producer	design.property-type-coverage	design	design	yes	abstract predecessor (AbstractTypeCoverageRule.php:51-54)	src/Analysis/Evidence/Design/PropertyTypeCoverageRule.php:23 (NAME, via channelName())
producer	design.return-type-coverage	design	design	yes	abstract predecessor (AbstractTypeCoverageRule.php:51-54)	src/Analysis/Evidence/Design/ReturnTypeCoverageRule.php:23 (NAME, via channelName())
producer	duplication.code-duplication	duplication	duplication	yes	rule class	src/Analysis/Evidence/Duplication/CodeDuplicationRule.php:52-55 (NAME:30)
producer	health.cohesion	health	health	yes	runtime producer without a class (classless ProducerDeclaration)	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php:296-326 (collectClasslessProducers); names in ComputedMetricChannelFamily::HEALTH_PRODUCER_RULE_NAMES (Contract/Finding/ComputedMetricChannelFamily.php:65-72); category via categoryOf() at line 137-142
producer	health.complexity	health	health	yes	runtime producer without a class (classless ProducerDeclaration)	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php:296-326 (collectClasslessProducers); names in ComputedMetricChannelFamily::HEALTH_PRODUCER_RULE_NAMES (Contract/Finding/ComputedMetricChannelFamily.php:65-72); category via categoryOf() at line 137-142
producer	health.coupling	health	health	yes	runtime producer without a class (classless ProducerDeclaration)	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php:296-326 (collectClasslessProducers); names in ComputedMetricChannelFamily::HEALTH_PRODUCER_RULE_NAMES (Contract/Finding/ComputedMetricChannelFamily.php:65-72); category via categoryOf() at line 137-142
producer	health.maintainability	health	health	yes	runtime producer without a class (classless ProducerDeclaration)	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php:296-326 (collectClasslessProducers); names in ComputedMetricChannelFamily::HEALTH_PRODUCER_RULE_NAMES (Contract/Finding/ComputedMetricChannelFamily.php:65-72); category via categoryOf() at line 137-142
producer	health.overall	health	health	yes	runtime producer without a class (classless ProducerDeclaration)	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php:296-326 (collectClasslessProducers); names in ComputedMetricChannelFamily::HEALTH_PRODUCER_RULE_NAMES (Contract/Finding/ComputedMetricChannelFamily.php:65-72); category via categoryOf() at line 137-142
producer	health.typing	health	health	yes	runtime producer without a class (classless ProducerDeclaration)	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php:296-326 (collectClasslessProducers); names in ComputedMetricChannelFamily::HEALTH_PRODUCER_RULE_NAMES (Contract/Finding/ComputedMetricChannelFamily.php:65-72); category via categoryOf() at line 137-142
producer	maintainability.index	maintainability	maintainability	yes	rule class	src/Analysis/Evidence/Maintainability/MaintainabilityRule.php:53-56 (NAME:38)
producer	security.command-injection	security	security	yes	abstract predecessor (AbstractSecurityPatternRule.php:77-80)	src/Analysis/Evidence/Security/CommandInjectionRule.php:16 (NAME, extends AbstractSecurityPatternRule)
producer	security.sql-injection	security	security	yes	abstract predecessor (AbstractSecurityPatternRule.php:77-80)	src/Analysis/Evidence/Security/SqlInjectionRule.php:15 (NAME, extends AbstractSecurityPatternRule)
producer	security.xss	security	security	yes	abstract predecessor (AbstractSecurityPatternRule.php:77-80)	src/Analysis/Evidence/Security/XssRule.php:15 (NAME, extends AbstractSecurityPatternRule)
producer	security.hardcoded-credentials	security	security	yes	rule class itself	src/Analysis/Evidence/Security/HardcodedCredentialsRule.php:45-48 (NAME:30, extends AbstractRule directly)
producer	security.sensitive-parameter	security	security	yes	rule class itself	src/Analysis/Evidence/Security/SensitiveParameterRule.php:45-48 (NAME:30, extends AbstractRule directly)
producer	size.class-count	size	size	yes	rule class	src/Analysis/Evidence/Size/ClassCountRule.php:48-51 (NAME:33)
producer	size.method-count	size	size	yes	rule class	src/Analysis/Evidence/Size/MethodCountRule.php:49-52 (NAME:34)
producer	size.property-count	size	size	yes	rule class	src/Analysis/Evidence/Size/PropertyCountRule.php:50-53 (NAME:35)
consumer	src/Analysis/Finding/Rule/RuleInterface.php	44	declares	no	RuleInterface::getCategory(): RuleCategory -- the contract every rule class implements	
consumer	src/Analysis/Finding/Contract/Rule/AbstractRule.php	69	declares	no	abstract getCategory(): RuleCategory -- forces every concrete rule subclass to answer it	
consumer	src/Analysis/Finding/Contract/RuleMetadata.php	20	other	no	readonly VO property $category -- pass-through carrier, published to RuleExecutionInterface::allRules()	
consumer	src/Analysis/Finding/Contract/ProducerDeclaration.php	41	other	no	readonly VO property $category -- carrier for the 6 classless health.* producers	
consumer	src/Analysis/Finding/RuleExecution.php	236	other	no	allProducers(): category: $rule->getCategory() -- assembles RuleMetadata for every classed rule	
consumer	src/Analysis/Finding/RuleExecution.php	247	other	no	allProducers(): category: $producer->category -- assembles RuleMetadata for the 6 classless producers, pass-through of ProducerDeclaration	
consumer	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php	324	other	no	collectClasslessProducers(): category: ComputedMetricChannelFamily::categoryOf($producerRuleName) -- builds the 6 health.* ProducerDeclaration objects at container-build time	
consumer	src/Infrastructure/Console/Command/RulesCommand.php	52	groups-for-display	yes	$group = $rule->category->value -- read for BOTH the group headers printed at line 84 (ucfirst($currentGroup)) AND the --group equality filter at line 54; the ONLY production consumer that turns category into observable output	
consumer	src/Infrastructure/Console/Command/RulesCommand.php	54	filters	yes	if ($groupFilter !== null && $group !== $groupFilter) continue; -- raw string equality against $rule->category->value, no normalization, no RuleCategory::from() validation	
consumer	src/Analysis/Evidence/ComputedMetrics/Contract/Finding/ComputedMetricChannelFamily.php	137-142	declares	no	categoryOf(): the arbiter for the family's 7 producers -- OPEN_PRODUCER_RULE_NAME (no dot) -> Computed, else -> Health; this is ALREADY a form of family-based (not literal-lookup) derivation for 7/51 producers today	
consumer	src/Core/README.md	444-461	documents	no	authoritative doc: \"RuleCategory ... How a rule is grouped for display -- qmx rules --group and report headings -- and nothing else ... qmx rules --group is its sole consumer\". Table lists only 12 of 13 cases -- Annotation is missing from the doc table (pre-existing doc gap, unrelated to this step)	
consumer	src/Analysis/Evidence/Cohesion/README.md	42	documents	no	\"cohesion.lcom is the stable rule ID and carries the Cohesion category\"	
consumer	src/Analysis/Evidence/ComputedMetrics/README.md	91-94	documents	no	lists \"category\" among the class-keyed facts ComputedMetricChannelFamily declares for the 7-producer family	
consumer	src/Analysis/Finding/Contract/Rule/RuleDocsPageReader.php	26-31	documents	no	adjacent precedent, NOT about RuleCategory directly: docblock names two rules (cohesion.lcom, the computed family) that break \"docs page = rules/{prefix}.md\" derivation, and states DOCS_PAGE is \"deliberately not derived from RuleCategory or from the rule name's dot-separated prefix\" -- direct textual evidence against blind segment-derivation elsewhere in this same neighborhood	
consumer	tests/Infrastructure/Unit/RulesCommandTest.php	multiple	asserts	no	10 occurrence(s) -- no wraps the surface: builds RuleMetadata fixtures with an explicit RuleCategory and asserts group headers/--group filtering in RulesCommand output (the one test file exercising the real observable surface end-to-end)	
consumer	tests/Analysis/Finding/Unit/RuleExecutorTest.php	multiple	asserts	no	8 occurrence(s) -- no fixture rules and RuleMetadata construction with explicit category, incl. default RuleCategory::Complexity in two test helpers	
consumer	tests/Analysis/Finding/Unit/ChannelDeclarationCompilerPassTest.php	multiple	asserts	no	7 occurrence(s) -- no fixture rule classes (FixtureRuleWithNoChannelDeclarations, FixtureRuleWithShapeMismatch, FixtureRuleForShapeAgreement) declaring RuleCategory::CodeSmell	
consumer	tests/Infrastructure/Unit/RuleRegistryCompilerPassTest.php	multiple	asserts	no	3 occurrence(s) -- no fixture rules (FixtureNamelessRule, FixtureRuleWithCyclomaticAlias) declaring RuleCategory::Complexity	
consumer	tests/Analysis/Finding/Unit/AbstractRuleSubjectControlTest.php	multiple	asserts	no	3 occurrence(s) -- no SubjectControlHarness fixture declaring RuleCategory::Complexity	
consumer	tests/Analysis/Finding/Integration/ConfigurationErrorClassificationTopologyTest.php	multiple	asserts	no	3 occurrence(s) -- no StampRule fixture declaring RuleCategory::Architecture	
consumer	tests/Analysis/Policy/Architecture/Unit/LayerViolationRuleTest.php	multiple	asserts	no	2 occurrence(s) -- no metadataMatchesContract() asserts RuleCategory::Architecture	
consumer	tests/Analysis/Finding/Unit/ChannelPresentationViewTest.php	multiple	asserts	no	2 occurrence(s) -- no rule() test-helper builds a RuleMetadata fixture with RuleCategory::CodeSmell; production ChannelPresentationView itself never reads ->category (confirmed: not in Serena's reference list for that file beyond ->name/->description)	
consumer	tests/Analysis/Finding/Integration/RuleIdentifierLiteralGuardTest.php	multiple	other	no	1 occurrence(s) -- no ALLOWED_FILES entry for src/Analysis/Finding/Contract/Rule/RuleCategory.php -- see kind=derivation-risk, this is the single most load-bearing row in this artifact	
consumer	tests/Analysis/Evidence/Size/Unit/PropertyCountRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Size/Unit/MethodCountRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Size/Unit/ClassCountRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Security/Unit/XssRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Security/Unit/SqlInjectionRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Security/Unit/SensitiveParameterRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Security/Unit/HardcodedCredentialsRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Security/Unit/CommandInjectionRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Maintainability/Unit/MaintainabilityRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Duplication/Unit/CodeDuplicationRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Design/Unit/TypeCoverageRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Design/Unit/NocRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Design/Unit/InheritanceRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Design/Unit/GodClassRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Design/Unit/DataClassRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Coupling/Unit/InstabilityRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Coupling/Unit/DistanceRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Coupling/Unit/ClassRankRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Coupling/Unit/CboRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Complexity/Unit/WmcRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Complexity/Unit/NpathComplexityRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Complexity/Unit/ComplexityRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Complexity/Unit/CognitiveComplexityRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/Cohesion/Unit/LcomRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/UnusedPrivateRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/UnreachableCodeRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
consumer	tests/Analysis/Evidence/CodeSmell/Unit/SuperglobalsRuleTest.php	multiple	asserts	no	2 occurrences -- assertSame(RuleCategory::X, $rule->getCategory()) restating the production rule's own declared category; rolled up per file rather than per line (see header note), the fact itself is already captured in kind=producer for the matching producer_name	
