view	file	line	symbol	assumption_kind	closure_mechanism	observable_on_user_supplied_producer_name	reachable_by_user_input_today	evidence	evidence_detail
1	src/Analysis/Policy/Inline/Directive/DirectiveNameHints.php	162	DirectiveNameHints::nearestChannels	assumes-closed-set	nearest() over identity->ruleNames()	same as :120	not-yet	чтение	(no detail: read, not run)
1	src/Analysis/Policy/Inline/Directive/InlineDirectivePolicy.php	298	InlineDirectivePolicy::isAccountable	assumes-closed-set	producerOf on each addressed code	null producer makes the directive unaccountable and its unused-directive diagnostic unemitted	yes	прогон	@qmx-ignore computed.branch_load silenced findings with no unused-directive diagnostic
1	src/Analysis/Policy/Inline/Directive/InlineDirectivePolicy.php	305	InlineDirectivePolicy::isAccountable	keyed-by-rule-class-constant	isRuleDisabledByOptions($producer) - a lookup in the rules: options map, whose keys are validated against rule class NAMEs	the key can never exist for a user producer, so 'disabled by options' is always false for it	not-yet	прогон	"rules: { computed.branch_load: ... } is refused by configuration: 'Unknown rule ""computed.branch_load""'"
1	src/Analysis/Finding/Contract/Rule/RuleSelector.php	128	RuleSelector::matchesKnownProducer	rejects-outside-closed-set	in_array against the caller's producer list, which is $class::NAME over registered rules	false - the option owner is refused with an exception by its caller	yes	прогон	"--rule-opt=computed.branch_load:warning=1 exits 3: 'Rule option owner ""computed.branch_load"" does not match any registered producer rule.'"
1	src/Analysis/Finding/Contract/Rule/RuleSelector.php	171	RuleSelector::selectorMatchesProducer	keyed-by-rule-class-constant	channelsProducedBy($producerRuleName) on the registry	a selector can still match through the CHANNEL half, so selection keeps working while option ownership does not	yes	прогон	--only-rule=computed.branch_load accepted (10 findings, all rule=computed.health), while --rule-opt with the same string is refused
1	src/Infrastructure/Console/ChannelExclusionKeyValidator.php	51	ChannelExclusionKeyValidator::assertAddressesAProducedChannel	keyed-by-rule-class-constant	channelsProducedBy($ruleName) where $ruleName is the rules: key that owns the exclusion map	empty produced list -> every exclusion key under a user producer is refused as addressing nothing	not-yet	чтение	unreachable today because the owning rules: key itself cannot be a user name
1	src/Analysis/Finding/RuleExecution.php	283	RuleExecution::allRules	assumes-closed-set	iterates container-built rule instances only	a user producer has no instance, so it is absent from the enabled/disabled listing	yes	прогон	qmx rules printed one row for the whole computed family
1	src/Analysis/Finding/RuleExecution.php	299	RuleExecution::activeRuleInstances	assumes-closed-set	same instance list	user producers are neither runnable nor disable-able as producers	yes	прогон	same run
1	src/Analysis/Finding/RuleExecution.php	88	RuleExecution::run	keyed-by-rule-class-constant	$validatorsByProducer keyed by producer rule name from the compiler pass	silent skip: no validator ever attaches to a user producer	not-yet	чтение	(no detail: read, not run)
1	src/Infrastructure/Console/Command/RulesCommand.php	50	RulesCommand::execute	assumes-closed-set	RuleExecutionInterface::allRules()	wrong output: qmx rules under-reports; the user's own producers are invisible in the surface that documents what exists	yes	прогон	qmx rules | grep computed -> single 'computed.health' row while the config declares seven computed channels
2	src/Infrastructure/Console/RuleInputValidator.php	51	RuleInputValidator::validate	keyed-by-rule-class-constant	$producers = array_map(fn($class) => $class::NAME, ruleRegistry->getClasses()) - the literal 'name is a class constant' site	the producer universe every CLI validation is measured against excludes user producers by construction	yes	прогон	both --rule-opt probes below fail against this list
2	src/Infrastructure/Console/RuleInputValidator.php	111	RuleInputValidator::validateOptionOwners	rejects-outside-closed-set	matchesKnownProducer against that list	InvalidArgumentException, exit 3, before analysis - a user producer can never own options	yes	прогон	--rule-opt=computed.branch_load:warning=1 and --rule-opt=health.overall:warning=1 both exit 3 with 'does not match any registered producer rule'
2	src/Infrastructure/Console/RuleInputValidator.php	76	RuleInputValidator::validateSelectionSelectors	rejects-outside-closed-set	matchesKnownIn over producers plus the snapshot channel registry	accepts today only because the channel half carries the name; a selector matching neither half is refused	yes	прогон	--only-rule=computed.branch_load exit 0; --disable-rule=computed.branch_load exit 2 with 49 remaining computed findings
2	src/Analysis/Configuration/Pipeline/RuleNameValidator.php	60	RuleNameValidator::validateRuleNames	rejects-outside-closed-set	in_array against KnownRuleNamesProviderInterface::getKnownRuleNames()	ConfigLoadException at load time: a rules: key naming a user producer is 'Unknown rule'	yes	прогон	"rules: { computed.branch_load: { warning: 5 } } -> 'Configuration error: ... Unknown rule ""computed.branch_load""'"
2	src/Infrastructure/Rule/KnownRuleNamesAdapter.php	37	KnownRuleNamesAdapter::getKnownRuleNames	keyed-by-rule-class-constant	RuleNameReader::read over the injected rule class list	the closed set behind the config-stage refusal above	yes	прогон	same run
2	src/Analysis/Finding/RuleConfiguration/RuleOptionsRegistry.php	144	RuleOptionsRegistry::isRuleDisabledByOptions	keyed-by-rule-class-constant	$this->all()[$ruleName] - the merged rules: map	always false for a user producer, because the key cannot legally exist	not-yet	чтение	(no detail: read, not run)
2	src/Analysis/Finding/RuleConfiguration/RuleOptionsParserFactory.php	28	RuleOptionsParserFactory::createFromClasses	keyed-by-rule-class-constant	RuleNameReader::read plus CliAliasReader over rule classes	short CLI aliases exist only for rule classes; a user producer has no alias and no parser entry	not-yet	чтение	(no detail: read, not run)
2	src/Infrastructure/Rule/RuleRegistry.php	53	RuleRegistry::getAllCliAliases	keyed-by-rule-class-constant	RuleNameReader::read over $ruleClasses	same as above, one level up	not-yet	чтение	(no detail: read, not run)
2	src/Infrastructure/Console/CheckCommandDefinition.php	325	CheckCommandDefinition::addDynamicRuleOptions	assumes-closed-set	ruleRegistry->getAllCliAliases()	the CLI option surface is fixed at container build; nothing a user names can add one	not-yet	чтение	(no detail: read, not run)
2	src/Infrastructure/Console/CheckCommandDefinition.php	359	CheckCommandDefinition::detectBooleanAliases	assumes-closed-set	ruleRegistry->getClasses()	same as :325	not-yet	чтение	(no detail: read, not run)
2	src/Analysis/Policy/Inline/Contract/RuleValidatorMapFactory.php	52	RuleValidatorMapFactory::build	keyed-by-rule-class-constant	map keyed by RuleNameReader::read($ruleClass)	silent skip: a @qmx-threshold naming a user producer has no per-rule validator, so nothing checks its keys	not-yet	чтение	(no detail: read, not run)
2	src/Infrastructure/DependencyInjection/CompilerPass/RuleOptionsCompilerPass.php	62	RuleOptionsCompilerPass::process	keyed-by-rule-class-constant	options service id derived from the rule NAME	no options service can exist for a user producer	not-yet	чтение	(no detail: read, not run)
3	src/Analysis/Evidence/ComputedMetrics/Contract/Finding/ComputedMetricChannelFamily.php	9	ComputedMetricChannelFamily::PRODUCER_RULE_NAME	single-constant-family-discriminator	one const string 'computed.health' standing for the whole open runtime half	the one declaration R5 deletes; every ===-comparison against it below loses its subject	yes	прогон	every corpus finding of the computed family reported rule=computed.health (78 of 110)
3	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php	172	ChannelDeclarationCompilerPass::process	single-constant-family-discriminator	injects that constant as ChannelUniverse::$computedMetricRuleName	the seam through which the closed static half and the open runtime half are told apart	yes	чтение	(no detail: read, not run)
3	src/Analysis/Run/RuleProducerPreparation.php	52	RuleProducerPreparation::prepareArchitecture	precondition-on-producer-name	iterates LayerPolicyPreparationInterface::PRODUCER_RULE_NAMES constants	a precondition written on producer names, not channel names - invisible to any name-only enumeration	no (the names are all static producers)	чтение	no computed-metric precondition exists; recorded because this is the shape the R5 rename must not break
3	src/Analysis/Run/RuleProducerPreparation.php	76	RuleProducerPreparation::prepareCircularDependencies	precondition-on-producer-name	CircularDependencyPreparationInterface::PRODUCER_RULE_NAME	same as :52	no	чтение	(no detail: read, not run)
3	src/Analysis/Run/RuleProducerPreparation.php	106	RuleProducerPreparation::prepareInlineDirectives	precondition-on-producer-name	InlineDirectivePolicyInterface::PRODUCER_RULE_NAME	same as :52	no	чтение	(no detail: read, not run)
3	src/Analysis/Run/FileSetInspection/FileSetInspectionComposite.php	35	FileSetInspectionComposite::inspect	precondition-on-producer-name	$participant::producerRuleName() - a static method on the participant class	an expensive phase is prepared or skipped by a producer name no channel enumeration lists	no	чтение	(no detail: read, not run)
3	src/Analysis/Run/FileSetInspection/RuleSelectorProducerGate.php	19	RuleSelectorProducerGate::isEnabled	precondition-on-producer-name	isProducerEnabled with the participant's own constant	same as above	no	чтение	(no detail: read, not run)
3	src/Analysis/Evidence/Duplication/DuplicationDetector.php	79	DuplicationDetector::producerRuleName	precondition-on-producer-name	declares its own producer name as the gate's key	same as above	no	чтение	(no detail: read, not run)
3	src/Analysis/Policy/Architecture/Contract/LayerPolicyPreparationInterface.php	70	LayerPolicyPreparationInterface::PRODUCER_RULE_NAMES	precondition-on-producer-name	a const array of two producer names owned by the capability	the list a name-only enumeration missed once already (unassigned-class became its own producer)	no	чтение	(no detail: read, not run)
4	src/Infrastructure/DependencyInjection/CompilerPass/ChannelDeclarationCompilerPass.php	127	ChannelDeclarationCompilerPass::process	assumes-closed-set	one loop over tagged rule classes builds all four per-producer maps (threshold support, docs page, minutes, shape)	every downstream throw and silent miss in this file's rows originates here: the maps are total over rule classes and empty over user names	yes	чтение	lines 127-133 build $thresholdOverrideSupport, $docsPageByRule, $minutesByRule, $shapeByRule
4	src/Infrastructure/DependencyInjection/CompilerPass/RuleRegistryCompilerPass.php	69	RuleRegistryCompilerPass::validateNoDuplicateNames	assumes-closed-set	uniqueness of NAME checked across rule CLASSES only, at container build, before any configuration exists	a user producer colliding with a rule name is not caught here and cannot be: the check runs before configuration	yes	прогон	computed_metrics: 'computed.health' accepted, producing channel computed.health#computed.health - the collision R5 requires to become fail-closed
4	src/Infrastructure/Console/Command/BaselineConfiguredThresholds.php	100	BaselineConfiguredThresholds::resolve	assumes-closed-set	iterates ruleRegistry->getClasses() and reads their declared channels	wrong output: baseline:explain prints '(not resolvable from configuration)' for a channel whose threshold the user did configure in qmx.yaml	yes	прогон	qmx baseline:explain over the health corpus: 'Channel: computed.health#computed.branch_load / qmx.yaml: (not resolvable from configuration)' while qmx.yaml sets warning: 0, error: 100
4	src/Infrastructure/Console/Command/BaselineConfiguredThresholds.php	131	BaselineConfiguredThresholds::optionsFor	keyed-by-rule-class-constant	RuleNameReader::read($ruleClass) plus $ruleClass::getOptionsClass()	no options object exists for a user producer, so no boundary can be reported for it	yes	прогон	same run as :100
4	src/Analysis/Policy/Baseline/BoundaryExplanationService.php	323	BoundaryExplanationService::(threshold-override matching)	keyed-by-producer-half-of-the-channel	$override->matches($channel->ruleName) - the annotation column of explain is matched on the channel's rule half	the annotation column silently empties for every channel whose rule half is renamed by R5	yes	прогон	explain printed 'annotation: (none)' for all seven computed channels
4	src/Analysis/Policy/Baseline/BaselineMigrator.php	124	BaselineMigrator::(v5 pair carry-over)	keyed-by-producer-half-of-the-channel	pairKey(subjectKey, channel->ruleName)	migration identity is built from the producer half, so a producer rename must be declared or accepted entries silently re-bind	yes	чтение	baseline:generate wrote version 13 with channel strings 'computed.health#<code>'
4	src/Reporting/Formatter/Json/JsonViolationSection.php	87	JsonViolationSection::(finding row)	emits-producer-name	'rule' => $violation->ruleName	the published JSON field 'rule' changes value for every computed finding; consumers keying on it break	yes	прогон	json run: 78 of 110 findings carry rule=computed.health
4	src/Reporting/Formatter/Support/DebtBreakdownRenderer.php	31	DebtBreakdownRenderer::(per-rule counts)	emits-producer-name	groups counts by $violation->ruleName	the debt breakdown collapses all computed metrics into one row today and fans out into user-named rows after R5	yes	прогон	same json run - all computed findings share one rule value
4	src/Analysis/Evidence/Prioritization/Debt/DebtCalculator.php	40	DebtCalculator::(per-rule aggregation)	emits-producer-name	$rule = $violation->ruleName as the aggregation key	same as above	yes	прогон	same json run
1	tests/Analysis/Finding/Integration/ChannelPresentationCoverageTest.php	115	ChannelPresentationCoverageTest::everyConfiguredComputedMetricChannelAlsoResolvesToARealDescriptionAndAnExistingDocsPage	test-guard-assumes-closed-set	asserts every configured computed channel resolves to a description AND an existing website page	this guard is what will turn the R5 producer rename into a red test rather than a runtime throw in the field	yes	чтение	(no detail: read, not run)
1	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	210	ChannelUniverseCoverageTest::everyRegisteredRuleIsAddressableIncludingOnesThatDeclareNoChannel	test-guard-assumes-closed-set	hasRule(RuleNameReader::read($ruleClass)) for every rule class, plus an explicit assertion for ComputedMetricRule::NAME	the assertion naming the family constant has to be restated per user producer, which is impossible - it must change shape	yes	чтение	tests/.../ChannelUniverseCoverageTest.php:213 asserts hasRule(ComputedMetricRule::NAME)
1	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	217	ChannelUniverseCoverageTest::everyRegisteredRuleIsAddressableIncludingOnesThatDeclareNoChannel	test-guard-assumes-closed-set	assertCount(count(ruleClasses()), ruleNames()) - an exact equality between rule classes and rule names	an open producer vocabulary makes this equality false by construction	yes	чтение	(no detail: read, not run)
4	tests/Reporting/Formatter/Sarif/Integration/SarifRuleDescriptorCoverageTest.php	174	SarifRuleDescriptorCoverageTest::checkChannel	test-guard-assumes-closed-set	resolves producerOf per channel and requires a descriptor for it	guards the SARIF surface against exactly the throw in ChannelPresentationView	yes	чтение	(no detail: read, not run)
4	tests/Analysis/Finding/Integration/RuleDocsPageCoverageTest.php	70	RuleDocsPageCoverageTest::everyDeclaredDocsPageCarriesTheRulesOwnAnchor	test-guard-assumes-closed-set	requires a website anchor named after each rule name	a user producer has no page and no anchor; the rule 'every producer has a documented anchor' cannot survive user data	yes	чтение	(no detail: read, not run)
4	tests/Analysis/Finding/Integration/RuleRemediationMinutesCoverageTest.php	86	RuleRemediationMinutesCoverageTest::assertReferencePageMatchesDeclaredMinutes	test-guard-assumes-closed-set	requires the reference page to list declared minutes per rule name	same shape problem as the docs anchor: the published minutes table is enumerable only over rule classes	yes	чтение	(no detail: read, not run)
1	tests/Analysis/Finding/Integration/RuleIdentifierLiteralGuardTest.php	119	RuleIdentifierLiteralGuardTest::noProductionFileOutsideARuleOrChannelsOwningCapabilityHoldsItsLiteral	test-guard-assumes-closed-set	asserts producerOf is non-null for every channel of the universe	holds today; the guard also fixes 'a producer name is a literal owned by one capability', which user data contradicts	yes	чтение	(no detail: read, not run)
