# Every authored `@qmx-threshold` site in src/ — the population the threshold
# audit must classify as live or dead.
#
# Do not hand-edit. Regenerate with:
#   php scripts/enumerate-inline-directives.php src
#
# ROW COUNT: whatever the last line of a fresh run reports — deliberately not
# repeated in prose anywhere, here or in the plan. It moved three times inside
# one step (37 before Ш6, 39 after П2, 41 after П4), and each time a number
# written by hand somewhere else went stale first. `composer
# enumeration:directives:check` fails when this file and the tree disagree. The same script over
# tests/ finds 2. One site still sits in a namespace excluded from the very
# channel it retunes (`SymbolLevel.php`, class-rank) — that is what is left of
# the Sh5e2b population after Ш8 removed the three whose measured value had
# already overrun the threshold they raised. AUDIT.md's fifth member, on
# `ThresholdOverride`, never existed: all five occurrences of the tag in that
# file are backticked examples.
#
# HOW THIS WAS PRODUCED
# Token-level, not line-level: only T_DOC_COMMENT tokens are read, backtick-
# delimited regions are stripped first (the product strips them too — AGENTS.md
# §8), and what remains is matched with ThresholdOverrideExtractor's own pattern.
# Two cruder probes were run first and both were wrong in both directions. A
# plain grep counts 127 occurrences of the tag in `src/**/*.php` and 136 in
# `src/**` — the second number is the one AUDIT.md quotes as "136 directives",
# and most of it is docblock prose, format documentation, README text and
# error-message literals; over `tests/` the same grep counts 102. A second grep
# filtered on "the next token looks like a channel" counts 49 in src and 73 in
# tests, admitting the backticked examples in DataClassOptions and GodClassOptions
# that the product does not treat as directives. Neither number is a count of
# directives, and quoting them side by side without saying which probe produced
# which is how the first revision of this header got them mixed.
#
# WHAT THIS METHOD DOES NOT SEE
# - Which declaration each site binds to, and therefore how many overrides one
#   site materialises. A class docblock binds to the class and to every method in
#   it; the count here is authored sites, which is the unit a reader edits.
# - Whether the channel and level a site names address anything. That is
#   DirectiveAddressability's answer, published today as annotation.* findings.
# - Whether the site changes any decision. That is precisely what the product
#   cannot answer today and what this step adds.
# - The `values` column carries the reason text with backticked spans removed,
#   because the strip runs before the match; it is a locator, not a quotation.
file	line	channel	values
src/Core/Symbol/MetricSubjectCodec.php	68	complexity.cyclomatic	warning=13 error=13 — Canonical finite wire grammar keeps four closed subject shapes and exact validation together.
src/Reporting/Formatter/Html/HtmlFindingPartitioner.php	74	complexity.cyclomatic	warning=11 error=11 — Finite attachment projection keeps node lookup, magnitude normalization, and payload fields together.
src/Core/Symbol/MetricSubjectCodec.php	69	complexity.npath	warning=289 error=289 — Canonical finite wire grammar keeps four closed subject shapes and exact validation together.
src/Analysis/Evidence/Complexity/NpathExpressionCalculator.php	30	complexity.wmc	warning=52 error=52 -- Finite php-parser expression algebra keeps exact NPath composition and saturation together (grew by one arm for the  assignment-coalesce operator).
src/Analysis/Evidence/Coupling/CboRule.php	34	coupling.cbo	21 -- Raw CBO 20: this hierarchical rule's own dependencies
src/Analysis/Evidence/Measurement/Contract/AbstractCollector.php	18	coupling.cbo	27 -- Measurement collector base is a stable provider-owned extension hub; current raw CBO 26 gets one-edge headroom.
src/Analysis/Evidence/Measurement/Contract/AggregationStrategy.php	10	coupling.cbo	38 -- Aggregation definitions and consumers intentionally share this provider-owned enum; current raw CBO 37 gets one-edge headroom.
src/Analysis/Evidence/Measurement/Contract/DeclarationIndexAwareInterface.php	16	coupling.cbo	23 -- Every producer of declaration identity implements this one-method promise; its fan-in is the point of it, and raw CBO 22 gets one-edge headroom.
src/Analysis/Evidence/Measurement/Contract/MetricBag.php	14	coupling.cbo	68 -- Stable Measurement contract fan-in has raw CBO 67 after the declaration-index delivery edge and one-edge headroom.
src/Analysis/Evidence/Measurement/Contract/MetricDefinition.php	21	coupling.cbo	33 -- Collector and aggregation consumers intentionally share this provider-owned definition; current raw CBO 32 gets one-edge headroom.
src/Analysis/Evidence/Measurement/Contract/MetricName.php	18	coupling.cbo	70 -- Canonical names are an intentional Measurement contract hub, and this CBO is afferent: it counts adoption, not entanglement. Current raw CBO 69 gets one-edge headroom. It rose from 64 when Ш5e3 moved the eleven collector-owned counters here and gave the aggregated-key decomposition a home beside its inverse; every reader that stopped keeping a private copy of the strategy list is one of the edges.
src/Analysis/Evidence/Measurement/Contract/MetricRepositoryInterface.php	16	coupling.cbo	47 -- Stable provider-owned repository fan-in gets one-edge headroom above raw CBO 46.
src/Analysis/Evidence/Measurement/Contract/ResettableVisitorInterface.php	10	coupling.cbo	23 -- Measurement visitors intentionally share this lifecycle promise; current raw CBO 22 gets one-edge headroom.
src/Analysis/Evidence/Measurement/Visitor/VisitorMethodContext.php	25	coupling.cbo	22 -- Composition root of traversal identity: four collaborators plus the node types it routes; raw CBO 21 gets one-edge headroom.
src/Analysis/Policy/Baseline/Baseline.php	23	coupling.cbo	21 -- The capability's own aggregate root: raw
src/Reporting/FormatterContext.php	14	coupling.cbo	warning=31 error=31 -- Formatter context is the immutable Reporting input boundary every formatter's  signature depends on; the prior threshold of 30 reserved room for exactly one more dependent, and Ш6's  formatter () is that one. The inclusive threshold of 31 again rejects one additional dependency beyond it.
src/Reporting/Report.php	19	coupling.cbo	warning=31 error=31 -- Report is the transport VO every formatter's
src/Analysis/Evidence/Measurement/Contract/MetricBag.php	15	coupling.class-rank	warning=0.035 error=0.035 -- Intentional contract hub:
src/Core/Symbol/SymbolLevel.php	19	coupling.class-rank	warning=0.045 error=0.045 -- Same intentional contract-hub
src/Analysis/Evidence/Measurement/Visitor/VisitorMethodContext.php	26	coupling.instability	warning=0.95 error=0.95 -- A composition root depends outward on everything it assembles and is depended on by one trait; instability near one is its shape, not its defect.
