# Where a threshold DECISION is actually taken. One row per DECISION SITE, not
# per rule: the first edition of this table gave one row per rule and hid three
# facts at once — LongParameterListRule takes three decisions, the five
# hierarchical rules take one per level, and a package split keyed on "rules"
# therefore put the same file in two packages. Review round 1 (comprehensive,
# codex, qwen — all three independently) rejected the plan on that.
#
# This is not enumeration-threshold-decision-shapes.tsv. That table classifies
# the 27 options classes by the decision they OFFER, and stays correct about it.
# This one locates every place the decision is TAKEN, which is what Ш7 replaces.
#
# HOW IT WAS OBTAINED
#   For every src/**/*Rule.php that is neither Abstract* nor an interface, scan
#   the rule class and — when it extends a base other than AbstractRule — that
#   base too, line by line, for:
#     getEffectiveSeverity(   -> one-call-helper        (the sanctioned path)
#     ->getSeverity(          -> options-getSeverity
#     ->getVoSeverity(        -> options-getVoSeverity  (LongParameterList only)
#     getThresholdOverride(   -> raw-override-read      (bypasses getEffectiveOptions)
#   A rule with no such line gets one `decides-in-rule` row and no line number.
#   Lines declaring a function, and lines starting a docblock, are skipped.
#   Options class: the first `XOptions::class` literal in the same scope.
#
# WHAT THIS METHOD DOES NOT SEE
# - AbstractRule is deliberately outside the walk: its own `->getSeverity()`
#   lives inside getEffectiveSeverity(), so including it marks all 45 rules as
#   asking. An earlier pass that did include it reported 45/45; one that ignored
#   inheritance entirely called the three type-coverage rules inline deciders,
#   though AbstractTypeCoverageRule asks for them. Both looked finished.
# - A decision expressed through an accessor named none of the four above.
#   getVoSeverity was found only because a reviewer read the rule; a fifth such
#   name would be missed the same way.
# - Traits, and a decision delegated to a collaborator rather than a base class.
# - Whether a rule's inline comparison agrees with its options class. It does not
#   for InheritanceRule, whose docblock says it mirrors the options by hand.
#
# ROW COUNT: 50 sites in 45 rules.
#   21 rules carry no threshold (18 decide in the rule, 3 call the helper) —
#      outside Ш7.
#   24 rules carry one: 29 sites. 2 take the sanctioned one-call path, 21 read
#      the options accessor after resolving effective options, 1 reads the raw
#      override map (LongParameterListRule's VO path, which bypasses
#      getEffectiveOptions entirely), 1 is that path's getVoSeverity, and 4
#      decide in the rule body.
#   4 rules hold more than one site: LongParameterListRule (3), and
#      CognitiveComplexityRule / NpathComplexityRule / InstabilityRule (2 each,
#      one per level). A package split must be keyed on files, not on this count.
#
rule	owner_file	line	call	options	options_kind
ErrorSuppressionRule	src/Analysis/Evidence/CodeSmell/ErrorSuppressionRule.php	-	decides-in-rule	ErrorSuppressionOptions	not-threshold-aware
EvalRule	src/Analysis/Evidence/CodeSmell/EvalRule.php	-	decides-in-rule	CodeSmellOptions	not-threshold-aware
ExitRule	src/Analysis/Evidence/CodeSmell/ExitRule.php	-	decides-in-rule	CodeSmellOptions	not-threshold-aware
GodClassRule	src/Analysis/Evidence/Design/GodClassRule.php	-	decides-in-rule	GodClassOptions	threshold-aware
GotoRule	src/Analysis/Evidence/CodeSmell/GotoRule.php	-	decides-in-rule	CodeSmellOptions	not-threshold-aware
HardcodedCredentialsRule	src/Analysis/Evidence/Security/HardcodedCredentialsRule.php	100	one-call-helper	HardcodedCredentialsOptions	not-threshold-aware
IdenticalSubExpressionRule	src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php	-	decides-in-rule	IdenticalSubExpressionOptions	not-threshold-aware
InheritanceRule	src/Analysis/Evidence/Design/InheritanceRule.php	-	decides-in-rule	InheritanceOptions	threshold-aware
InstabilityRule	src/Analysis/Evidence/Coupling/InstabilityRule.php	188	options-getSeverity	InstabilityOptions	hierarchical-root
InstabilityRule	src/Analysis/Evidence/Coupling/InstabilityRule.php	255	options-getSeverity	InstabilityOptions	hierarchical-root
LayerViolationRule	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php	-	decides-in-rule	LayerViolationOptions	not-threshold-aware
LcomRule	src/Analysis/Evidence/Cohesion/LcomRule.php	97	options-getSeverity	LcomOptions	threshold-aware
LongParameterListRule	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php	153	options-getSeverity	LongParameterListOptions	threshold-aware
LongParameterListRule	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php	183	raw-override-read	LongParameterListOptions	threshold-aware
LongParameterListRule	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php	187	options-getVoSeverity	LongParameterListOptions	threshold-aware
MaintainabilityRule	src/Analysis/Evidence/Maintainability/MaintainabilityRule.php	111	options-getSeverity	MaintainabilityOptions	threshold-aware
MethodCountRule	src/Analysis/Evidence/Size/MethodCountRule.php	122	options-getSeverity	MethodCountOptions	threshold-aware
NocRule	src/Analysis/Evidence/Design/NocRule.php	96	options-getSeverity	NocOptions	threshold-aware
NpathComplexityRule	src/Analysis/Evidence/Complexity/NpathComplexityRule.php	178	options-getSeverity	NpathComplexityOptions	hierarchical-root
NpathComplexityRule	src/Analysis/Evidence/Complexity/NpathComplexityRule.php	230	options-getSeverity	NpathComplexityOptions	hierarchical-root
ParamTypeCoverageRule	src/Analysis/Evidence/Design/AbstractTypeCoverageRule.php	119	options-getSeverity	TypeCoverageOptions	threshold-aware
PropertyCountRule	src/Analysis/Evidence/Size/PropertyCountRule.php	118	options-getSeverity	PropertyCountOptions	threshold-aware
PropertyTypeCoverageRule	src/Analysis/Evidence/Design/AbstractTypeCoverageRule.php	119	options-getSeverity	TypeCoverageOptions	threshold-aware
ReturnTypeCoverageRule	src/Analysis/Evidence/Design/AbstractTypeCoverageRule.php	119	options-getSeverity	TypeCoverageOptions	threshold-aware
SensitiveParameterRule	src/Analysis/Evidence/Security/SensitiveParameterRule.php	99	one-call-helper	SensitiveParameterOptions	not-threshold-aware
SqlInjectionRule	src/Analysis/Evidence/Security/SqlInjectionRule.php	-	decides-in-rule	SecurityPatternOptions	not-threshold-aware
SuperglobalsRule	src/Analysis/Evidence/CodeSmell/SuperglobalsRule.php	-	decides-in-rule	CodeSmellOptions	not-threshold-aware
UnassignedClassRule	src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassRule.php	-	decides-in-rule	UnassignedClassOptions	not-threshold-aware
UnreachableCodeRule	src/Analysis/Evidence/CodeSmell/UnreachableCodeRule.php	115	one-call-helper	UnreachableCodeOptions	threshold-aware
UnusedDirectiveRule	src/Analysis/Policy/Inline/Directive/UnusedDirectiveRule.php	-	decides-in-rule	InlineDirectiveOptions	not-threshold-aware
UnusedPrivateRule	src/Analysis/Evidence/CodeSmell/UnusedPrivateRule.php	-	decides-in-rule	UnusedPrivateOptions	not-threshold-aware
WmcRule	src/Analysis/Evidence/Complexity/WmcRule.php	101	options-getSeverity	WmcOptions	threshold-aware
XssRule	src/Analysis/Evidence/Security/XssRule.php	-	decides-in-rule	SecurityPatternOptions	not-threshold-aware
