channel	observed_levels	multi_level	sets_level_field	corpus	witnesses
# `--fail-on=none`.
#   C1  src/Core + src/Reporting, one run per rule, with every numeric rule
#       option driven to the value that fires: 0 for a higher-is-worse
#       threshold, the maximum for a lower-is-worse one, 0 for every gating
#       minimum. Option keys were extracted from `bin/qmx rules`, not typed.
#   C2  a synthetic corpus of code smells and vulnerabilities (eval, goto,
#       exit, superglobals, empty catch, count-in-loop, identical
#       sub-expression, unused private members, unreachable code, hardcoded
#       credentials, SQL injection, XSS, command injection, sensitive
#       parameters, untyped declarations, a three-child hierarchy), same
#       option flooring as C1.
#   C3  a corpus of four deliberately broken `@qmx-*` directives: one naming a
#       rule that does not exist, one retuning a rule that declares no
#       threshold, one with an unparseable value, one suppressing a finding
#       that is not there.
#   C4  a corpus of four classes plus a layer policy declaring a forbidden
#       edge, an unmatched layer, a shadowing pair, a `pending: true` layer
#       whose code exists, a template expanding to nothing, a class outside
#       every layer, `coverage: error` and `unassigned_class=error`.
#   C5  a three-class dependency cycle.
#   C6  src/ and C2 with every health threshold raised to 100, so all six
#       health scores breach at every level they are computed at.
#
# FINDINGS OF THIS PASS:
#  - `file` is a real reporting level after all: all four `annotation.*`
#    channels report on the file the directive was written in. The previous
#    pass had observed none.
#  - the six health channels are each multi-level, on THREE levels
#    (class, namespace, project) under one channel name. Independently
#    confirmed by declaration: ComputedMetricDefaults gives every health
#    dimension `levels: [class, namespace, project]`.
#  - no static channel is multi-level. Every one of the 57 reports at exactly
#    one level; where a producer covers two levels it splits into two channels.
#  - `sets_level_field` is `yes` for exactly 10 channels, and that set is
#    byte-identical to the set of channels whose name ends in a level segment.
#    The other 53 carry the level in the subject alone. Nothing anywhere
#    disagreed: across every finding constructed in every run, a non-null
#    `$level` always equalled the subject's own level.
#  - `complexity.npath.class` is disabled by default
#    (`ClassNpathComplexityOptions::$enabled = false`), unlike its cognitive
#    and cyclomatic siblings. It fires only with
#    `complexity.npath:class.enabled=true`.
#
# BLIND SPOTS, in the order they are likely to bite:
#  - a level is observed, not proven exhaustive. A channel that reported at one
#    level here may be capable of another on code these corpora do not contain.
#    The claim "no static channel is multi-level" is a claim about this corpus;
#    for the health family the declaration backs it independently, for the
#    static 57 nothing does.
#  - a user-defined `computed.*` metric declares its own `levels:` in
#    `qmx.yaml` and is outside any fixed enumeration by construction.
#  - `duplication.code-duplication` and `architecture.circular-dependency`
#    report at project level because they summarise; their per-copy locations
#    travel in `relatedLocations`, which this table does not model.
#  - C1's option flooring makes some rules fire on a zero measurement
#    (`code-smell.unreachable-code` reported 472 callables with no unreachable
#    code). That is a threshold artefact and possibly a rule defect, but it
#    does not affect the level: the subject is still the one the rule addresses.
