# Enumeration for the upcoming step "level as a type": ComputedMetricDefinition::$levels moves from
# list<SymbolType> to list<SymbolLevel>, and MetricRepositoryInterface::all(SymbolType) moves to
# accepting SymbolLevel. Snapshot at HEAD 1ce47801, branch rule-vocabulary-channel-levels, 2026-08-26.
# Freshly enumerated from code; the tables under docs/internal/plans/rule-vocabulary/*.tsv were NOT read
# (different question, would reproduce their own gaps).
#
# Method: two enumeration passes of different nature, cross-checked against each other.
#   (a) MCP Serena LSP references -- mcp__serena__find_referencing_symbols on
#       MetricRepositoryInterface::all, ComputedMetricDefinition::hasLevel, ::reportingLevels,
#       ::getFormulaForLevel (7 calls total: 1 failed lookup on the promoted property's synthetic
#       name path, 6 successful) and mcp__serena__find_implementations on MetricRepositoryInterface
#       (1 call). LSP resolves method-call targets through variables and dynamic arguments (e.g. it
#       found MetricsJsonFormatter's ->all($type) and HealthSummaryBuilder's ->all($symbolType) the
#       same way as literal ->all(SymbolType::Class_)), and it is immune to the property/property-name
#       collision described below. It does NOT resolve promoted-constructor-property reads/writes as
#       a symbol (the direct "ComputedMetricDefinition/levels" and "/__construct/levels" name-path
#       queries both failed), so property-level read/write enumeration fell entirely to grep.
#   (b) git grep -P (never -E: -E silently drops \b and \s in this git version) for ->all(, for
#       SymbolType::Method / ::Function_ co-occurrence, for ->levels / levels: writes, for mapLevel,
#       and for SymbolType usage across src/Reporting. Grep is textual: it caught two classes Serena's
#       targeted queries would have missed by construction -- the YAML-heredoc "levels: [namespace]"
#       fixture lines (not a PHP symbol at all) and the false-positive collision between
#       ComputedMetricDefinition::$levels (list<SymbolType>) and the unrelated, already-SymbolLevel-typed
#       ChannelDeclaration::$levels / ChannelLevelAddressing::$levels / InlineDirectivePolicy::$levels,
#       which share the property name "levels" and were manually disambiguated below by owning class
#       (import + receiver-variable naming: "$declaration->levels" is always ChannelDeclaration in this
#       codebase; "$definition->levels" / "$this->levels" inside ComputedMetricDefinition or its
#       readers is always the target property). Cross-check: Serena's 36-file ->all(SymbolType) call-site
#       set and grep's SymbolType::-literal + 4 known-dynamic-var set agree exactly (59 real call sites
#       after subtracting 4 docblock-comment lines that quote the call in prose, not code).
#
# Channels this method does NOT see (named per CLAUDE.md instruction, not silently assumed covered):
#   - string-identifier / YAML-key references: covered for the one channel that matters here (mapLevel's
#     'levels' YAML key, and its 'class'/'namespace'/'project' formula-key sibling), not swept generally.
#   - reflection (ReflectionProperty/ReflectionClass) reads of ->levels or ->all: NOT covered -- neither
#     pass detects reflection-mediated access; none is known to exist for these two members, but that is
#     an absence of evidence, not evidence of absence.
#   - PHPDoc-only generics (@param list<SymbolType> in a signature with no runtime SymbolType symbol):
#     covered only where grep's SymbolType text pattern also matched the docblock line; a generic typed
#     purely via a phpstan-only alias with no literal "SymbolType" token would be missed. None found.
#   - DI/YAML container configuration referencing these classes by string service id: NOT swept; neither
#     class is autowired by a role scan per CLAUDE.md Rule 7, so this is believed low-risk, not verified.
#   - dynamic ->all($var) / ->{$prop} calls where $var's origin could not be traced to a literal or a
#     grep-matched pattern: the 4 dynamic call sites found (HealthSummaryBuilder, BoundaryExplanationService,
#     MetricsJsonFormatter, AnalysisPipelineIntegrationTest) were traced by hand to their SymbolType-typed
#     origin; a fifth dynamic site reachable only through a deeper call chain would not surface from a
#     single-hop grep and was not searched for beyond Serena's reference graph.
#   - test doubles / mocks built with PHPUnit's createMock() or fixture factories that never mention
#     "SymbolType" or "levels" as literal tokens (e.g. a stub returning a pre-baked array): NOT covered
#     by text search; Serena's find_implementations (LSP-based, not text-based) is exhaustive for actual
#     `implements MetricRepositoryInterface` declarations and found the 2 listed under kind=implementation.
#   - external/out-of-repo consumers (no external users per CLAUDE.md Backward Compatibility Policy):
#     out of scope, matches project policy.
#
# Columns per kind are documented at each section's first row via the header immediately above it.
#
# kind=all-call -- every call site reaching MetricRepositoryInterface::all(SymbolType). 59 call sites,
# 55 literal SymbolType::X argument + 4 dynamic-variable argument (all 4 traced to a SymbolType-typed
# origin). 4 additional textual matches were prose inside docblocks quoting the call, not code, and are
# excluded from the count (LayerEvidenceCollector.php:181,208,277 and LayerViolationRuleTest.php:1552).
# Columns: kind, file, line, argument, argument_class(literal-SymbolType|dynamic|other), area(src|tests), note
kind	file	line	argument	argument_class	area	note
all-call	tests/Analysis/Evidence/Coupling/Unit/ClassRankCollectorTest.php	86	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Design/Unit/NocCollectorTest.php	277	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Integration/Aggregation/MetricInvariantTest.php	189	SymbolType::File	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Integration/Aggregation/MetricInvariantTest.php	216	SymbolType::File	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Integration/Aggregation/MetricInvariantTest.php	425	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Aggregation/GlobalFunctionAggregationTest.php	63	SymbolType::Method	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Aggregation/GlobalFunctionAggregationTest.php	67	SymbolType::Function_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Aggregation/GlobalFunctionAggregationTest.php	275	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Aggregation/NamespaceMetricContributionsTest.php	44	SymbolType::File	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Aggregation/NamespaceMetricContributionsTest.php	129	SymbolType::File	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	109	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	134	SymbolType::Method	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	152	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	174	SymbolType::Namespace_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	343	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	361	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	383	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	658	SymbolType::File	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	669	SymbolType::Namespace_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	678	SymbolType::Project	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	698	SymbolType::File	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	699	SymbolType::Namespace_	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	700	SymbolType::Project	literal-SymbolType	tests	
all-call	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	759	SymbolType::Namespace_	literal-SymbolType	tests	
all-call	tests/Analysis/Policy/Architecture/Support/ProcessorBuilder.php	80	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Run/Integration/Pipeline/AnalysisPipelineIntegrationTest.php	659	SymbolType::Class_	literal-SymbolType	tests	
all-call	tests/Analysis/Run/Integration/Pipeline/AnalysisPipelineIntegrationTest.php	714	$type	dynamic	tests	$type iterates [SymbolType::Class_, SymbolType::Namespace_] fixture array, test-only
#
# kind=all-call-other -- ->all() call sites on an object OTHER than MetricRepositoryInterface (never
# takes a SymbolType argument), one row per file naming the receiver type and why it is out of scope.
kind	file	receiver_type	reason_excluded
all-call-other	scripts/finding-gate/probe-channels.php	list<ComputedMetricDefinition> (from ComputedMetricsConfigResolver)	iterates the resolved definition list, not the metric repository
all-call-other	src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php	CircularDependencyAnalysis	unrelated evidence collection, no SymbolType parameter exists
all-call-other	src/Analysis/Evidence/ComputedMetrics/ComputedMetricAnalysis.php	internal definitions array	wraps the definition catalog, not the repository
all-call-other	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	definitionCatalog (DefinitionCatalogInterface)	iterates computed-metric definitions, no argument
all-call-other	src/Analysis/Evidence/ComputedMetrics/Contract/Evaluation/ComputedMetricEvaluator.php	definitionCatalog / MetricBag (repo->get(...)->all())	two of the four ->all() hits here are definitionCatalog->all() and MetricBag::all(); the SymbolType-argument hit is separately listed under kind=all-call
all-call-other	src/Analysis/Evidence/ComputedMetrics/Health/Contract/Summary/HealthSummaryBuilder.php	definitionCatalog	one of two ->all() hits here (line 405) is definitionCatalog->all(); the other (line 227, dynamic $symbolType) is listed under kind=all-call
all-call-other	src/Analysis/Evidence/Duplication/CodeDuplicationRule.php	resultProvider (DuplicationResultProviderInterface)	duplication block list, unrelated contract
all-call-other	src/Analysis/Evidence/Duplication/DuplicationDetector.php	ruleConfiguration (RuleOptionsInterface-like)	rule option bag, no SymbolType
all-call-other	src/Analysis/Evidence/Measurement/Contract/MetricBag.php	DataBag ($this->data)	MetricBag's own storage, not the repository
all-call-other	src/Analysis/Evidence/Measurement/FileMeasurement/DerivedCollectorRunner.php	MetricBag (->calculate()->all(), $derived->all())	per-file derived metric bag, not the repository
all-call-other	src/Analysis/Evidence/Measurement/FileMeasurement/DerivedMetricExtractor.php	MetricBag ($derivedBag->all())	per-declaration derived metric bag, not the repository
all-call-other	src/Analysis/Finding/RuleConfiguration/RuleOptionsRegistry.php	self ($this->all())	registry's own accessor, unrelated contract
all-call-other	src/Analysis/Run/Collection/CollectionOrchestrator.php	MetricBag ($namespaceData['metrics']->all())	per-namespace metric bag, not the repository
all-call-other	src/Infrastructure/Rule/ChannelUniverse.php	definitionCatalog (3 sites)	iterates computed-metric definitions to build the channel universe, no SymbolType argument
all-call-other	src/Reporting/Formatter/Html/HtmlTreeBuilder.php	MetricBag (projectBag/classBag/nsBag->all()) and definitionCatalog	3 of 5 ->all() hits here are MetricBag; the 2 SymbolType-argument hits are listed under kind=all-call
all-call-other	src/Reporting/Formatter/MetricsJsonFormatter.php	MetricBag ($bag->all() at line 44)	one of two ->all() hits here; the repository hit (line 40, dynamic $type) is listed under kind=all-call
all-call-other	tests/Analysis/Evidence/CircularDependency/Unit/CircularDependencyAnalysisTest.php	CircularDependencyAnalysis	same as the src/ CircularDependencyRule case
all-call-other	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricAnalysisTest.php	ComputedMetricAnalysis / definitionCatalog	asserts on the definition list, not the repository
all-call-other	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricContributionReaderTest.php	ComputedMetricAnalysis	same
all-call-other	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricEvaluatorTest.php	MetricBag ($repo->get(...)->all())	asserts an empty MetricBag, not a repository query
all-call-other	tests/Analysis/Evidence/Duplication/Unit/DuplicationDetectorTest.php	resultProvider stub	same as src/ CodeDuplicationRule case
all-call-other	tests/Analysis/Evidence/Design/Unit/TypeCoverageCollectorTest.php	MetricBag	asserts an empty MetricBag
all-call-other	tests/Analysis/Evidence/Measurement/Unit/Aggregation/MetricAggregatorTest.php	MetricBag (projectMetrics/classMetrics)	aggregation result bags
all-call-other	tests/Analysis/Evidence/Measurement/Unit/DataBagTest.php	DataBag	direct DataBag unit test
all-call-other	tests/Analysis/Evidence/Measurement/Unit/FileMeasurement/CompositeCollectorTest.php	MetricBag	collector result bag
all-call-other	tests/Analysis/Evidence/Measurement/Unit/FileMeasurement/DerivedCollectorRunnerTest.php	MetricBag	derived collector result
all-call-other	tests/Analysis/Evidence/Measurement/Unit/FileMeasurement/DerivedCollectorSortTest.php	MetricBag	derived collector result
all-call-other	tests/Analysis/Evidence/Measurement/Unit/MetricBagTest.php	MetricBag	direct MetricBag unit test
all-call-other	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	MetricBag (repository->get(...)->all(), lines 656/666/677/695/725/755)	6 of many ->all() hits here are MetricBag reads; the SymbolType-argument hits are listed under kind=all-call
all-call-other	tests/Analysis/Evidence/Measurement/Unit/Aggregation/GlobalFunctionAggregationTest.php	MetricBag ($repository->get($classPath)->all(), line 88)	one of several hits; the SymbolType-argument hits are listed under kind=all-call
all-call-other	tests/Analysis/Evidence/Size/Unit/ClassCountCollectorTest.php	MetricBag (namespaces[0]->metrics->all())	namespace metric bag
all-call-other	tests/Analysis/Finding/Integration/ChannelLevelDeclarationDriftTest.php	definitionCatalog / list<ComputedMetricDefinition>	iterates resolved definitions, not the repository
all-call-other	tests/Infrastructure/Console/Integration/RuntimeConfigurationIsolationTest.php	ruleConfiguration	rule option bag
all-call-other	tests/Infrastructure/Console/Unit/RuntimeConfiguratorTest.php	rules (RuleOptionsRegistry-like)	rule option bag, 4 hits
all-call-other	tests/Integration/DependencyInjection/ContainerFactoryTest.php	resultProvider	duplication result provider, 4 hits
#
# kind=method-function-split -- places that distinguish SymbolType::Method from SymbolType::Function_
# specifically THROUGH all() (i.e. either two separate ->all(SymbolType::Method)/->all(SymbolType::Function_)
# calls, or an array of SymbolType values fed to all() in a loop that includes both and tags output by
# the query value). The claim under test: "all such places are tests, no product call requires the split"
# -- REFUTED. One production call site (MetricsJsonFormatter) requires it: see note.
kind	file	line	area	claim
method-function-split	tests/Analysis/Evidence/Measurement/Unit/Aggregation/GlobalFunctionAggregationTest.php	63,67	tests	asserts ->all(SymbolType::Method) excludes a global function and ->all(SymbolType::Function_) includes it -- proves today's split is observable, does not itself require the split for a downstream consumer
method-function-split	tests/Analysis/Evidence/Measurement/Unit/Repository/InMemoryMetricRepositoryTest.php	134	tests	calls ->all(SymbolType::Method) only (itIteratesOverMethods); no Function_ counterpart in the same file -- confirms the claim for this file alone, does not contradict it
method-function-split	src/Reporting/Formatter/MetricsJsonFormatter.php	30-40,60	src	REFUTES the claim: $symbolTypes lists SymbolType::Method and SymbolType::Function_ as two separate array entries, the loop calls ->all($type) once per entry, and line 60 writes the published JSON field 'type' => $type->value from that same loop variable -- so today's JSON metrics export emits 'type':'method' and 'type':'function' as two distinct symbol rows for the identical SymbolLevel::Callable projection. If all()'s argument becomes SymbolLevel, this call site collapses to one iteration and the printed 'type' value can no longer distinguish method from function from the query argument alone (see kind=type-leak).
method-function-split	src/Analysis/Policy/Baseline/BoundaryExplanationService.php	311-314	src	iterates SymbolType::cases() (includes Method and Function_ as two of six iterations) but does not tag or branch on the value beyond using it as the all() argument -- treats the split uniformly rather than distinguishing behavior; listed here for completeness since it does call all(Method) and all(Function_) as separate iterations, not because it depends on the difference
#
# kind=levels-read -- every read of ComputedMetricDefinition::$levels (property access, not the unrelated
# ChannelDeclaration::$levels / ChannelLevelAddressing::$levels / InlineDirectivePolicy::$levels, which
# share the property name but hold list<SymbolLevel> already and are a different class -- see header note).
kind	file	line	area	context
levels-read	src/Analysis/Evidence/ComputedMetrics/ComputedMetricFormulaValidator.php	60	src	foreach ($definition->levels as $level) inside validateFormulaSyntax()
levels-read	src/Analysis/Evidence/ComputedMetrics/ComputedMetricFormulaValidator.php	93	src	foreach ($definition->levels as $level) inside validateFormulaCoverage()
levels-read	src/Analysis/Evidence/ComputedMetrics/ComputedMetricOverrideReader.php	44	src	$base->levels read as the override-merge default, immediately re-written via levels: self::levels(...) -- read+write pair
levels-read	src/Analysis/Evidence/ComputedMetrics/ComputedMetricRule.php	99	src	foreach ($definition->levels as $level) driving per-level finding emission
levels-read	src/Analysis/Evidence/ComputedMetrics/Contract/Definition/ComputedMetricDefinition.php	90	src	reportingLevels(): array_map(SymbolLevelProjection::ofDeclaration(...), $this->levels) -- the one place that projects the stored SymbolType list to SymbolLevel today
levels-read	src/Analysis/Evidence/ComputedMetrics/Contract/Definition/ComputedMetricDefinition.php	95	src	hasLevel(): in_array($level, $this->levels, true)
levels-read	src/Analysis/Evidence/ComputedMetrics/Contract/Definition/ComputedMetricDefinition.php	114	src	validateLevels(): array_map(fn($level) => $level->value, $this->levels) to check for duplicates
levels-read	src/Analysis/Evidence/ComputedMetrics/Contract/Evaluation/ComputedMetricEvaluator.php	54	src	foreach ($definition->levels as $level) driving per-level evaluation
levels-read	src/Analysis/Evidence/ComputedMetrics/Health/Configuration/HealthFormulaExcluder.php	184	src	$overall->levels read to copy unchanged into a new ComputedMetricDefinition -- read+write pair, see kind=levels-write same line
levels-read	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricsConfigResolverTest.php	256-258,486,535,550-552	tests	direct property assertions: assertContains/assertNotContains/assertSame against $custom->levels / $complexity->levels
#
# kind=levels-write -- every construction of ComputedMetricDefinition via the named `levels:` constructor
# argument. 83 call sites (85 textual matches of the `levels:` YAML-style line minus 2 that are YAML
# heredoc fixture content inside CheckCommandConfigErrorExitCodeTest.php, not a PHP constructor argument --
# see kind=level-input for those two). Grouped one row per file with the line list, since the great
# majority are one-off test fixtures repeating the same [SymbolType::Class_] literal; rows that differ in
# kind (dynamic value, empty array, indirection) get their own row with a note.
kind	file	lines	area	note
levels-write	src/Analysis/Evidence/ComputedMetrics/ComputedMetricDefaults.php	33,48,77,94,112,127	src	
levels-write	src/Analysis/Evidence/ComputedMetrics/ComputedMetricOverrideReader.php	44,70	src	L44: levels: self::levels($overrides, $base->levels) -- computed via the private levels() helper wrapping mapLevel(), see kind=level-input; L70: levels: self::levels($config, [SymbolType::Namespace_, SymbolType::Project]) -- default for a brand-new user-defined metric
levels-write	src/Analysis/Evidence/ComputedMetrics/Health/Configuration/HealthFormulaExcluder.php	184	src	L184: levels: $overall->levels -- pass-through copy, paired levels-read
levels-write	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricDefinitionTest.php	24,37,50,66,80,94,108,122,138,155,171,184,197,210,226,245	tests	
levels-write	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricEvaluatorTest.php	49,72,78,100,120,144,164,185,206,533,560,588,609,615,710	tests	
levels-write	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricFindingBuilderTest.php	37,64,95,123,151,179,213,241,268,296,324,357,386,431	tests	
levels-write	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricRuleTest.php	104,131,151,159,193,231,257,283,311,339,367	tests	
levels-write	tests/Analysis/Evidence/ComputedMetrics/Unit/HealthFormulaExcluderTest.php	213,219,265,282	tests	
levels-write	tests/Analysis/Policy/Baseline/Functional/BaselineRunBeforeLoadTest.php	292	tests	
levels-write	tests/Analysis/Policy/Inline/Integration/UnusedDirectiveRuleTest.php	375,395	tests	
