producer	channel	shape	direction	levels	declaring_class	declaring_file
#    (`ContainerFactory::create()` -> `ChannelUniverseInterface`), which
#    walked `ruleNames()` / `channelsProducedBy()` / `declarationFor()` and
#    printed every producer's channel shapes, flagging any producer whose
#    channels do not share one shape. It printed exactly one MIXED PRODUCER
#    line (architecture.layer-violation) and the same 57 static channel rows
#    (42 producers, including computed.health with zero static rows) as the
#    hand enumeration below, and both agree with the tracked fixture
#    tests/Analysis/Finding/Fixtures/Channels/declared.txt line for line
#    (57 data lines there too). No discrepancy was found between the three.
# `producer` is the grouping key the compiler pass
# (ChannelDeclarationCompilerPass::collectRuleChannels/collectValidatorChannels)
# actually uses: for a rule class, RuleNameReader::read($class) (its own
# static::NAME, so a subclass of an abstract base counts as its own
# producer); for a ConfigurationValidatorInterface implementer,
# $class::producerRuleName() — the BORROWED rule name whose CLI selection,
# exclusion, docs page and remediation minutes the validator's channels
# resolve through. That borrowing is what makes architecture.layer-violation
# mixed: LayerViolationRule and LayerDeclarationValidator are two declaring
# classes sharing one producer identity.
#
# WHAT THIS METHOD DOES NOT SEE
#
# - A channel that would exist only because a project's own qmx.yaml defines
#   a computed metric: computed.health's real channel set is resolved from
#   ComputedMetricDefinitionCatalogInterface at run time and is open-ended;
#   this repository's own qmx.yaml defines none, so the live container
#   produced zero rows for it. Its SHAPE is always `magnitude` regardless of
#   the `inverted` flag (which only picks the direction) — confirmed by
#   reading ChannelUniverse::declarationFor() directly, not by measurement.
# - Fixture/test-only producers (e.g. StampRule/StampValidator/
#   OrphanedValidator/PoachingValidator/TrespassingValidator in
#   ConfigurationErrorClassificationTopologyTest, and the Fixture* classes in
#   ChannelDeclarationReaderTest) are excluded: they are not tagged into the
#   production container and never appear in ChannelUniverse.
# - Any channel key spelled as a string outside a `channelDeclarations()`
#   method (e.g. in YAML, docs, or a dynamically built key) is invisible to
#   both the Serena symbol search and the container walk; none was found by
#   the supplementary grep for "static function channelDeclarations" either.
