surface	door	site	command	miss	hit	hit_empty	observable	signal	echoes	fixture	signal_source	reason
config	coupling.frameworkNamespaces	whole-value	*	{coupling: {frameworkNamespaces: ['Nosuch\Framework']}}	{coupling: {frameworkNamespaces: ['Fixture\Beta']}}	none		none	no		none	measured unobservable on the default observable of every command but check; the check row carries the override. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	coupling.frameworkNamespaces	whole-value	check	{coupling: {frameworkNamespaces: ['Nosuch\Framework']}}	{coupling: {frameworkNamespaces: ['Fixture\Silent']}}	none	format:json	finding:coupling.unmatched-framework-namespace@json	no		cure:R2	the R2 cure publishes an unbound framework prefix as a finding, and only check renders findings, so the pre-cure override to format:metrics is withdrawn: the metrics document was measured to carry no finding at all. the hit is Fixture\Silent rather than Fixture\Beta because the rule's universe is the names the coupling walk classifies and the fixture's only dependency edge is SilentOne -> SilentContract; a prefix over Beta binds nothing and fired the signal on the hit side too. the row lands on NOT OBSERVABLE and that is the oracle's honest limit, not a defect of the cure: a prefix that binds moves the json document by zero lines in both the main and the layers fixture (measured), while the miss speaks only in json, and the classifier requires a finding signal's format to be the observable. the cure is witnessed outside the stand, by UnmatchedFrameworkNamespaceIntegrationTest and by the narrow/full discriminator triple. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	disabledRules	whole-value	*	{disabledRules: [coupling.class-rank, coupling.distance, nosuch.rule]}	{disabledRules: [coupling.class-rank, coupling.distance, complexity.ccn]}	none		refusal	no		dictionary	hit_empty=none: disabling a rule that produced nothing reads like disabling nothing. The snippet restates the fixture's own two entries because a top-level key is replaced, not merged
config	exclude	whole-value	*	{exclude: [NoSuchDir]}	{exclude: [Beta]}	none		none	no		none	the P6 cure publishes an unmatched exclude as a finding, and only check renders findings, so every other command stays silent by design. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	exclude	whole-value	check	{exclude: [NoSuchDir]}	{exclude: [Beta]}	none	format:json	finding:discovery.unmatched-exclude@json	no		cure:P6	the P6 cure publishes an exclude pattern that removed no directory as a finding rather than a refusal, and only check renders findings. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	excludeHealth	whole-value	*	{excludeHealth: [NoSuchDir]}	{excludeHealth: [Beta]}	none		none	no		none	on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	failOn	whole-value	*	{failOn: zzz}	{failOn: error}	none		refusal	no		dictionary	hit_empty=none: the severity is an enumeration, not a selector
config	format	whole-value	*	{format: nosuchformat}	{format: json}	none	stdout	refusal	no		dictionary	hit_empty=none: the format name is an enumeration, not a selector
config	onlyRules	whole-value	*	{onlyRules: [nosuch.rule]}	{onlyRules: [complexity.ccn]}	none		refusal	no		dictionary	hit_empty=none: a rule that ran and produced nothing reads like a rule that selected nothing
config	paths	whole-value	*	{paths: [nosuch-dir]}	{paths: [src]}	none		refusal	no		dictionary	hit_empty=none: a path that is analysed and yields nothing is a legitimate report, not an empty selection
config	rules	rule-suppress-pattern	*	{rules: {complexity.ccn: {suppress-paths: [NoSuchDir]}}}	{rules: {complexity.ccn: {suppress-paths: [src/Beta]}}}	none		none	no		none	the P7 cure publishes a suppression value that named nothing as a finding, and only check renders findings, so every other command stays silent by design. guard 2 falsified the first declaration: an unknown option key under rules.<rule> already refused before this round, so the site the cure table means is the pattern inside a suppress-* option, not the key. On the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead the hit value is spelled src/Beta rather than Beta: a suppression pattern is matched against the file's path relative to the project root, so a bare directory name binds nothing. The earlier spelling was never exercised as a hit, because until the P7 cure this door had no observable that told a hit from a miss.
config	rules	rule-suppress-pattern	check	{rules: {complexity.ccn: {suppress_paths: [NoSuchDir]}}}	{rules: {complexity.ccn: {suppress_paths: [src/Beta]}}}	none	format:json	finding:suppression.unmatched-rule-ledger@json	no		cure:P7	the P7 cure publishes a suppression value that bound to nothing as a finding rather than a refusal, and only check renders findings. the values here are spelled suppress_paths, not the suppress-paths of the row above: that spelling is an unknown option key and is refused before any pattern is read, so the pattern site can only be probed through the accepted spelling. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead the hit value is spelled src/Beta rather than Beta: a suppression pattern is matched against the file's path relative to the project root, so a bare directory name binds nothing. The earlier spelling was never exercised as a hit, because until the P7 cure this door had no observable that told a hit from a miss.
config	suppressNamespaces	whole-value	*	{suppressNamespaces: ['Fixture\NoSuch']}	{suppressNamespaces: ['Fixture\Beta']}	none		none	no		none	the P7 cure publishes a suppression value that named nothing as a finding, and only check renders findings, so every other command stays silent by design. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	suppressNamespaces	whole-value	check	{suppressNamespaces: ['Fixture\NoSuch']}	{suppressNamespaces: ['Fixture\Beta']}	none	format:json	finding:suppression.unmatched-namespace@json	no		cure:P7	the P7 cure publishes a suppression value that bound to nothing as a finding rather than a refusal, and only check renders findings. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead
config	suppressPaths	whole-value	*	{suppressPaths: [NoSuchDir]}	{suppressPaths: [src/Beta]}	none		none	no		none	the P7 cure publishes a suppression value that named nothing as a finding, and only check renders findings, so every other command stays silent by design. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead the hit value is spelled src/Beta rather than Beta: a suppression pattern is matched against the file's path relative to the project root, so a bare directory name binds nothing. The earlier spelling was never exercised as a hit, because until the P7 cure this door had no observable that told a hit from a miss.
config	suppressPaths	whole-value	check	{suppressPaths: [NoSuchDir]}	{suppressPaths: [src/Beta]}	none	format:json	finding:suppression.unmatched-path@json	no		cure:P7	the P7 cure publishes a suppression value that bound to nothing as a finding rather than a refusal, and only check renders findings. on the 'more than intended' axis a miss narrows nothing, so there is no legitimately empty hit; guard 2 covers this door instead the hit value is spelled src/Beta rather than Beta: a suppression pattern is matched against the file's path relative to the project root, so a bare directory name binds nothing. The earlier spelling was never exercised as a hit, because until the P7 cure this door had no observable that told a hit from a miss.
cli	--format	whole-value	baseline:rename-channels	nosuchformat	json	none	stdout	refusal	no		dictionary	baseline:rename-channels validates its map before it validates the format, so the refusal names the map rather than echoing the format value; every other command echoes it
cli	paths	whole-value	graph:export	nosuch-dir	src	none		refusal	no		dictionary	graph:export refuses a missing path without naming it, unlike every other command carrying this door
