case	authored_target	authored_line	tested_line	victim_line	findings	suppressed_findings	suppressed	verdict	victim_verdict	exit_check	exit_directives	note
LVL-exact-class	annotation.unused-directive:class	// @qmx-ignore-file annotation.unused-directive:class -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
LVL-exact-namespace	annotation.unused-directive:namespace	// @qmx-ignore-file annotation.unused-directive:namespace -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
LVL-exact-project	annotation.unused-directive:project	// @qmx-ignore-file annotation.unused-directive:project -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
LVL-group-callable	annotation.*:callable	// @qmx-ignore-file annotation.*:callable -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
LVL-group-class	annotation.*:class	// @qmx-ignore-file annotation.*:class -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
LVL-group-namespace	annotation.*:namespace	// @qmx-ignore-file annotation.*:namespace -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
LVL-group-project	annotation.*:project	// @qmx-ignore-file annotation.*:project -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
S-method	annotation.unused-directive	/** @qmx-ignore annotation.unused-directive -- tested */	11	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L11 annotation.unused-directive [info] "annotation.unused-directive"	(none)	0	inert	inert	0	2	
SELF-only	annotation.unused-directive	// @qmx-ignore-file annotation.unused-directive -- tested	7		(none)	L7 annotation.unused-directive [info] "annotation.unused-directive"	1	inert	n/a	0	2	
S-control	coupling.class-rank	/** @qmx-ignore coupling.class-rank -- tested */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"	(none)	0	unmeasured / producer-disabled	inert	0	2	
S-control-live	coupling.class-rank	/** @qmx-ignore coupling.class-rank -- tested */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"	L10 coupling.class-rank [error]	1	effective	inert	0	2	positive control, producer enabled — new row, not in §1
NF-idle	*	// @qmx-ignore-file -- tested	7		(none)	(none)	0	unmeasured / addresses-every-channel	n/a	0	0	a form without a rule filter and nothing to silence — new row, not in §1; it is what a form without a filter looks like once the ban takes its only coverage away
NEIGH-exact	annotation.unresolved-directive	// @qmx-ignore-file annotation.unresolved-directive -- tested	8	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L8 annotation.unused-directive [info] "annotation.unresolved-directive"	(none)	0	inert	inert	0	2	a neighbouring configuration-error channel — new row, not in §1
TH-channel	annotation.unused-directive	/** @qmx-threshold annotation.unused-directive 10 */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L9 annotation.unresolved-directive [error]	(none)	0	unmeasured / already-refused	inert	2	2	
TH-producer	annotation.directive	/** @qmx-threshold annotation.directive 10 */	9	7	L7 annotation.unused-directive [info] "complexity.cyclomatic"; L9 annotation.unsupported-threshold [error]	(none)	0	unmeasured / already-refused	inert	2	2	
