# All src/ positions found where the product reads (a) a LIST whose elements it interprets, or
# (b) a MAP whose keys it interprets. Built by: grep for RuleOptionShape::listOf/mapOf usages,
# ConfigSchema::ENTRIES root types (list/mixed), grep for each ConfigSchema constant's readers
# outside ConfigSchema.php itself, and reading LayerCriterionNormalizer / ExcludeBlockValidator /
# LayersValidator / LongFormAllowEntryNormalizer / ComputedMetricEntryKeyRecognition directly.
# Rows marked "(known-24)" already appear in known-24.tsv with an OUT-OF-SCOPE verdict; every
# other row is new material this pass adds (not previously classified by axis A/D).
#
# columns: config_path  cli_form  container  reader_file:line  expects  on_wrong_form  known24
config_path	cli_form	container	reader_file_line	expects	on_wrong_form	known24
rules.coupling.distance.include-namespaces	rule-opt/yaml	list (or scalar shorthand)	src/Analysis/Evidence/Coupling/DistanceOptions.php:80	each element a non-empty namespace-prefix string	int element refused; known-24 row 92	yes (row 92)
computed_metrics.<name>.levels	yaml	list	src/Analysis/Evidence/ComputedMetrics/Configuration/ComputedMetricEntryKeys.php:63	each element a non-empty level-name string (later matched against declared report levels)	int element refused; known-24 row 73	yes (row 73)
architecture.layers	yaml	list	src/Analysis/Policy/Architecture/Configuration/LayersValidator.php:47-52 (ALLOWED_ENTRY_KEYS)	each element a map with name+>=1 criterion key	int element refused ("must be a map..."); known-24 row 66	yes (row 66)
architecture.layers[*].patterns / suffix / attributes / implements / extends	yaml	list (or scalar shorthand)	src/Analysis/Policy/Architecture/Configuration/LayerCriterionNormalizer.php:194-213 (coerceToStringList/validateListEntry) + src/Analysis/Policy/Architecture/Layer/CriterionListValidator.php	each element a non-empty FQN/glob/suffix string	int element refused ("entry at index 0 must be a non-empty string"); known-24 rows 58,59,60,63 (and exclude.* twins 52-56 below)	yes (58,59,60,63)
architecture.layers[*].exclude.patterns / suffix / attributes / implements / extends	yaml	list (or scalar shorthand)	src/Analysis/Policy/Architecture/Configuration/ExcludeBlockValidator.php:216 (delegates to LayerCriterionNormalizer)	same as the top-level twin, one level down	int element refused; known-24 rows 52,53,54,55,56	yes (52-56)
architecture.layers[*].exclude	yaml	map	src/Analysis/Policy/Architecture/Configuration/ExcludeBlockValidator.php:57-63 (ALLOWED_EXCLUDE_KEYS closed set)	keys in {patterns,suffix,attributes,implements,extends,match}	unknown key refused ("unknown key(s) ... Allowed keys: ..."); known-24 row 57	yes (row 57)
architecture.allow	yaml	map (long-form) or list (short-form, `either`)	src/Analysis/Policy/Architecture/Configuration/LongFormAllowEntryNormalizer.php:39-79 (ALLOWED_KEYS)	keys in {target,relations,allow_cross_instance,allowCrossInstance}	unknown key refused ("unknown long-form key"); root-level `architecture.allow` itself as a bare map is known-24 row 49	yes (row 49, at the allow-root level; the per-entry long-form key set is additional, undocumented-in-known-24 material)
architecture (root)	yaml	map (PRESERVE_SUBTREE)	src/Analysis/Configuration/ConfigSchema.php (ARCHITECTURE=MIXED) + architecture-owned root validator	keys in {layers, allow, coverage-gap, ...declared architecture sub-keys}	unknown key refused; known-24 row 67	yes (row 67)
cache (section)	yaml	map	src/Analysis/Configuration/ConfigSchema.php::allowedSectionSubKeys() (section=cache)	keys in {dir, enabled}	unknown key refused via YamlConfigLoader section-key check; known-24 row 69	yes (row 69)
parallel (section)	yaml	map	src/Analysis/Configuration/ConfigSchema.php::allowedSectionSubKeys() (section=parallel)	keys in {workers}	unknown key refused; known-24 row 79	yes (row 79)
coupling (section)	yaml	map	src/Analysis/Configuration/ConfigSchema.php::allowedSectionSubKeys() (section=coupling)	keys in {frameworkNamespaces (+other declared coupling sub-keys)}	unknown key refused; known-24 row 75	yes (row 75)
coupling.frameworkNamespaces	yaml	list	src/Analysis/Evidence/Coupling/CouplingAnalysis.php:19-22 (replace(array $frameworkNamespaces)) via CouplingConfiguratorInterface	each element a namespace-prefix string	not exercised for element form in known-24 or axis-ad-remainder; a genuinely NEW list position this pass surfaces	no
computed_metrics (root)	yaml	map (PRESERVE_IMMEDIATE_CHILDREN)	src/Analysis/Evidence/ComputedMetrics/ComputedMetricsConfigResolver.php + metric-name validator	keys are user-defined metric-name identifiers (kebab-case, well-formed)	malformed identifier refused; known-24 row 74	yes (row 74)
computed_metrics.<name>.formulas	yaml	map	src/Analysis/Evidence/ComputedMetrics/Configuration/ComputedMetricEntryKeyRecognition.php:76-92	keys are declared report levels (class/namespace/project/...)	unknown level key refused ("must be a map of level to formula, got ..."); known-24 row 70	yes (row 70)
rules (root)	yaml	map (PRESERVE_IMMEDIATE_CHILDREN)	src/Analysis/Finding/Contract/Rule/RuleNameReader.php (NAME const) + rule registry lookup consuming `rules.<slug>` keys	keys are known rule slugs (e.g. "complexity.ccn")	unknown slug: refused as unrecognised rule key (Finding's key-recognition layer) -- NOT in known-24/axis A/D population; this is the `rules` root's OWN map-key question, one level above every rules.* row axis A measured	no
rules.<rule>.<option> (per rule, via acceptedOptionKeys())	rule-opt/yaml	map (the rule's own option block)	src/Analysis/Finding/RuleConfiguration/RuleOptionKeyRecognition.php:refuseUnknownKeys()	keys must be in optionsClass::acceptedOptionKeys()	unknown option key refused; this is axis A's OWN home ground (already fully measured there), listed here only to mark the map-KEY mechanism's most general instance	no

# CHANNELS CHECKED (per brief's required minimum) and what each surfaced:
# - direct reader call            -> all rows above cite a file:line reader.
# - string key identifier          -> ConfigSchema constants (PATHS, EXCLUDES, DISABLED_RULES,
#                                    ONLY_RULES, SUPPRESS_PATHS, SUPPRESS_NAMESPACES,
#                                    COUPLING_FRAMEWORK_NAMESPACES) grepped directly.
# - ConfigSchema constants          -> read whole file (389 lines); ENTRIES root types list/mixed
#                                    enumerated exhaustively (7 top-level LIST rows, 3 MIXED roots:
#                                    rules/computed_metrics/architecture).
# - RuleOptionShape / acceptedOptionKeys() -> grepped ALL listOf()/mapOf() call sites in src/
#                                    (6 listOf sites found; ZERO mapOf sites found anywhere in
#                                    src/ -- see gap note below).
# - normalization in Configuration/Loader/ -> ConfigDataNormalizer.php uses `->list(`/`->map(`-like
#                                    helpers per grep hit list; not read line-by-line, a residual gap.
# - CLI doors (Infrastructure/Console/) -> ConfigurationInputAdapter.php read for
#                                    disable-rule/only-rule/exclude/paths mappings.
# - presets (resources/*)          -> searched; presets are code-configured
#                                    (src/Analysis/Configuration/Preset/PresetResolver.php), no
#                                    on-disk preset YAML tree with its own list/map keys was found,
#                                    so presets contribute no NEW position beyond what YAML/CLI
#                                    already cover.
# - tests                          -> not searched systematically this pass (see gaps).
#
# GAP: mapOf() has ZERO call sites in src/. This means EVERY map-key position in the product
# (architecture.*, cache, parallel, coupling, computed_metrics, rules) is validated by a bespoke,
# hand-written key-set check OUTSIDE the RuleOptionShape mechanism -- there is no single grep
# target for "every map position"; each had to be found by chasing ConfigSchema's MIXED/section
# roots and their owning capability's own validator by name. A map position owned by a capability
# this pass did not open (e.g. a future or overlooked section) would NOT be caught by any of the
# channels above -- this is the method's known blind spot, not a claim of completeness.
