rule_name	path	group_idx	warning_keys	error_keys	threshold_keys	qualifies	reason_if_not	call_site_file:line	call_site_warningKey	call_site_errorKey	call_site_thresholdKey(default)	call_site_legacyKeys	spelling_match_verdict
design.noc	''	1	[warning]	[error]	[threshold]	YES		NocOptions.php:48 (NocRule::NAME='design.noc')	RuleOptionKey::WARNING	RuleOptionKey::ERROR	threshold (default)	none	MATCH
cohesion.lcom	''	1	[warning]	[error]	[threshold]	YES		LcomOptions.php:51	RuleOptionKey::WARNING	RuleOptionKey::ERROR	threshold (default)	none	MATCH
complexity.wmc	''	1	[warning]	[error]	[threshold]	YES		WmcOptions.php:47	RuleOptionKey::WARNING	RuleOptionKey::ERROR	threshold (default)	none	MATCH
duplication.clone	''	1	[warning]	[error]	[threshold]	YES		CodeDuplicationOptions.php:33	RuleOptionKey::WARNING	RuleOptionKey::ERROR	threshold (default)	none	MATCH

# FOOTER NOTE (see spelling.md for full derivation):
# write-spelling for the expansion = ConfigKeySpelling::normalize(canonical registry key), i.e. camelCase,
# because deepMerge()/mergeRuleOptions() collide overlay keys onto base by LITERAL string equality, and
# every door (YAML loader, --rule-opt, #[CliAlias]) folds real user keys to camelCase before either merge
# call site ever runs. Writing the registry's literal snake_case form instead creates a phantom key that
# SHADOWS a later layer's camelCase override (ThresholdParser checks the primary spelling before legacyKeys).
# This only matters for rows whose canonical spelling has a separator (8 of 29 qualifying pairs):
# complexity.ccn/class, complexity.cognitive/class, complexity.npath/class (max_warning/max_error),
# coupling.instability/'', coupling.instability/class, coupling.instability/namespace (max_warning/max_error),
# coupling.distance/'' (max_distance_warning/max_distance_error),
# code-smell.long-parameter-list/'' vo-group (vo_warning/vo_error/vo_threshold).
# For the other 21 qualifying pairs (bare warning/error/threshold), camelCase == snake_case == the word itself,
# so the distinction is moot.
# EXCEPTION: this write-spelling rule applies to the two named merge call sites only. CboOptions.php:60-71 and
# InstabilityOptions.php:53-66 build their OWN $levelConfig array (snake_case, matching their own call-site
# spelling) and hand it directly to the child Options::fromArray(), bypassing evictOverriddenMode() and the
# merge machinery for that hop -- unaffected by, and irrelevant to, the expansion's write-spelling choice.
