file	line	literal	meaning	cure	evidence
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	84	coupling.cbo	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:84 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_CBO carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	126	coupling.instability	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:126 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_INSTABILITY carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	140	coupling.distance	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:140 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_DISTANCE carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	147	coupling.class-rank	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:147 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_CLASS_RANK carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	161	design.noc	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:161 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_NOC carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	175	size.method-count	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:175 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::SIZE_METHOD_COUNT carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	182	size.property-count	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:182 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::SIZE_PROPERTY_COUNT carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	224	design.type-coverage.param	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:224 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_TYPE_COVERAGE_PARAM carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	231	design.type-coverage.return	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:231 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_TYPE_COVERAGE_RETURN carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	238	design.type-coverage.property	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:238 key of const METRICS, read by metric key at MetricHintCatalog.php:521 resolveMetric(string $metricKey), which normalizes through MetricName::base() at :529-533. Sibling keys of the same array (complexity.ccn, complexity.ccn.avg, cohesion.tcc, size.cloc) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_TYPE_COVERAGE_PROPERTY carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	284	complexity.cognitive	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:284 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_COGNITIVE carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	290	complexity.npath	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:290 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_NPATH carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	297	cohesion.lcom	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:297 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COHESION_LCOM carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	313	complexity.wmc	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:313 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_WMC carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	320	coupling.cbo	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:320 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_CBO carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	326	coupling.instability	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:326 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_INSTABILITY carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	339	coupling.distance	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:339 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_DISTANCE carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	344	coupling.class-rank	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:344 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_CLASS_RANK carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	357	design.noc	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:357 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_NOC carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	370	size.method-count	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:370 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::SIZE_METHOD_COUNT carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	376	size.property-count	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:376 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::SIZE_PROPERTY_COUNT carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	402	design.type-coverage.param	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:402 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_TYPE_COVERAGE_PARAM carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	407	design.type-coverage.return	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:407 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_TYPE_COVERAGE_RETURN carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	412	design.type-coverage.property	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:412 key of const RANGES, joined to HTML_LABELS, METRICS and FORMAT_TEMPLATES by the identical key at MetricHintCatalog.php:504-510. Its sibling key complexity.ccn names no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_TYPE_COVERAGE_PROPERTY carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	427	cohesion.lcom	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:427 sole key of const FORMAT_TEMPLATES, looked up by the RANGES key at MetricHintCatalog.php:509 — the same key space METRICS normalizes with MetricName::base() at :529, so the universe of these keys is MetricName, not the channel universe. MetricName::COHESION_LCOM carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	441	complexity.cognitive	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:441 key of const HTML_LABELS, looked up by the RANGES key at MetricHintCatalog.php:505. Sibling keys of the same array (complexity.ccn, cohesion.tcc, coupling.ce, design.dit, maintainability.mi, size.class-count.sum) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_COGNITIVE carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	442	complexity.npath	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:442 key of const HTML_LABELS, looked up by the RANGES key at MetricHintCatalog.php:505. Sibling keys of the same array (complexity.ccn, cohesion.tcc, coupling.ce, design.dit, maintainability.mi, size.class-count.sum) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_NPATH carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	445	complexity.wmc	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:445 key of const HTML_LABELS, looked up by the RANGES key at MetricHintCatalog.php:505. Sibling keys of the same array (complexity.ccn, cohesion.tcc, coupling.ce, design.dit, maintainability.mi, size.class-count.sum) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COMPLEXITY_WMC carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	446	coupling.cbo	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:446 key of const HTML_LABELS, looked up by the RANGES key at MetricHintCatalog.php:505. Sibling keys of the same array (complexity.ccn, cohesion.tcc, coupling.ce, design.dit, maintainability.mi, size.class-count.sum) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::COUPLING_CBO carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	450	design.noc	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:450 key of const HTML_LABELS, looked up by the RANGES key at MetricHintCatalog.php:505. Sibling keys of the same array (complexity.ccn, cohesion.tcc, coupling.ce, design.dit, maintainability.mi, size.class-count.sum) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::DESIGN_NOC carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	453	size.method-count	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:453 key of const HTML_LABELS, looked up by the RANGES key at MetricHintCatalog.php:505. Sibling keys of the same array (complexity.ccn, cohesion.tcc, coupling.ce, design.dit, maintainability.mi, size.class-count.sum) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::SIZE_METHOD_COUNT carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php	454	size.property-count	metric-read	replace-with-MetricName-constant	src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:454 key of const HTML_LABELS, looked up by the RANGES key at MetricHintCatalog.php:505. Sibling keys of the same array (complexity.ccn, cohesion.tcc, coupling.ce, design.dit, maintainability.mi, size.class-count.sum) name no registered channel, so the universe of these keys is MetricName, not the channel universe. MetricName::SIZE_PROPERTY_COUNT carries this exact spelling and the file already imports MetricName (src/Analysis/Evidence/ComputedMetrics/Health/Metadata/MetricHintCatalog.php:7).
src/Analysis/Evidence/Measurement/Contract/MetricName.php	25	complexity.cognitive	declaration-site	allow-file	src/Analysis/Evidence/Measurement/Contract/MetricName.php:25 the const declaration that mints the string: public const string COMPLEXITY_COGNITIVE = 'complexity.cognitive'. Nothing exists to derive it from — this file defines the metric-key universe, and the channel of the same spelling is declared by its own producing rule under another capability root.
src/Analysis/Evidence/Measurement/Contract/MetricName.php	26	complexity.npath	declaration-site	allow-file	src/Analysis/Evidence/Measurement/Contract/MetricName.php:26 the const declaration that mints the string: public const string COMPLEXITY_NPATH = 'complexity.npath'. Nothing exists to derive it from — this file defines the metric-key universe, and the channel of the same spelling is declared by its own producing rule under another capability root.
src/Analysis/Evidence/Measurement/Contract/MetricName.php	27	complexity.wmc	declaration-site	allow-file	src/Analysis/Evidence/Measurement/Contract/MetricName.php:27 the const declaration that mints the string: public const string COMPLEXITY_WMC = 'complexity.wmc'. Nothing exists to derive it from — this file defines the metric-key universe, and the channel of the same spelling is declared by its own producing rule under another capability root.
src/Analysis/Evidence/Measurement/Contract/MetricName.php	33	coupling.cbo	declaration-site	allow-file	src/Analysis/Evidence/Measurement/Contract/MetricName.php:33 the const declaration that mints the string: public const string COUPLING_CBO = 'coupling.cbo'. Nothing exists to derive it from — this file defines the metric-key universe, and the channel of the same spelling is declared by its own producing rule under another capability root.
src/Analysis/Evidence/Measurement/Contract/MetricName.php	34	coupling.instability	declaration-site	allow-file	src/Analysis/Evidence/Measurement/Contract/MetricName.php:34 the const declaration that mints the string: public const string COUPLING_INSTABILITY = 'coupling.instability'. Nothing exists to derive it from — this file defines the metric-key universe, and the channel of the same spelling is declared by its own producing rule under another capability root.
src/Analysis/Evidence/Measurement/Contract/MetricName.php	36	coupling.distance	declaration-site	allow-file	src/Analysis/Evidence/Measurement/Contract/MetricName.php:36 the const declaration that mints the string: public const string COUPLING_DISTANCE = 'coupling.distance'. Nothing exists to derive it from — this file defines the metric-key universe, and the channel of the same spelling is declared by its own producing rule under another capability root.
