key_or_flag	surface	yaml_path_shape	owner_class_or_file	phase_applied	mechanism	finding_produced	finding_counted	finding_printed_under_show_suppressed	occurrences_total	occurrences_by_area	docs_pages	notes
@qmx-ignore-file	inline docblock annotation, file-level (top of file)	`@qmx-ignore-file [rule] [-- reason]`	src/Analysis/Policy/Inline/Contract/SuppressionExtractor.php; src/Analysis/Policy/Inline/Contract/Suppression/SuppressionTarget.php (file-level target)	FindingProjection — same FindingFilterStage::Suppression as @qmx-ignore	находка произведена и выброшена на проекции отчёта (suppression target = whole file, not the file-discovery exclusion of the plain `exclude` key)	Y	Y	Y (same reportSuppressedFindings path as @qmx-ignore)	152	src=12 tests=28 docs=79 website=24 CHANGELOG=9	website/docs/rules/annotation.md, website/docs/usage/baseline.md, website/docs/usage/output-formats.md (+.ru.md)	СОСЕДНИЙ СЛОВАРЬ. Named explicitly in the task's ПРЕДМЕТ list of neighbor vocabulary. Despite the name "ignore-file", the file IS still read, parsed and measured (unlike the plain `exclude` root key/Discovery-phase mechanism) — every finding in it is produced and only then suppressed at the FindingProjection stage. This is a common confusion point worth flagging for X8's renaming: `exclude` (file never read) vs `@qmx-ignore-file` (file read, findings suppressed) sound similar but are different mechanisms entirely.
@qmx-threshold	inline docblock annotation on a declaration	`@qmx-threshold <metric.key> <value>` or `warning=N error=N`	src/Analysis/Policy/Inline/Contract/ThresholdOverrideExtractor.php; src/Analysis/Policy/Inline/ThresholdOverrideExtractionResult.php	RuleExecution (threshold override consulted by the rule BEFORE it decides whether the metric value crosses the (possibly overridden) threshold)	находка может вообще не быть произведена, если новый порог не пересечён (changes the produce/no-produce decision itself, not a post-hoc filter)	depends (Y or N per-declaration, decided at rule-evaluation time)	NA (not a removal-count stage; no finding was ever removed, none may have existed)	NA	611 (includes @qmx-threshold plus its many code/doc mentions of the mechanism, not only literal annotation occurrences)	src=150 tests=166 docs=158 website=77 scripts=27 finding-gate=7 CHANGELOG=23 qmx.yaml=3	website/docs/rules/annotation.md, website/docs/getting-started/configuration.md, website/docs/reference/default-thresholds.md, website/docs/rules/design.md (+.ru.md)	СОСЕДНИЙ СЛОВАРЬ: not an exclusion in the FindingFilterStage sense at all — it does not run through FindingProjector or FindingExclusionLedger. It changes the boundary a rule compares its computed metric against, so a finding it would otherwise have produced simply never comes into existence (or one that would not have fired now does). Structurally closer to `exclude_readonly`-style scope predicates than to the removal-stage mechanisms above, but it is explicitly named in the task's neighbor-vocabulary list, so kept as its own row rather than merged.
baseline (--baseline=<file>, qmx-baseline.json)	CLI --baseline=<path> option; the accepted-finding ceiling file itself	CLI flag only; no qmx.yaml root key (file path is external)	src/Analysis/Policy/Baseline/Filter/BaselineCeilingStage.php; src/Reporting/FindingProjection/FindingProjector.php (stage order: Baseline runs AFTER Suppression/PathExclusion/NamespaceExclusion, BEFORE GitScope); src/Analysis/Finding/Contract/Filter/FindingFilterStage.php (case Baseline)	FindingProjection — FindingFilterStage::Baseline; explicitly excluded from `definesMeasuredSet()` (ADR 0017)	the accepted-level ceiling: suppresses, promotes to Error on breach, or does neither — NOT a plain drop	Y	Y (ceiling->result->removed populated; --show-resolved / stale-entry reporting reads the same list from a different angle)	n via FindingFilterOrchestrator::reportSuppressedFindings() (Suppression-stage only, as above); Y via `--format=suppressed` / SuppressionMechanism::Baseline	2241	src=486 tests=639 docs=710 website=263 scripts=76 finding-gate=12 CHANGELOG=48 qmx.yaml=7	website/docs/usage/baseline.md (+.ru.md)	СОСЕДНИЙ СЛОВАРЬ: no "exclude" wording at all, yet it is the mechanism most likely to be confused with @qmx-ignore/exclude_paths by users because it also makes findings disappear from the default report. FindingFilterStage::Baseline.definesMeasuredSet() returns false — the baseline stage's removals are deliberately NOT part of the "measured set" that Suppression/PathExclusion/NamespaceExclusion define (ADR 0017), a structurally different guarantee from every exclusion mechanism above. 2241 occurrences reflect the word "baseline" generally (feature name, class names, docs), not only the CLI flag; a literal `--baseline=` grep would be far smaller but was not separately run given time budget — flagged as an approximation, not UNKNOWN, since the mechanism identity itself is fully confirmed by code.
architecture.coverage: ignore / <layer-verdict>.mode: ignore	qmx.yaml nested scalar inside architecture section	architecture: {coverage: ignore|warn|error}; also per-declaration verdict modes (UnassignedClassOptions mode field)	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationOptions.php; src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassOptions.php	Architecture rule construction (gate read before the rule emits any finding for that channel)	правило (или отдельный канал/вердикт правила) вообще не исполняется для этого канала -> находка не производится	N (for the gated channel)	NA	NA	UNKNOWN — not separately grepped; "ignore" alone is too common a word to isolate by grep without producing noise (matches PHPDoc, unrelated code); would need an AST/manifest-aware pass	not measured	website/docs/rules/architecture.md (+.ru.md)	СОСЕДНИЙ СЛОВАРЬ, close cousin of disable-rule but scoped to one architecture diagnostic channel rather than a whole rule name. LayerViolationOptions.php's own docblock explicitly contrasts this with the removed unreachable_layer_severity/potential_shadow_severity/empty_template_severity knobs, calling `coverage: ignore` "the supported way to decline the diagnostic outright" — i.e. deliberately kept as the one severity-shaped suppression surface for that family. This is the closest thing in the tree to the task's "severity-подавление" neighbor category; there is no literal `severity: ignore` value anywhere (Severity enum has only Info/Warning/Error, confirmed by reading src/Analysis/Finding/Contract/Severity.php — no Ignore case exists).
exclude_readonly / excludeReadonly	rule-scoped option under rules.<rule-name> (cohesion.lcom, design.data-class, design.god-class, size.property-count)	rules: {<rule>: {exclude_readonly: true|false}}	src/Analysis/Evidence/Cohesion/LcomOptions.php; src/Analysis/Evidence/Design/DataClass/DataClassOptions.php; src/Analysis/Evidence/Design/GodClass/GodClassOptions.php; src/Analysis/Evidence/Size/PropertyCountOptions.php	Collection/Aggregation (collector-level scope predicate, decided per-property/per-method before any metric is computed)	сущность (readonly property) не измеряется правилом — narrows the collector's input set, not a Finding filter	NA	NA	NA	14 (exclude_readonly) + 67 (excludeReadonly)	exclude_readonly: src=4 tests=2 website=8; excludeReadonly: src=24 tests=30 docs=1 website=12	website/docs/rules/cohesion.md, website/docs/rules/design.md (implied via default-thresholds tables)	Representative example of the sixth ПРЕДМЕТ mechanism ("предикат охвата внутри опций правила"). Same option name is independently declared on four unrelated Options classes with independent defaults (all default true) — a scope predicate, not a shared cross-cutting exclusion primitive; each rule owns and validates its own copy.
exclude_promoted_only / excludePromotedOnly	rule-scoped option under rules.<rule-name> (design.data-class, size.property-count)	rules: {<rule>: {exclude_promoted_only: true|false}}	src/Analysis/Evidence/Size/PropertyCountOptions.php; src/Analysis/Evidence/Design/DataClass/DataClassOptions.php	Collection/Aggregation	сущность (constructor-promoted-only property) не измеряется правилом	NA	NA	NA	7 (exclude_promoted_only) + 40 (excludePromotedOnly)	exclude_promoted_only: src=2 tests=1 website=4; excludePromotedOnly: src=12 tests=17 docs=1 website=10	website/docs/rules/design.md, website/docs/rules/size.md	Second example of the scope-predicate mechanism, kept as a separate row because it is a distinct option key (not exclude_readonly under another name) even though both live on overlapping Options classes.
exclude_data_classes / excludeDataClasses	rule-scoped option under rules.complexity.wmc	rules: {complexity.wmc: {exclude_data_classes: true|false}}	src/Analysis/Evidence/Complexity/WmcOptions.php	Collection/Aggregation (whole-class scope predicate)	сущность (class recognized as a data class) не измеряется правилом	NA	NA	NA	5 (exclude_data_classes) + 18 (excludeDataClasses)	exclude_data_classes: src=1 tests=1 website=3; excludeDataClasses: src=7 tests=11	website/docs/rules/complexity.md (implied)	Scope predicate at class granularity rather than property/method granularity — same mechanism family as exclude_readonly, different unit of exclusion.
exclude_tests / excludeTests	rule-scoped option under rules.maintainability.*	rules: {<rule>: {exclude_tests: true|false}}	src/Analysis/Evidence/Maintainability/MaintainabilityOptions.php	Collection/Aggregation (path-shaped scope predicate, but decided inside the rule's own options, not via the global exclude_paths pipeline)	сущность (file recognized as a test file) не измеряется правилом	NA	NA	NA	4 (exclude_tests) + 21 (excludeTests)	exclude_tests: src=1 tests=1 website=2; excludeTests: src=6 tests=11 website=4	website/docs/rules/maintainability.md (implied)	Named like a path exclusion but is NOT wired through PathExclusionFilter/FindingExclusionLedger; it is evaluated inside MaintainabilityRule's own logic against the collected subject. Confirms the task's warning that similarly-named keys can be structurally unrelated mechanisms.
exclude_exceptions / excludeExceptions	rule-scoped option under rules.design.data-class	rules: {design.data-class: {exclude_exceptions: true|false}}	src/Analysis/Evidence/Design/DataClass/DataClassOptions.php; src/Analysis/Evidence/Design/DataClass/DataClassExclusionCheck.php	Collection/Aggregation (whole-class scope predicate keyed on Throwable inheritance)	сущность (exception class) не измеряется правилом	NA	NA	NA	2 (exclude_exceptions) + 15 (excludeExceptions)	exclude_exceptions: src=1 tests=1; excludeExceptions: src=6 tests=9	no dedicated website page found in the grep pass (default-thresholds.md/design.md may reference it indirectly — not independently confirmed; treated as UNKNOWN whether a docs page exists)	Fourth scope-predicate example; DataClassExclusionCheck.php is a dedicated helper class expressing exactly this predicate, suggesting the mechanism is common enough within one rule to be its own collaborator.
exclude_methods / excludeMethods	rule-scoped option under rules.cohesion.lcom	rules: {cohesion.lcom: {exclude_methods: [name-or-pattern, ...]}}	src/Analysis/Evidence/Cohesion/LcomOptions.php	Collection/Aggregation (method-name scope predicate; comma-separated CLI form supported via --rule-opt)	сущность (named method) не измеряется правилом	NA	NA	NA	12 (exclude_methods) + 24 (excludeMethods)	exclude_methods: src=3 tests=6 website=2 CHANGELOG=1; excludeMethods: src=16 tests=8	website/docs/rules/cohesion.md (implied)	Fifth scope-predicate example, the only one of the five that is a free-form name/pattern list rather than a boolean toggle — closer in shape to exclude_paths/exclude_namespaces but scoped to one rule's own collector rather than routed through the shared FindingExclusionLedger/PathMatcher machinery.
#
# ЧЕМ ПОЛУЧЕНО (дословные команды и файлы, в порядке применения):
#
# 1. git branch --show-current && git log -1 --oneline   (подтверждение базы: claude/x8-one-string-two-jobs @ 1e2296d9)
# 2. Read src/Analysis/Configuration/ConfigSchema.php целиком — единственный источник правды по корневым YAML-ключам
#    (EXCLUDES, EXCLUDE_PATHS, EXCLUDE_NAMESPACES, EXCLUDE_HEALTH, ENTRIES[], sectionPolicies(), identifierKeyedOptions()).
# 3. grep -rn "EXCLUDE_*\b" src/ --include=*.php (по каждой константе ConfigSchema отдельно) -> нашёл единственного
#    потребителя каждой константы: RunConfigurationResolver.php, ConfiguredFindingExclusionsResolver.php,
#    ConfigurationInputAdapter.php, RuleExclusionLedgerAttributor.php, FindingExclusionLedger.php,
#    RuleOptionsFactory.php, RuleInputValidator.php.
# 4. Read src/Analysis/Run/Configuration/RunConfigurationResolver.php -> подтвердил `exclude` -> RunConfiguration::$pathExcludes.
# 5. grep -rn "pathExcludes" src/ -> проследил до FinderFileDiscovery через FileDiscoveryFactory -> Discovery, до AST не доходит.
# 6. Read src/Reporting/FindingProjection/Configuration/ConfiguredFindingExclusionsResolver.php -> exclude_paths/exclude_namespaces
#    читаются в FindingProjection, не в Discovery.
# 7. Read src/Infrastructure/Console/FindingFilterOrchestrator.php целиком — ключевой файл: показывает раздельные пути
#    репортинга (reportSuppressedFindings — только Suppression stage; reportExclusionCounts — verbose-only счётчики
#    Path/NamespaceExclusion; reportRuleExclusions — per-rule ledger, печатается под --show-suppressed отдельно).
#    Это единственный файл, откуда взяты verdict-ы finding_printed_under_show_suppressed.
# 8. Read src/Analysis/Finding/Contract/Filter/FindingFilterStage.php — закрытый enum стадий, докблок объясняет
#    порядок (Suppression -> PathExclusion -> NamespaceExclusion -> Baseline -> GitScope) и definesMeasuredSet().
# 9. Read src/Reporting/FindingProjection/FindingProjector.php (первые ~120 строк) — подтвердил, что стадии применяются
#    к уже посчитанным Finding[], то есть finding_produced=Y для всех стадий FindingProjection.
# 10. Read src/Analysis/Finding/FindingExclusionLedger.php целиком — отдельный, per-rule механизм внутри RuleExecution,
#     до FindingProjector; подтвердил exclude_namespaces/exclude_namespace_channels/exclude_paths как поля rules:{}.
# 11. grep -rn "capturesExcludedFindings|captureExcludedFindings" src/ + Read RuleOptionsRegistry.php (сниппет) +
#     grep "show-suppressed" src/ -> проследил цепочку RuntimeConfigurator -> AnalysisRuntimeConfigurator ->
#     RuleOptionsRegistry::captureExcludedFindings(), подтвердил gating per-rule печати именно флагом --show-suppressed.
# 12. Read src/Reporting/FindingProjection/SuppressionMechanism.php (первые ~60 строк) — закрытый enum из 7 значений,
#     публикуемых форматом `suppressed`; отсюда взята оговорка про --format=suppressed, отличающийся от --show-suppressed.
# 13. Read src/Analysis/Policy/Architecture/Layer/ExcludeSpec.php целиком — подтвердил "класс не входит в слой" как
#     отдельный, не Finding-уровневый механизм (member-ship-фильтр, применяется до любого правила).
# 14. grep -rln "excludeHealth|exclude_health|EXCLUDE_HEALTH" + Read релевантных строк в ComputedMetricsConfigResolver.php,
#     ComputedMetricContributionReader.php, ComputedMetricAnalysis.php — подтвердил "измерение не входит в формулу здоровья".
# 15. Read src/Infrastructure/Console/CheckCommandDefinition.php (несколько диапазонов) — полный список CLI-флагов:
#     --exclude, --exclude-path, --exclude-namespace, --exclude-health, --disable-rule, --only-rule, --show-suppressed,
#     --no-suppression-annotations, --report-strict.
# 16. grep -rln "disable-rule|disabledRules|DISABLED_RULES" и "qmx-ignore-file|IgnoreFile" и "qmx-threshold" src/ ->
#     нашёл владельцев соседнего словаря: RuleExecution.php, ThresholdOverrideExtractor.php, SuppressionExtractor.php.
# 17. Read src/Analysis/Finding/Contract/Severity.php целиком — подтвердил ОТСУТСТВИЕ отдельного severity=ignore:
#     enum Severity содержит только Info/Warning/Error, ни одного случая Ignore.
# 18. grep -n "exclude|ignore" по *Options.php во всех src/Analysis/Evidence/* и src/Analysis/Policy/* (список из 11
#     файлов) + Read LcomOptions.php/WmcOptions.php/DataClassOptions.php/GodClassOptions.php/PropertyCountOptions.php
#     фрагментарно -> шестой механизм ПРЕДМЕТА: "предикат охвата внутри опций правила" (exclude_readonly,
#     exclude_promoted_only, exclude_data_classes, exclude_tests, exclude_exceptions, exclude_methods).
# 19. Read src/Analysis/Policy/Architecture/LayerViolation/LayerViolationOptions.php (докблок, строки 1-50) ->
#     "coverage: ignore" как единственная оставленная severity-подобная ручка отключения диагностического канала.
# 20. find . -iname "*preset*" (минус vendor) + grep "exclude" src/Analysis/Configuration/Preset/PresetResolver.php ->
#     ПУСТОЙ результат: встроенные пресеты (strict/legacy/ci) не объявляют exclude-подобных ключей вовсе.
# 21. Подсчёт встречаемости: git grep -Inw "<pattern>" -- <area> для каждой area из
#     {src, tests, docs, website, scripts, finding-gate, CHANGELOG.md, qmx.yaml}, просуммировано вручную в total,
#     выполнено отдельным bash-циклом на каждый ключ (см. историю команд сессии; воспроизводимо построчно).
# 22. grep -rl "<key>" website/docs -> список doc-страниц для колонки docs_pages (EN-версии; .ru.md существование
#     подтверждено тем же grep, где путь оканчивается на .ru.md в выдаче).
#
# ЧЕГО ЭТОТ СПОСОБ НЕ ВИДИТ (заявлено явно, а не обойдено молчанием):
#
# ПОКРЫТО:
#   - прямой импорт констант ConfigSchema и их единственных потребителей (grep + Read каждого файла);
