code	producer	owner_capability	shape	declared_direction	levels	requires_list	judged_metric_key	judged_metric_source	code_equals_judged_key	threshold_option_keys	notes
complexity.npath	complexity.npath	Complexity	magnitude	higher	callable,class	complexity.npath	complexity.npath	src/Analysis/Evidence/Complexity/NpathComplexityRule.php:168,194 (callable level) and :220,245 (class level, agg(...,Max))	Y	warning,error (per level)	NONE
complexity.wmc	complexity.wmc	Complexity	magnitude	higher	class	complexity.wmc,design.is-data-class,size.method-count	complexity.wmc	src/Analysis/Evidence/Complexity/WmcRule.php:93,121 ($wmc = $metrics->get(MetricName::COMPLEXITY_WMC); metricValue: $wmcValue)	Y	warning,error	NONE
coupling.cbo	coupling.cbo	Coupling	magnitude	higher	class,namespace	coupling.cbo,coupling.ca,coupling.ce,coupling.cbo-app,coupling.ce-framework	coupling.cbo	src/Analysis/Evidence/Coupling/CboRule.php:161,204,253 ($metricName = applicationScope ? COUPLING_CBO_APP : COUPLING_CBO; class level always reads COUPLING_CBO at namespaceFinding(); metricValue: (float) $cbo)	Y	warning,error (per level: class./namespace., plus scope=application variant)	When ClassCboOptions->scope==="application" the class-level finding reads COUPLING_CBO_APP instead — same channel code, different judged key depending on configuration
coupling.class-rank	coupling.class-rank	Coupling	occurrence	NULL	class	coupling.class-rank	coupling.class-rank	src/Analysis/Evidence/Coupling/ClassRankRule.php:103,134 ($classRank = ...->get(MetricName::COUPLING_CLASS_RANK); metricValue: $rankValue)	Y	warning,error	NONE
coupling.distance	coupling.distance	Coupling	magnitude	higher	namespace	coupling.distance,coupling.abstractness,coupling.instability	coupling.distance	src/Analysis/Evidence/Coupling/DistanceRule.php:145,177 ($distance = $metrics->get(MetricName::COUPLING_DISTANCE); metricValue: $distanceValue)	Y	maxDistanceWarning,maxDistanceError,minClassCount	abstractness/instability are read only for the message text, not judged
coupling.instability	coupling.instability	Coupling	magnitude	higher	class,namespace	coupling.instability,coupling.ca,coupling.ce	coupling.instability	src/Analysis/Evidence/Coupling/InstabilityRule.php:173,208 (class level) and :236,274 (namespace level)	Y	warning,error (per level: class./namespace.)	NONE
design.data-class	design.data-class	Design	magnitude	lower	class	design.woc,complexity.wmc,size.method-count.total,size.property-count,design.is-readonly,design.is-promoted-properties-only,design.is-abstract,design.is-interface,design.is-exception	COMPOSITE	src/Analysis/Evidence/Design/DataClass/DataClassRule.php:122-149 ($woc = $metrics->get(MetricName::DESIGN_WOC); $wmcValue = $metrics->get(MetricName::COMPLEXITY_WMC); finding fires only when both woc<=threshold AND wmc<=threshold; metricValue: $wocValue)	N	wocThreshold,wmcThreshold,minMembers	COMPOSITE: design.woc,complexity.wmc — reported metricValue is design.woc alone, but the gating decision reads both; matches seed hint
design.god-class	design.god-class	Design	magnitude	higher	class	complexity.wmc,cohesion.lcom,cohesion.tcc,size.class-loc,size.method-count,design.is-readonly	COMPOSITE	src/Analysis/Evidence/Design/GodClass/GodClassRule.php (evaluateClass) + GodClassCriteriaEvaluator.php:48,69,74,93,112 (complexity.wmc, cohesion.lcom, cohesion.tcc(x2), size.class-loc); metricValue: $matchedCount (criteria count, not a metric value)	N	wmcThreshold,lcomThreshold,tccThreshold,classLocThreshold,minCriteria,minMethods	COMPOSITE: complexity.wmc,cohesion.lcom,cohesion.tcc,size.class-loc — metricValue is a derived count of matched criteria, not any one of the underlying metric values; matches seed hint
design.inheritance	design.inheritance	Design	magnitude	higher	class	design.dit	design.dit	src/Analysis/Evidence/Design/Inheritance/InheritanceRule.php:75,121 ($dit = $metrics->get(MetricName::DESIGN_DIT); metricValue: $ditValue)	N	warning,error	Matches seed hint
design.noc	design.noc	Design	magnitude	higher	class	design.noc	design.noc	src/Analysis/Evidence/Design/Inheritance/NocRule.php:88,115 ($noc = ...->get(MetricName::DESIGN_NOC); metricValue: $nocValue)	Y	warning,error	NONE
design.type-coverage.param	design.type-coverage.param	Design	magnitude	lower	class	design.type-coverage.param	design.type-coverage.param	src/Analysis/Evidence/Design/TypeCoverage/ParamTypeCoverageRule.php:60 (coverageMetric() returns MetricName::DESIGN_TYPE_COVERAGE_PARAM) via AbstractTypeCoverageRule.php:117,138 (metricValue: $coverage)	Y	warning,error (shared TypeCoverageOptions)	channelName() and coverageMetric() both return the same literal by construction
design.type-coverage.property	design.type-coverage.property	Design	magnitude	lower	class	design.type-coverage.property	design.type-coverage.property	src/Analysis/Evidence/Design/TypeCoverage/PropertyTypeCoverageRule.php:58 (coverageMetric() returns MetricName::DESIGN_TYPE_COVERAGE_PROPERTY) via AbstractTypeCoverageRule.php	Y	warning,error (shared TypeCoverageOptions)	NONE
design.type-coverage.return	design.type-coverage.return	Design	magnitude	lower	class	design.type-coverage.return	design.type-coverage.return	src/Analysis/Evidence/Design/TypeCoverage/ReturnTypeCoverageRule.php:58 (coverageMetric() returns MetricName::DESIGN_TYPE_COVERAGE_RETURN) via AbstractTypeCoverageRule.php	Y	warning,error (shared TypeCoverageOptions)	NONE
duplication.code-duplication	duplication.code-duplication	Duplication	magnitude	higher	project	NONE	NONE	src/Analysis/Evidence/Duplication/CodeDuplicationRule.php:140 (metricValue: $block->lines, the duplicated-block line count from the duplication engine — not a MetricName catalog key)	NA	min_lines,min_tokens,warning,error	Per task instruction duplication.* is written NONE; note the raw line count is a real magnitude judged, just not sourced from MetricName
maintainability.index	maintainability.index	Maintainability	magnitude	lower	callable	maintainability.mi,size.method-statement-count	maintainability.mi	src/Analysis/Evidence/Maintainability/MaintainabilityRule.php:87,130 ($mi = $metrics->get(MetricName::MAINTAINABILITY_MI); metricValue: round($miValue, 1))	N	warning,error,minStatements	Matches seed hint
security.command-injection	security.command-injection	Security	occurrence	NULL	callable	security.command_injection	NONE	src/Analysis/Evidence/Security/AbstractSecurityPatternRule.php (occurrence shape, no metricValue found in the abstract or CommandInjectionRule.php)	NA	NONE (enabled-only, pattern list)	Occurrence marker only
security.hardcoded-credentials	security.hardcoded-credentials	Security	occurrence	NULL	class	security.hardcoded-credentials	NONE	src/Analysis/Evidence/Security/HardcodedCredentialsRule.php:73,112 (entries(MetricName::SECURITY_HARDCODED_CREDENTIALS); metricValue: 1.0 fixed marker)	NA	NONE (enabled-only)	MetricName key is read (as a collector-entries bag), but the reported metricValue is a fixed 1.0 occurrence marker, not the entries content — occurrence shape
security.sensitive-parameter	security.sensitive-parameter	Security	occurrence	NULL	callable	security.sensitive-parameter	NONE	src/Analysis/Evidence/Security/SensitiveParameterRule.php:73,112 (entries(MetricName::SECURITY_SENSITIVE_PARAMETER); metricValue: 1.0 fixed marker)	NA	NONE (enabled-only)	Same pattern as security.hardcoded-credentials
security.sql-injection	security.sql-injection	Security	occurrence	NULL	callable	security.sql_injection	NONE	src/Analysis/Evidence/Security/AbstractSecurityPatternRule.php (occurrence shape, no metricValue found)	NA	NONE (enabled-only, pattern list)	Occurrence marker only
security.xss	security.xss	Security	occurrence	NULL	callable	security.xss	NONE	src/Analysis/Evidence/Security/AbstractSecurityPatternRule.php (occurrence shape, no metricValue found)	NA	NONE (enabled-only, pattern list)	Occurrence marker only
size.class-count	size.class-count	Size	magnitude	higher	namespace	size.class-count	size.class-count	src/Analysis/Evidence/Size/ClassCountRule.php:102,123 ($classCount = $metrics->get(MetricName::agg(SIZE_CLASS_COUNT, Sum)); metricValue: $classCount)	Y	warning,error	Reads the .sum aggregated key, whose base() is size.class-count
size.method-count	size.method-count	Size	magnitude	higher	class	size.method-count	size.method-count	src/Analysis/Evidence/Size/MethodCountRule.php:98,137 ($methodCount = $metrics->get(MetricName::SIZE_METHOD_COUNT); metricValue: $methodCount)	Y	warning,error	NONE
size.property-count	size.property-count	Size	magnitude	higher	class	size.property-count,design.is-readonly,design.is-promoted-properties-only	size.property-count	src/Analysis/Evidence/Size/PropertyCountRule.php:149,141 ($propertyCount = $metrics->get(MetricName::SIZE_PROPERTY_COUNT); metricValue: $propertyCountValue)	Y	warning,error	NONE
#
# Чем получено:
# - Живой контейнер: (new Qualimetrix\Infrastructure\DependencyInjection\ContainerFactory())->create();
#   код -> src/Infrastructure/DependencyInjection/ContainerFactory.php (default configuration, без qmx.yaml).
# - Число каналов и их declared_direction/levels: $container->get(ChannelUniverseInterface::class)->staticDeclarations()
#   (52 записи, ChannelDeclaration::$direction/$levels) и ->ruleNames() + ->channelsProducedBy($ruleName)
#   для связи код->producer. Скрипт: /private/tmp/claude-501/x8/dump_channels.php, сырой вывод channels_raw.txt.
# - producer (имя) -> producer (класс): RuleRegistryInterface::getClasses() + ReflectionClass::getConstant('NAME')
#   на каждом классе (см. RuleNameReader).
# - requires_list: ReflectionClass($ruleClass)->newInstanceWithoutConstructor()->requires() — безопасно, потому что
#   ни один найденный requires() не читает $this-> (проверено grep'ом по телу метода перед вызовом).
#   Скрипт: /private/tmp/claude-501/x8/dump_requires.php, сырой вывод requires_raw.txt.
# - judged_metric_key / judged_metric_source / code_equals_judged_key / notes: прочитаны вручную по коду каждого
#   продюсера — grep "metricValue" по src/Analysis/**/*Rule.php (metricvalue_grep.txt), затем grep "MetricName::"
#   в тех же файлах и их evaluator-хелперах (metricname_usage.txt) для трассировки переменной в metricValue: ...
#   до конкретной MetricName-константы; для architecture.*/annotation.*/duplication.* — по прямому указанию задания
#   (эти каналы пишут NONE), при этом в notes отдельно зафиксировано, если продюсер всё же вычисляет магнитуду
#   не через каталог MetricName (architecture.unassigned-class, architecture.circular-dependency,
#   duplication.code-duplication).
# - owner_capability: второй сегмент неймспейса producer-класса после Evidence\ или Policy\.
# - threshold_option_keys: grep по публичным свойствам Options-класса, возвращаемого getOptionsClass(), на regex
#   warn|error|threshold|max|min|woc|criteria; для иерархических правил (per-level Options, напр. ComplexityOptions
#   -> MethodComplexityOptions/ClassComplexityOptions) отмечено "(per level)" без полного разворачивания вложенных
#   классов.
#
# Чего этот способ не видит:
# - Каналы вычисляемых метрик (computed_metrics: 6 встроенных health-измерений + пользовательские в qmx.yaml) — их
#   НЕТ в этой таблице: ChannelUniverse резолвит их динамически из ComputedMetricDefinitionCatalogInterface на
#   каждый lookup, а не из staticDeclarations(); задание просило именно зарегистрированные (52) статические каналы.
# - Автоконфигурацию по тегу/атрибуту (#[CliAlias], qmx.rule tag): не проверялась отдельно per-канал — таблица
#   опирается на уже скомпилированный контейнер, где регистрация тегами уже отработала, но сам механизм тегирования
#   не аудирован.
# - Шаблоны/фронтенд (src/Reporting/Template/**/*.js, dev.html): не просмотрены вообще — как канал рендерится в
#   HTML-отчёте (hints.js, MetricHintCatalog) не сверялось с judged_metric_key.
# - Доки website/docs/rules/*.md: не сверялись с фактическим judged_metric_key каждого канала.
# - Тестовые фикстуры (напр. tests/Analysis/Finding/Fixtures/Channels/declared.txt, упомянутый в
#   AbstractCodeSmellRule как "drift guard"): не читались; могут фиксировать дополнительные инварианты сверх этой
#   таблицы.
# - Строковый литерал в обход константы MetricName: код rules проверен на использование MetricName::КОНСТАНТА, но
#   отдельный канал "правило читает тот же ключ по литералу 'complexity.ccn' вместо константы" не исключён отдельным
#   grep для каждого правила (см. параллельный поиск по enumeration-metric-keys.tsv, который такую проверку делает
#   для самих констант, но не переносит её на код правил).
# - Reflection-читаемые факты продюсера, не входящие в колонки задания (RuleDocsPageReader, RuleRemediationMinutesReader,
#   RuleShapeReader) собраны компилятор-пассом, но их значения (страница документации, минуты ремедиации) в эту
#   таблицу не вынесены.
# - Внешние потребители контракта: по BC-политике проекта отсутствуют, не проверялось.
