# X18 "promise vs. cure" -- P0a: the corpus of legitimately-authored configuration documents.
#
# WHY: the round's new default is "form not recognized => refuse (exit 3)" instead of the previous
# silent acceptance. That default's price is refusing a LEGITIMATE document, and benchmarks cannot
# measure that price -- they carry no configuration at all. This corpus is the price gauge: every
# package that introduces a new refusal re-runs `composer promise-effect:corpus` over it and reports
# the count of legitimate refusals. Zero is required.
#
# HOW OBTAINED: `git ls-files '*qmx*.yaml'` (28 rows) plus the 3 files under
# `src/Analysis/Configuration/Preset/` (`ci.yaml`, `legacy.yaml`, `strict.yaml`, fed only through
# `--preset=<name>`, never by path, so they are listed by preset name instead of by file path).
# Measured on this tree (branch x18-promise-cure, base 72f18239, 2026-09-11): 28 tracked + 3 built-in
# presets = 31 documents, matching the plan's count. A prior plan revision counted 74 using `find`,
# which also matched duplicates under `.claude/worktrees`; `git ls-files` does not.
#
# WHAT THIS METHOD DOES NOT SEE: a legitimate document that is not tracked in git (e.g. one a real
# user keeps in a project this repository does not contain), and a legitimate document authored after
# this snapshot. It also does not see custom preset FILES passed via `--preset=./path.yaml` -- no
# such file is tracked in this repository, so that door has no corpus member here. The count is a
# floor over this tree's own history, not a claim about every legitimate document that could exist.
#
# COLUMNS:
#   path_or_preset   - path relative to the repository root, or `preset:<name>` for a built-in preset
#   origin            - what produced/owns this document
#   why_legitimate    - the fact that makes refusing it a real cost, not a made-up one
#   how_fed           - the exact CLI door the runner (scripts/promise-effect-corpus.php) uses to feed it
path_or_preset	origin	why_legitimate	how_fed
finding-gate/cases/excluded-path/qmx.yaml	finding-gate corpus case "excluded-path"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/excluded-path && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2
finding-gate/cases/health/qmx.yaml	finding-gate corpus case "health"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/health && bin/qmx check src lib -c qmx.yaml --rule-opt=... (18 thresholds, see case.json)
finding-gate/cases/layers/qmx.yaml	finding-gate corpus case "layers"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/layers && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2 --rule-opt=architecture.unassigned-class:mode=error
finding-gate/cases/only-rules/qmx.yaml	finding-gate corpus case "only-rules"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/only-rules && bin/qmx check src -c qmx.yaml
finding-gate/cases/rule-exclusion-ledger/qmx.yaml	finding-gate corpus case "rule-exclusion-ledger"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/rule-exclusion-ledger && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2
finding-gate/cases/security/qmx.yaml	finding-gate corpus case "security"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/security && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2
finding-gate/cases/smells/qmx.yaml	finding-gate corpus case "smells"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/smells && bin/qmx check src -c qmx.yaml --rule-opt=coupling.class-rank:warning=2 --rule-opt=coupling.class-rank:error=2 --rule-opt=coupling.distance:max_distance_warning=2 --rule-opt=coupling.distance:max_distance_error=2
finding-gate/cases/suppression/qmx.yaml	finding-gate corpus case "suppression"	drives an active case `composer gate` compares between the candidate and reference tree	cd finding-gate/cases/suppression && bin/qmx check src -c qmx.yaml
tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/cbo/qmx.yaml	PHPUnit fixture for the baseline v10 test suite	read by a passing test in Analysis/Policy/Baseline; a document a green suite currently accepts	cd tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/cbo && bin/qmx check . -c qmx.yaml
tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/cleanup/qmx.yaml	PHPUnit fixture for the baseline v10 test suite	read by a passing test in Analysis/Policy/Baseline; a document a green suite currently accepts	cd tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/cleanup && bin/qmx check . -c qmx.yaml
tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/dogfood/qmx.yaml	PHPUnit fixture for the baseline v10 test suite	read by a passing test in Analysis/Policy/Baseline; a document a green suite currently accepts	cd tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/dogfood && bin/qmx check src -c qmx.yaml
tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/duplication-repair/qmx.yaml	PHPUnit fixture for the baseline v10 test suite	read by a passing test in Analysis/Policy/Baseline; a document a green suite currently accepts	cd tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/duplication-repair && bin/qmx check . -c qmx.yaml
tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/duplication/qmx.yaml	PHPUnit fixture for the baseline v10 test suite	read by a passing test in Analysis/Policy/Baseline; a document a green suite currently accepts	cd tests/Analysis/Policy/Baseline/Fixtures/BaselineV10/duplication && bin/qmx check . -c qmx.yaml
tests/Analysis/Policy/Inline/Fixtures/NarrowControl/qmx.yaml	PHPUnit fixture and directive narrow/full control stand (`composer directives:narrow-control`)	read by a passing test AND by the narrow/full control comparison; both currently accept it	cd tests/Analysis/Policy/Inline/Fixtures/NarrowControl && bin/qmx check . -c qmx.yaml
input-doors/fixtures/main/qmx.yaml	input-doors oracle stand base fixture ("main")	base document the input-door probe stand mutates from; the A side of every configuration-door probe	cd input-doors/fixtures/main && bin/qmx check src -c qmx.yaml
input-doors/fixtures/layers/qmx.yaml	input-doors oracle stand base fixture ("layers")	base document for architecture/layer-assignment door probes; the A side of those probes	cd input-doors/fixtures/layers && bin/qmx check src -c qmx.yaml
input-doors/fixtures/git/qmx.yaml	input-doors oracle stand base fixture ("git")	base document for git-report door probes; the A side of those probes	cd input-doors/fixtures/git && bin/qmx check src -c qmx.yaml
qmx.yaml	repository root: this project's own dogfooding configuration	the document `composer selfcheck` and every `bin/qmx check src` invocation in this repository loads by default	bin/qmx check src/Core -c qmx.yaml (run from the repository root; src/Core substituted for the whole tree only to keep the probe cheap -- the document itself is applied unmodified)
preset:ci	built-in preset bundled at src/Analysis/Configuration/Preset/ci.yaml	shipped, documented CLI preset (`--preset=ci`); a user following the README's own examples feeds this	cd promise-effect/fixtures/probe && bin/qmx check src --preset=ci (run in the one tracked fixture tree with no qmx.yaml of its own, so the outcome is attributable to the preset alone)
preset:legacy	built-in preset bundled at src/Analysis/Configuration/Preset/legacy.yaml	shipped, documented CLI preset (`--preset=legacy`); a user following the README's own examples feeds this	cd promise-effect/fixtures/probe && bin/qmx check src --preset=legacy
preset:strict	built-in preset bundled at src/Analysis/Configuration/Preset/strict.yaml	shipped, documented CLI preset (`--preset=strict`); a user following the README's own examples feeds this	cd promise-effect/fixtures/probe && bin/qmx check src --preset=strict
