rule	key_a	key_b	kind	affected	today_verdict	today_coexistence	post_cure_under_today_value	assigned	post_cure_under_assigned	assigned_on_todays_product	note
cohesion.lcom	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
cohesion.lcom	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
complexity.ccn	callable.error	callable.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.ccn	callable.error	callable.warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.ccn	callable.threshold	callable.warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.ccn	class.max-error	class.max-warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.ccn	class.max-error	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.ccn	class.max-warning	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.cognitive	callable.error	callable.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.cognitive	callable.error	callable.warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.cognitive	callable.threshold	callable.warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.cognitive	class.max-error	class.max-warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.cognitive	class.max-error	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.cognitive	class.max-warning	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.npath	callable.error	callable.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.npath	callable.error	callable.warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.npath	callable.threshold	callable.warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.npath	class.max-error	class.max-warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.npath	class.max-error	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.npath	class.max-warning	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
complexity.wmc	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
complexity.wmc	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
complexity.wmc	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
coupling.cbo	class.error	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.cbo	class.error	class.warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.cbo	class.threshold	class.warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.cbo	error	threshold	1-threshold-group-declared	yes	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"two spellings of one band at one depth: C4 leaves this refusing, and the row is unchanged"
coupling.cbo	error	warning	1-threshold-group-declared	yes	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"two top-level keys of different groups (or two halves of one band): both unfold and both survive"
coupling.cbo	namespace.error	namespace.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.cbo	namespace.error	namespace.warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.cbo	namespace.threshold	namespace.warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.cbo	threshold	warning	1-threshold-group-declared	yes	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"two spellings of one band at one depth: C4 leaves this refusing, and the row is unchanged"
coupling.class-rank	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
coupling.class-rank	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
coupling.class-rank	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
coupling.distance	max-distance-error	max-distance-warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
coupling.distance	max-distance-error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
coupling.distance	max-distance-warning	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
coupling.instability	class.max-error	class.max-warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.instability	class.max-error	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.instability	class.max-warning	class.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.instability	max-error	max-warning	1-threshold-group-declared	yes	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"two top-level keys of different groups (or two halves of one band): both unfold and both survive"
coupling.instability	max-error	threshold	1-threshold-group-declared	yes	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"two spellings of one band at one depth: C4 leaves this refusing, and the row is unchanged"
coupling.instability	max-warning	threshold	1-threshold-group-declared	yes	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"two spellings of one band at one depth: C4 leaves this refusing, and the row is unchanged"
coupling.instability	namespace.max-error	namespace.max-warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.instability	namespace.max-error	namespace.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
coupling.instability	namespace.max-warning	namespace.threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"both keys are level keys: the document carries no top-level key, so the unfold has nothing to push and fromArray() never enters the branch the cure removes"
design.dit	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.dit	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.dit	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.noc	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.noc	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.noc	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.param	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.param	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.param	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.property	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.property	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.property	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.return	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.return	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
design.type-coverage.return	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
duplication.clone	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
duplication.clone	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
duplication.clone	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
maintainability.mi	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
maintainability.mi	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
maintainability.mi	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.class-count	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.class-count	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.class-count	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.method-count	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.method-count	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.method-count	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.property-count	error	threshold	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.property-count	error	warning	1-threshold-group-declared	no	COEXISTENCE_OK	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
size.property-count	threshold	warning	1-threshold-group-declared	no	COEXISTENCE_OK	refuse	COEXISTENCE_OK	refuse	COEXISTENCE_OK	COEXISTENCE_OK	"the rule is not one of the five the cure touches (no level entry in RuleThresholdKeyGroupRegistry, not a HierarchicalRuleOptions)"
complexity.ccn	callable.enabled	enabled	2-same-name-top-vs-level	yes	COEXISTENCE_OK	compose	COEXISTENCE_OK	deeper-wins:callable.enabled	COEXISTENCE_OK	COEXISTENCE_OK	"the top key loses the level the other key names and keeps the sibling level"
complexity.ccn	callable.threshold	threshold	2-same-name-top-vs-level	yes	MISCOMPOSED	refuse	MISCOMPOSED	one-wins:callable.threshold	"NOT OBSERVABLE"	MISCOMPOSED	"the top key reaches only the level the other key names, and that level chose its own group: the top key lands nowhere"
complexity.ccn	class.enabled	enabled	2-same-name-top-vs-level	yes	COEXISTENCE_OK	compose	COEXISTENCE_OK	deeper-wins:class.enabled	COEXISTENCE_OK	COEXISTENCE_OK	"the top key loses the level the other key names and keeps the sibling level"
complexity.ccn	class.threshold	threshold	2-same-name-top-vs-level	yes	MISCOMPOSED	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	MISCOMPOSED	"the two keys name different groups (or the top key does not reach this level), so neither displaces the other"
complexity.cognitive	callable.enabled	enabled	2-same-name-top-vs-level	yes	COEXISTENCE_OK	compose	COEXISTENCE_OK	deeper-wins:callable.enabled	COEXISTENCE_OK	COEXISTENCE_OK	"the top key loses the level the other key names and keeps the sibling level"
complexity.cognitive	callable.threshold	threshold	2-same-name-top-vs-level	yes	MISCOMPOSED	refuse	MISCOMPOSED	one-wins:callable.threshold	"NOT OBSERVABLE"	MISCOMPOSED	"the top key reaches only the level the other key names, and that level chose its own group: the top key lands nowhere"
complexity.cognitive	class.enabled	enabled	2-same-name-top-vs-level	yes	COEXISTENCE_OK	compose	COEXISTENCE_OK	deeper-wins:class.enabled	COEXISTENCE_OK	COEXISTENCE_OK	"the top key loses the level the other key names and keeps the sibling level"
complexity.cognitive	class.threshold	threshold	2-same-name-top-vs-level	yes	MISCOMPOSED	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	MISCOMPOSED	"the two keys name different groups (or the top key does not reach this level), so neither displaces the other"
complexity.npath	callable.enabled	enabled	2-same-name-top-vs-level	yes	COEXISTENCE_OK	compose	COEXISTENCE_OK	deeper-wins:callable.enabled	"NOT OBSERVABLE"	"NOT OBSERVABLE"	"the top key loses the level the other key names and keeps the sibling level"
complexity.npath	callable.threshold	threshold	2-same-name-top-vs-level	yes	MISCOMPOSED	refuse	MISCOMPOSED	one-wins:callable.threshold	"NOT OBSERVABLE"	"NOT OBSERVABLE"	"the top key reaches only the level the other key names, and that level chose its own group: the top key lands nowhere"
complexity.npath	class.enabled	enabled	2-same-name-top-vs-level	yes	MISCOMPOSED	compose	COEXISTENCE_OK	deeper-wins:class.enabled	"NOT OBSERVABLE"	MISCOMPOSED	"the top key loses the level the other key names and keeps the sibling level"
complexity.npath	class.threshold	threshold	2-same-name-top-vs-level	yes	MISCOMPOSED	compose	COEXISTENCE_OK	compose	COEXISTENCE_OK	MISCOMPOSED	"the two keys name different groups (or the top key does not reach this level), so neither displaces the other"
