options_class	rules	declared	declared_from	read_unguarded	read_branch_guarded	read_not_declared	declared_not_read
Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	complexity.cognitive	callable,class,threshold	callable:constructor,class:constructor,threshold:shorthand	callable,class,enabled,errorThreshold,threshold,warningThreshold	error,warning	enabled,error,errorThreshold,warning,warningThreshold	-
Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	complexity.ccn	callable,class,threshold	callable:constructor,class:constructor,threshold:shorthand	callable,class,enabled,errorThreshold,threshold,warningThreshold	error,warning	enabled,error,errorThreshold,warning,warningThreshold	-
Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityOptions	complexity.npath	callable,class,threshold	callable:constructor,class:constructor,threshold:shorthand	callable,class,enabled,errorThreshold,threshold,warningThreshold	error,warning	enabled,error,errorThreshold,warning,warningThreshold	-
Qualimetrix\Analysis\Evidence\Complexity\WmcOptions	complexity.wmc	enabled,error,excludeDataClasses,threshold,warning	enabled:constructor,error:constructor,excludeDataClasses:constructor,threshold:shorthand,warning:constructor	enabled,error,excludeDataClasses,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\ComputedMetrics\ComputedMetricRuleOptions	computed	enabled	enabled:constructor	enabled	-	-	-
Qualimetrix\Analysis\Evidence\Coupling\CboOptions	coupling.cbo	class,namespace,scope,threshold	class:constructor,namespace:constructor,scope:additional,threshold:shorthand	class,enabled,error,namespace,scope,threshold,warning	-	enabled,error,warning	-
Qualimetrix\Analysis\Evidence\Coupling\ClassRankOptions	coupling.class-rank	enabled,error,threshold,warning	enabled:constructor,error:constructor,threshold:shorthand,warning:constructor	enabled,error,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\Coupling\DistanceOptions	coupling.distance	enabled,includeNamespaces,maxDistanceError,maxDistanceWarning,minClassCount,threshold	enabled:constructor,includeNamespaces:constructor,maxDistanceError:constructor,maxDistanceWarning:constructor,minClassCount:constructor,threshold:shorthand	enabled,includeNamespaces,maxDistanceError,maxDistanceWarning,minClassCount,projectNamespaces,threshold	-	projectNamespaces	-
Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	coupling.instability	class,namespace,threshold	class:constructor,namespace:constructor,threshold:shorthand	class,enabled,maxError,maxWarning,namespace,threshold	-	enabled,maxError,maxWarning	-
Qualimetrix\Analysis\Evidence\Design\DataClass\DataClassOptions	design.data-class	enabled,excludeExceptions,excludePromotedOnly,excludeReadonly,minMembers,wmcThreshold,wocThreshold	enabled:constructor,excludeExceptions:constructor,excludePromotedOnly:constructor,excludeReadonly:constructor,minMembers:constructor,wmcThreshold:constructor,wocThreshold:constructor	enabled,excludeExceptions,excludePromotedOnly,excludeReadonly,minMembers,wmcThreshold,wocThreshold	-	-	-
Qualimetrix\Analysis\Evidence\Design\GodClass\GodClassOptions	design.god-class	classLocThreshold,enabled,excludeReadonly,lcomThreshold,minCriteria,minMethods,tccThreshold,wmcThreshold	classLocThreshold:constructor,enabled:constructor,excludeReadonly:constructor,lcomThreshold:constructor,minCriteria:constructor,minMethods:constructor,tccThreshold:constructor,wmcThreshold:constructor	classLocThreshold,enabled,excludeReadonly,lcomThreshold,minCriteria,minMethods,tccThreshold,wmcThreshold	-	-	-
Qualimetrix\Analysis\Evidence\Design\Inheritance\InheritanceOptions	design.dit	enabled,error,threshold,warning	enabled:constructor,error:constructor,threshold:shorthand,warning:constructor	enabled,error,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\Design\Inheritance\NocOptions	design.noc	enabled,error,threshold,warning	enabled:constructor,error:constructor,threshold:shorthand,warning:constructor	enabled,error,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	design.type-coverage.param,design.type-coverage.return,design.type-coverage.property	enabled,error,threshold,warning	enabled:constructor,error:constructor,threshold:shorthand,warning:constructor	enabled,error,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\Duplication\CodeDuplicationOptions	duplication.clone	enabled,error,minLines,minTokens,threshold,warning	enabled:constructor,error:constructor,minLines:constructor,minTokens:constructor,threshold:shorthand,warning:constructor	enabled,error,minLines,minTokens,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\Maintainability\MaintainabilityOptions	maintainability.mi	enabled,error,excludeTests,minStatements,threshold,warning	enabled:constructor,error:constructor,excludeTests:constructor,minStatements:constructor,threshold:shorthand,warning:constructor	enabled,error,excludeTests,minStatements,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\Security\HardcodedCredentialsOptions	security.hardcoded-credentials	enabled	enabled:constructor	enabled	-	-	-
Qualimetrix\Analysis\Evidence\Security\SecurityPatternOptions	security.command-injection,security.sql-injection,security.xss	enabled	enabled:constructor	enabled	-	-	-
Qualimetrix\Analysis\Evidence\Security\SensitiveParameterOptions	security.sensitive-parameter	enabled	enabled:constructor	enabled	-	-	-
Qualimetrix\Analysis\Evidence\Size\ClassCountOptions	size.class-count	enabled,error,threshold,warning	enabled:constructor,error:constructor,threshold:shorthand,warning:constructor	enabled,error,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\Size\MethodCountOptions	size.method-count	enabled,error,threshold,warning	enabled:constructor,error:constructor,threshold:shorthand,warning:constructor	enabled,error,threshold,warning	-	-	-
Qualimetrix\Analysis\Evidence\Size\PropertyCountOptions	size.property-count	enabled,error,excludePromotedOnly,excludeReadonly,threshold,warning	enabled:constructor,error:constructor,excludePromotedOnly:constructor,excludeReadonly:constructor,threshold:shorthand,warning:constructor	enabled,error,excludePromotedOnly,excludeReadonly,threshold,warning	-	-	-
Qualimetrix\Analysis\Policy\Architecture\LayerViolation\LayerViolationOptions	architecture.layer-violation	enabled,severity	enabled:constructor,severity:constructor	enabled,severity	-	-	-
Qualimetrix\Analysis\Policy\Architecture\LayerViolation\UnassignedClassOptions	architecture.unassigned-class	mode	mode:constructor	enabled,mode	-	enabled	-
Qualimetrix\Analysis\Policy\Inline\Directive\InlineDirectiveOptions	annotation.directive	enabled,unusedDirectiveSeverity	enabled:constructor,unusedDirectiveSeverity:constructor	enabled,unusedDirectiveSeverity	-	-	-
