channel	file	where	form	breaks	note
9-docs-prose	AGENTS.md	611, 653	literal-path	silent	CLAUDE.md is a SYMLINK to AGENTS.md (measured), so this is one file, not two. Line 611 'HTML report (run when modifying src/Reporting/Template/)', line 653 the same in the validation section.
9-docs-prose	src/Reporting/README.md	799-800, 805-809	literal-path	silent	Structure list ('Template/' and 'Template/dist/') plus a 5-line command block starting `cd src/Reporting/Template`. Mixed literal-path and command-string. Checked for a control that parses this README's tree against disk: governance/DocumentationCensus holds only RegisteredFormatterDocumentationTest.php, which reads the container, not the tree — so this stays silent.
9-docs-prose	docs/adr/0012-hybrid-architectural-direction.md	70, 100, 107, 109	literal-path	silent	Four mentions arguing the HTML report stays at src/Reporting/Template. Historical ADR, superseded by 0022 per AGENTS.md; the move contradicts its operational consequence at :109, so it likely wants a superseding note rather than an edit.
9-docs-prose	docs/adr/0002-html-report.md	39-40	literal-path	silent	Names dist/report.min.js, dist/d3.min.js and the npm run build step. Historical record.
9-docs-prose	CHANGELOG.md	413, 1143	literal-path	silent	Released history — records the export-ignore work and the tracked build manifest. Should NOT be rewritten; listed for completeness only.
9-docs-prose	docs/internal/plans/health-recalibration/measurement/04-consumers.md	51, 54, 146-157, 199, 221	literal-path	silent	Channel 7 of an existing plan, ~10 line-anchored references into Template files.
9-docs-prose	docs/internal/plans/health-recalibration/06-display.md	53	literal-path	silent	Names src/Reporting/Template/** in a package scope.
9-docs-prose	docs/internal/plans/closure-package-retirement/01-removal.md	216	literal-path	silent	Names src/Reporting/Template/node_modules.
9-docs-prose	finding-gate/README.md	43, 57	literal-path	silent	Describes enumeration-js-metric-keys.tsv as the 'Reporting Template' catalog.
9-docs-prose	README.md	42	literal-path	no	Names the OUTPUT file report.html (-o report.html), not the template directory. Listed because a filename sweep hits it; it is a false positive.
