rule	level	option	kind	cli_alias	alias_target_as_authored
complexity.cognitive	-	enabled	option	-	-
complexity.cognitive	-	threshold	option	-	-
complexity.cognitive	callable	enabled	option	-	-
complexity.cognitive	callable	error	option	cognitive-error	callable.error
complexity.cognitive	callable	threshold	option	-	-
complexity.cognitive	callable	warning	option	cognitive-warning	callable.warning
complexity.cognitive	class	enabled	option	-	-
complexity.cognitive	class	max-error	option	cognitive-class-error	class.max_error
complexity.cognitive	class	max-warning	option	cognitive-class-warning	class.max_warning
complexity.cognitive	class	threshold	option	-	-
complexity.ccn	-	callable	level-slot	-	-
complexity.ccn	-	class	level-slot	-	-
complexity.ccn	-	enabled	option	-	-
complexity.ccn	-	threshold	option	-	-
complexity.ccn	callable	enabled	option	-	-
complexity.ccn	callable	error	option	cyclomatic-error	callable.error
complexity.ccn	callable	threshold	option	-	-
complexity.ccn	callable	warning	option	cyclomatic-warning	callable.warning
complexity.ccn	class	enabled	option	-	-
complexity.ccn	class	max-error	option	cyclomatic-class-error	class.max_error
complexity.ccn	class	max-warning	option	cyclomatic-class-warning	class.max_warning
complexity.ccn	class	threshold	option	-	-
complexity.npath	-	callable	level-slot	-	-
complexity.npath	-	class	level-slot	-	-
complexity.npath	-	enabled	option	-	-
complexity.npath	-	threshold	option	-	-
complexity.npath	callable	enabled	option	-	-
complexity.npath	callable	error	option	npath-error	callable.error
complexity.npath	callable	threshold	option	-	-
complexity.npath	callable	warning	option	npath-warning	callable.warning
complexity.npath	class	enabled	option	-	-
complexity.npath	class	max-error	option	npath-class-error	class.max_error
complexity.npath	class	max-warning	option	npath-class-warning	class.max_warning
complexity.npath	class	threshold	option	-	-
complexity.wmc	-	enabled	option	-	-
complexity.wmc	-	error	option	wmc-error	error
complexity.wmc	-	exclude-data-classes	option	wmc-exclude-data-classes	excludeDataClasses
complexity.wmc	-	threshold	option	-	-
complexity.wmc	-	warning	option	wmc-warning	warning
coupling.cbo	-	class	level-slot	-	-
coupling.cbo	-	enabled	option	-	-
coupling.cbo	-	error	option	-	-
coupling.cbo	-	namespace	level-slot	-	-
coupling.cbo	-	scope	option	-	-
coupling.cbo	-	threshold	option	-	-
coupling.cbo	-	warning	option	-	-
coupling.cbo	class	enabled	option	-	-
coupling.cbo	class	error	option	cbo-error	class.error
coupling.cbo	class	scope	option	-	-
coupling.cbo	class	threshold	option	-	-
coupling.cbo	class	warning	option	cbo-warning	class.warning
coupling.cbo	namespace	enabled	option	-	-
coupling.cbo	namespace	error	option	cbo-ns-error	namespace.error
coupling.cbo	namespace	min-class-count	option	-	-
coupling.cbo	namespace	threshold	option	-	-
coupling.cbo	namespace	warning	option	cbo-ns-warning	namespace.warning
coupling.class-rank	-	enabled	option	-	-
coupling.class-rank	-	error	option	class-rank-error	error
coupling.class-rank	-	threshold	option	-	-
coupling.class-rank	-	warning	option	class-rank-warning	warning
coupling.distance	-	enabled	option	-	-
coupling.distance	-	include-namespaces	option	-	-
coupling.distance	-	max-distance-error	option	distance-error	max_distance_error
coupling.distance	-	max-distance-warning	option	distance-warning	max_distance_warning
coupling.distance	-	min-class-count	option	-	-
coupling.distance	-	threshold	option	-	-
coupling.instability	-	class	level-slot	-	-
coupling.instability	-	enabled	option	-	-
coupling.instability	-	max-error	option	-	-
coupling.instability	-	max-warning	option	-	-
coupling.instability	-	namespace	level-slot	-	-
coupling.instability	-	threshold	option	-	-
coupling.instability	class	enabled	option	-	-
coupling.instability	class	max-error	option	instability-class-error	class.max_error
coupling.instability	class	max-warning	option	instability-class-warning	class.max_warning
coupling.instability	class	min-afferent	option	-	-
coupling.instability	class	threshold	option	-	-
coupling.instability	namespace	enabled	option	-	-
coupling.instability	namespace	max-error	option	instability-ns-error	namespace.max_error
coupling.instability	namespace	max-warning	option	instability-ns-warning	namespace.max_warning
coupling.instability	namespace	min-afferent	option	-	-
coupling.instability	namespace	min-class-count	option	-	-
coupling.instability	namespace	threshold	option	-	-
coupling.unmatched-framework-namespace	-	enabled	option	-	-
design.data-class	-	enabled	option	-	-
design.data-class	-	exclude-exceptions	option	data-class-exclude-exceptions	excludeExceptions
design.data-class	-	exclude-promoted-only	option	data-class-exclude-promoted-only	excludePromotedOnly
design.data-class	-	exclude-readonly	option	data-class-exclude-readonly	excludeReadonly
design.data-class	-	min-members	option	data-class-min-members	minMembers
design.data-class	-	wmc-threshold	option	data-class-wmc-threshold	wmcThreshold
design.data-class	-	woc-threshold	option	data-class-woc-threshold	wocThreshold
design.god-class	-	class-loc-threshold	option	god-class-class-loc-threshold	classLocThreshold
design.god-class	-	enabled	option	-	-
design.god-class	-	exclude-readonly	option	god-class-exclude-readonly	excludeReadonly
design.god-class	-	lcom-threshold	option	god-class-lcom-threshold	lcomThreshold
design.god-class	-	min-criteria	option	god-class-min-criteria	minCriteria
design.god-class	-	min-methods	option	god-class-min-methods	minMethods
design.god-class	-	tcc-threshold	option	god-class-tcc-threshold	tccThreshold
design.god-class	-	wmc-threshold	option	god-class-wmc-threshold	wmcThreshold
design.dit	-	enabled	option	-	-
design.dit	-	error	option	dit-error	error
design.dit	-	threshold	option	-	-
design.dit	-	warning	option	dit-warning	warning
design.noc	-	enabled	option	-	-
design.noc	-	error	option	noc-error	error
design.noc	-	threshold	option	-	-
design.noc	-	warning	option	noc-warning	warning
design.type-coverage.param	-	enabled	option	-	-
design.type-coverage.param	-	error	option	param-type-coverage-error	error
design.type-coverage.param	-	threshold	option	-	-
design.type-coverage.param	-	warning	option	param-type-coverage-warning	warning
design.type-coverage.return	-	enabled	option	-	-
design.type-coverage.return	-	error	option	return-type-coverage-error	error
design.type-coverage.return	-	threshold	option	-	-
design.type-coverage.return	-	warning	option	return-type-coverage-warning	warning
design.type-coverage.property	-	enabled	option	-	-
design.type-coverage.property	-	error	option	property-type-coverage-error	error
design.type-coverage.property	-	threshold	option	-	-
design.type-coverage.property	-	warning	option	property-type-coverage-warning	warning
maintainability.mi	-	enabled	option	-	-
maintainability.mi	-	error	option	mi-error	error
maintainability.mi	-	exclude-tests	option	mi-exclude-tests	excludeTests
maintainability.mi	-	min-statements	option	mi-min-statements	minStatements
maintainability.mi	-	threshold	option	-	-
maintainability.mi	-	warning	option	mi-warning	warning
security.command-injection	-	enabled	option	-	-
security.hardcoded-credentials	-	enabled	option	-	-
security.sensitive-parameter	-	enabled	option	-	-
security.sql-injection	-	enabled	option	-	-
security.xss	-	enabled	option	-	-
size.class-count	-	enabled	option	-	-
size.class-count	-	error	option	class-count-error	error
size.class-count	-	threshold	option	-	-
size.class-count	-	warning	option	class-count-warning	warning
size.method-count	-	enabled	option	-	-
size.method-count	-	error	option	method-count-error	error
size.method-count	-	threshold	option	-	-
size.method-count	-	warning	option	method-count-warning	warning
size.property-count	-	enabled	option	-	-
size.property-count	-	error	option	property-count-error	error
size.property-count	-	exclude-promoted-only	option	property-exclude-promoted-only	excludePromotedOnly
size.property-count	-	exclude-readonly	option	property-exclude-readonly	excludeReadonly
size.property-count	-	threshold	option	-	-
size.property-count	-	warning	option	property-count-warning	warning
computed	-	enabled	option	-	-
suppression.configuration	-	enabled	option	-	-
architecture.layer-violation	-	enabled	option	layer-violation	enabled
architecture.layer-violation	-	severity	option	layer-violation-severity	severity
architecture.unassigned-class	-	mode	option	unassigned-class-mode	mode
architecture.circular-dependency	-	direct-as-error	option	-	-
architecture.circular-dependency	-	enabled	option	circular-deps	enabled
architecture.circular-dependency	-	max-cycle-size	option	max-cycle-size	maxCycleSize
duplication.clone	-	enabled	option	-	-
duplication.clone	-	error	option	-	-
duplication.clone	-	min-lines	option	-	-
duplication.clone	-	min-tokens	option	-	-
duplication.clone	-	threshold	option	-	-
duplication.clone	-	warning	option	-	-
discovery.unmatched-exclude	-	enabled	option	-	-
annotation.directive	-	enabled	option	-	-
annotation.directive	-	unused-directive-severity	option	-	-
health.complexity	-	enabled	option	-	-
health.cohesion	-	enabled	option	-	-
health.coupling	-	enabled	option	-	-
health.typing	-	enabled	option	-	-
health.maintainability	-	enabled	option	-	-
health.overall	-	enabled	option	-	-
