target_contract_fqcn	target_owner	distinct_consumer_fqcns	distinct_consumer_owners
Qualimetrix\Analysis\Evidence\Measurement\Contract\VisitorMethodTrackingTrait	Analysis.Evidence.Measurement	12	5
Qualimetrix\Analysis\Evidence\Prioritization\Debt\DebtCalculator	Analysis.Evidence.Prioritization	7	1
Qualimetrix\Analysis\Evidence\Prioritization\Debt\DebtSummary	Analysis.Evidence.Prioritization	3	1
Qualimetrix\Analysis\Evidence\Prioritization\Debt\RemediationTimeRegistry	Analysis.Evidence.Prioritization	3	2
Qualimetrix\Analysis\Evidence\Prioritization\Impact\ImpactCalculator	Analysis.Evidence.Prioritization	1	1
Qualimetrix\Analysis\Evidence\Prioritization\Impact\RankedIssue	Analysis.Evidence.Prioritization	1	1
Qualimetrix\Analysis\Finding\Contract\AcceptedLevel	Analysis.Finding	4	1
Qualimetrix\Analysis\Finding\Contract\ChannelDeclaration	Analysis.Finding	37	15
Qualimetrix\Analysis\Finding\Contract\ChannelDeclarationRegistryInterface	Analysis.Finding	11	5
Qualimetrix\Analysis\Finding\Contract\ChannelIdentityInterface	Analysis.Finding	9	3
Qualimetrix\Analysis\Finding\Contract\ChannelPresentation	Analysis.Finding	2	2
Qualimetrix\Analysis\Finding\Contract\ChannelPresentationInterface	Analysis.Finding	3	3
Qualimetrix\Analysis\Finding\Contract\ChannelShape	Analysis.Finding	41	16
Qualimetrix\Analysis\Finding\Contract\ChannelUniverseInterface	Analysis.Finding	5	3
Qualimetrix\Analysis\Finding\Contract\ConfigurationValidatorInterface	Analysis.Finding	2	2
Qualimetrix\Analysis\Finding\Contract\Configuration\FindingCliOverrides	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Configuration\FindingConfiguration	Analysis.Finding	5	2
Qualimetrix\Analysis\Finding\Contract\Configuration\FindingConfigurationResolverInterface	Analysis.Finding	2	2
Qualimetrix\Analysis\Finding\Contract\Control\ControlScope	Analysis.Finding	5	1
Qualimetrix\Analysis\Finding\Contract\Filter\ChannelFileScope	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Filter\FindingFilterInterface	Analysis.Finding	2	2
Qualimetrix\Analysis\Finding\Contract\Filter\FindingFilterStage	Analysis.Finding	4	3
Qualimetrix\Analysis\Finding\Contract\Filter\FindingFilterStageInterface	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Filter\FindingFilterStageResult	Analysis.Finding	2	1
Qualimetrix\Analysis\Finding\Contract\Filter\NamespaceExclusionFilter	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Filter\PathExclusionFilter	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Filter\PredicateFilterStage	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Finding	Analysis.Finding	56	17
Qualimetrix\Analysis\Finding\Contract\FindingChannel	Analysis.Finding	14	6
Qualimetrix\Analysis\Finding\Contract\Location	Analysis.Finding	37	14
Qualimetrix\Analysis\Finding\Contract\OccurrenceKey	Analysis.Finding	8	5
Qualimetrix\Analysis\Finding\Contract\ProducerDeclaration	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\RuleConfigurationInterface	Analysis.Finding	8	5
Qualimetrix\Analysis\Finding\Contract\RuleExecutionInterface	Analysis.Finding	7	3
Qualimetrix\Analysis\Finding\Contract\Rule\AbstractRule	Analysis.Finding	33	13
Qualimetrix\Analysis\Finding\Contract\Rule\AdditionalOptionKeysInterface	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Rule\AnalysisContext	Analysis.Finding	37	14
Qualimetrix\Analysis\Finding\Contract\Rule\Attribute\CliAlias	Analysis.Finding	26	9
Qualimetrix\Analysis\Finding\Contract\Rule\ChannelDeclarationReader	Analysis.Finding	2	2
Qualimetrix\Analysis\Finding\Contract\Rule\ChannelLevelAddressing	Analysis.Finding	4	2
Qualimetrix\Analysis\Finding\Contract\Rule\ChannelLevelSelector	Analysis.Finding	4	2
Qualimetrix\Analysis\Finding\Contract\Rule\CliAliasReader	Analysis.Finding	2	2
Qualimetrix\Analysis\Finding\Contract\Rule\HierarchicalRuleInterface	Analysis.Finding	5	2
Qualimetrix\Analysis\Finding\Contract\Rule\HierarchicalRuleOptionsInterface	Analysis.Finding	7	4
Qualimetrix\Analysis\Finding\Contract\Rule\LevelOptionsInterface	Analysis.Finding	16	3
Qualimetrix\Analysis\Finding\Contract\Rule\NameSelector	Analysis.Finding	3	3
Qualimetrix\Analysis\Finding\Contract\Rule\Override\IndependentAxisValidator	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Rule\Override\InvertedOverrideValidator	Analysis.Finding	2	2
Qualimetrix\Analysis\Finding\Contract\Rule\Override\OverrideValidatorInterface	Analysis.Finding	5	3
Qualimetrix\Analysis\Finding\Contract\Rule\Override\StandardOverrideValidatorTrait	Analysis.Finding	23	7
Qualimetrix\Analysis\Finding\Contract\Rule\Override\WarningOnlyValidator	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Rule\ProducerName	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Rule\RuleChannelRegistryInterface	Analysis.Finding	3	2
Qualimetrix\Analysis\Finding\Contract\Rule\RuleDocsPageReader	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Rule\RuleNameReader	Analysis.Finding	6	4
Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionKey	Analysis.Finding	48	14
Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface	Analysis.Finding	39	15
Qualimetrix\Analysis\Finding\Contract\Rule\RuleRemediationMinutesReader	Analysis.Finding	2	2
Qualimetrix\Analysis\Finding\Contract\Rule\RuleSelector	Analysis.Finding	8	4
Qualimetrix\Analysis\Finding\Contract\Rule\RuleShapeReader	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Rule\ShorthandOptionKeysInterface	Analysis.Finding	20	8
Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdAwareOptionsInterface	Analysis.Finding	28	9
Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdOverrideSupportReader	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\Contract\Rule\ThresholdParser	Analysis.Finding	30	8
Qualimetrix\Analysis\Finding\Contract\Severity	Analysis.Finding	101	17
Qualimetrix\Analysis\Finding\Contract\Threshold\ThresholdOverride	Analysis.Finding	7	3
Qualimetrix\Analysis\Finding\RuleConfiguration\RuleOptionsFactory	Analysis.Finding	5	2
Qualimetrix\Analysis\Finding\RuleConfiguration\RuleOptionsParser	Analysis.Finding	1	1
Qualimetrix\Analysis\Finding\RuleConfiguration\RuleOptionsParserFactory	Analysis.Finding	1	1
Qualimetrix\Analysis\Policy\Architecture\Contract\ArchitectureConfigurationException	Analysis.Policy.Architecture	3	1
Qualimetrix\Analysis\Policy\Architecture\Contract\ArchitecturePolicyConfiguratorInterface	Analysis.Policy.Architecture	3	2
Qualimetrix\Analysis\Policy\Architecture\Contract\ArchitecturePreparationException	Analysis.Policy.Architecture	3	1
Qualimetrix\Analysis\Policy\Architecture\Contract\LayerAssignmentInspectorInterface	Analysis.Policy.Architecture	2	2
Qualimetrix\Analysis\Policy\Architecture\Contract\LayerAssignmentMatch	Analysis.Policy.Architecture	1	1
Qualimetrix\Analysis\Policy\Architecture\Contract\LayerPolicyPreparationInterface	Analysis.Policy.Architecture	4	3
Qualimetrix\Analysis\Policy\Architecture\Contract\ResolvedArchitecturePolicyInterface	Analysis.Policy.Architecture	1	1
Qualimetrix\Analysis\Policy\Baseline\Baseline	Analysis.Policy.Baseline	3	1
Qualimetrix\Analysis\Policy\Baseline\BaselineCapture	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineCleaner	Analysis.Policy.Baseline	2	2
Qualimetrix\Analysis\Policy\Baseline\BaselineCleanupCandidate	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineCleanupReason	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineConflictException	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineEntry	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineEntryMode	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineGenerator	Analysis.Policy.Baseline	2	2
Qualimetrix\Analysis\Policy\Baseline\BaselineLoadException	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineLoader	Analysis.Policy.Baseline	5	3
Qualimetrix\Analysis\Policy\Baseline\BaselineUpdateDisposition	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineUpdateResult	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BaselineUpdater	Analysis.Policy.Baseline	2	2
Qualimetrix\Analysis\Policy\Baseline\BaselineWriter	Analysis.Policy.Baseline	4	2
Qualimetrix\Analysis\Policy\Baseline\BoundaryExplanation	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\BoundaryExplanationService	Analysis.Policy.Baseline	2	2
Qualimetrix\Analysis\Policy\Baseline\BoundaryExplanationStatus	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\EffectiveBoundary	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\EffectiveBoundaryBaselineSource	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\EntrySelector	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\Filter\BaselineCeilingStage	Analysis.Policy.Baseline	1	1
Qualimetrix\Analysis\Policy\Baseline\RunScope	Analysis.Policy.Baseline	4	1
Qualimetrix\Analysis\Policy\Inline\Contract\AnnotationSuppressionInterface	Analysis.Policy.Inline	2	2
Qualimetrix\Analysis\Policy\Inline\Contract\Directive\InlineDirectivePolicyInterface	Analysis.Policy.Inline	2	2
Qualimetrix\Analysis\Policy\Inline\Contract\RuleValidatorMapFactory	Analysis.Policy.Inline	2	2
Qualimetrix\Analysis\Policy\Inline\Contract\SourceControlExtractorInterface	Analysis.Policy.Inline	2	2
Qualimetrix\Analysis\Policy\Inline\Contract\SuppressionExtractor	Analysis.Policy.Inline	2	2
Qualimetrix\Analysis\Policy\Inline\Contract\ThresholdOverrideExtractor	Analysis.Policy.Inline	3	2
Qualimetrix\Analysis\Run\Contract\Collection\CollectionOrchestratorInterface	Analysis.Run	3	2
Qualimetrix\Analysis\Run\Contract\Collection\CollectionPhaseOutput	Analysis.Run	1	1
Qualimetrix\Analysis\Run\Contract\Collection\FileProcessingFailureKind	Analysis.Run	1	1
Qualimetrix\Analysis\Run\Contract\Collection\FileProcessingResult	Analysis.Run	2	1
Qualimetrix\Analysis\Run\Contract\Collection\FileProcessorInterface	Analysis.Run	2	2
Qualimetrix\Analysis\Run\Contract\Collection\Strategy\ExecutionStrategyInterface	Analysis.Run	3	1
Qualimetrix\Analysis\Run\Contract\Collection\Strategy\ParallelCapableInterface	Analysis.Run	1	1
Qualimetrix\Analysis\Run\Contract\Collection\Strategy\StrategySelectorInterface	Analysis.Run	3	2
Qualimetrix\Analysis\Run\Contract\Configuration\GeneratedFilePolicy	Analysis.Run	1	1
Qualimetrix\Analysis\Run\Contract\Configuration\RunConfiguration	Analysis.Run	4	2
Qualimetrix\Analysis\Run\Contract\Configuration\RunConfigurationResolverInterface	Analysis.Run	5	2
Qualimetrix\Analysis\Run\Contract\Discovery\FileDiscoveryFactoryInterface	Analysis.Run	6	3
Qualimetrix\Analysis\Run\Contract\Discovery\FileDiscoveryInterface	Analysis.Run	5	3
Qualimetrix\Analysis\Run\Contract\Discovery\GeneratedFileFilterInterface	Analysis.Run	3	2
Qualimetrix\Analysis\Run\Contract\FileSetInspectionParticipantInterface	Analysis.Run	3	2
Qualimetrix\Analysis\Run\Contract\Pipeline\AnalysisCoverage	Analysis.Run	1	1
Qualimetrix\Analysis\Run\Contract\Pipeline\AnalysisFailure	Analysis.Run	1	1
Qualimetrix\Analysis\Run\Contract\Pipeline\AnalysisFailureKind	Analysis.Run	1	1
Qualimetrix\Analysis\Run\Contract\Pipeline\AnalysisPipelineInterface	Analysis.Run	4	2
Qualimetrix\Analysis\Run\Contract\Pipeline\AnalysisResult	Analysis.Run	5	1
Qualimetrix\Analysis\Run\Contract\Pipeline\DependencyGraphAnalysisResult	Analysis.Run	1	1
Qualimetrix\Analysis\Run\Contract\Pipeline\DependencyGraphAnalyzerInterface	Analysis.Run	2	2
Qualimetrix\Analysis\Run\Contract\Pipeline\IncompleteAnalysisException	Analysis.Run	3	1
Qualimetrix\Analysis\Run\Contract\Progress\ProgressReporterInterface	Analysis.Run	4	2
Qualimetrix\Core\Ast\FileParserInterface	Core.Neutral	8	3
Qualimetrix\Core\Exception\ParseException	Core.Neutral	3	2
Qualimetrix\Core\Observation\WorseDirection	Core.Neutral	28	13
Qualimetrix\Core\Path\AbsolutePath	Core.Path	51	12
Qualimetrix\Core\Path\PathFactory	Core.Path	17	7
Qualimetrix\Core\Path\RelativePath	Core.Path	82	23
Qualimetrix\Core\Profiler\Contract\ProfilerInterface	Core.Profiler	22	8
Qualimetrix\Core\Symbol\CallableKind	Core.Symbol	9	2
Qualimetrix\Core\Symbol\DeclarationKey	Core.Symbol	3	2
Qualimetrix\Core\Symbol\DeclarationOrdinal	Core.Symbol	4	1
Qualimetrix\Core\Symbol\DeclarationPath	Core.Symbol	7	2
Qualimetrix\Core\Symbol\FileDeclarationIndex	Core.Symbol	11	2
Qualimetrix\Core\Symbol\LogicalClassPath	Core.Symbol	7	3
Qualimetrix\Core\Symbol\MetricSubject	Core.Symbol	40	15
Qualimetrix\Core\Symbol\MetricSubjectCodec	Core.Symbol	7	3
Qualimetrix\Core\Symbol\PhpBuiltinClassRegistry	Core.Symbol	3	2
Qualimetrix\Core\Symbol\SymbolInfo	Core.Symbol	28	9
Qualimetrix\Core\Symbol\SymbolLevel	Core.Symbol	103	21
Qualimetrix\Core\Symbol\SymbolLevelProjection	Core.Symbol	4	3
Qualimetrix\Core\Symbol\SymbolPath	Core.Symbol	64	20
Qualimetrix\Core\Symbol\SymbolType	Core.Symbol	30	11
Qualimetrix\Core\Time\ClockInterface	Core.Neutral	4	2
Qualimetrix\Core\Util\NamespaceMatcher	Core.Neutral	9	5
Qualimetrix\Core\Util\PathMatcher	Core.Neutral	3	2
Qualimetrix\Core\Util\StringSet	Core.Neutral	2	1
Qualimetrix\Core\Version	Core.Neutral	8	2
Qualimetrix\Infrastructure\Ast\CachedFileParser	Infrastructure.Ast	2	2
Qualimetrix\Infrastructure\Ast\PhpFileParser	Infrastructure.Ast	2	2
Qualimetrix\Infrastructure\Cache\CacheFactory	Infrastructure.Cache	5	3
Qualimetrix\Infrastructure\Cache\CacheInterface	Infrastructure.Cache	2	2
Qualimetrix\Infrastructure\Cache\CacheKeyGenerator	Infrastructure.Cache	4	3
Qualimetrix\Infrastructure\Cache\CacheWriteException	Infrastructure.Cache	1	1
Qualimetrix\Infrastructure\Cache\Contract\CacheConfiguration	Infrastructure.Cache	1	1
Qualimetrix\Infrastructure\Cache\Contract\CacheConfigurationResolverInterface	Infrastructure.Cache	6	2
Qualimetrix\Infrastructure\Cache\Contract\CacheConfigurationStoreInterface	Infrastructure.Cache	4	3
Qualimetrix\Infrastructure\Cache\FileCache	Infrastructure.Cache	1	1
Qualimetrix\Infrastructure\Git\GitRepositoryLocatorInterface	Infrastructure.Git	4	2
Qualimetrix\Infrastructure\Git\GitScope	Infrastructure.Git	1	1
Qualimetrix\Infrastructure\Git\GitScopeResolution	Infrastructure.Git	2	1
Qualimetrix\Infrastructure\Git\GitScopeResolver	Infrastructure.Git	1	1
Qualimetrix\Infrastructure\Logging\Contract\LoggerFactoryInterface	Infrastructure.Logging	3	2
Qualimetrix\Infrastructure\Logging\LoggerFactory	Infrastructure.Logging	1	1
Qualimetrix\Infrastructure\Logging\LoggerHolder	Infrastructure.Logging	3	2
Qualimetrix\Infrastructure\Parallel\Contract\ParallelConfiguration	Infrastructure.Parallel	1	1
Qualimetrix\Infrastructure\Parallel\Contract\ParallelConfigurationResolverInterface	Infrastructure.Parallel	6	2
Qualimetrix\Infrastructure\Parallel\Contract\ParallelConfigurationStoreInterface	Infrastructure.Parallel	4	2
Qualimetrix\Infrastructure\Profiler\Contract\ProfileFormat	Infrastructure.Profiler	1	1
Qualimetrix\Infrastructure\Profiler\Contract\ProfileReportInterface	Infrastructure.Profiler	3	2
Qualimetrix\Infrastructure\Profiler\Contract\ProfileSessionControlInterface	Infrastructure.Profiler	3	2
Qualimetrix\Infrastructure\Profiler\Contract\ProfileSummary	Infrastructure.Profiler	1	1
Qualimetrix\Infrastructure\Rule\Contract\RuleChannelSnapshotFactoryInterface	Infrastructure.Rule	3	2
Qualimetrix\Infrastructure\Rule\Exception\ConflictingCliAliasException	Infrastructure.Rule	1	1
Qualimetrix\Infrastructure\Rule\RuleRegistryInterface	Infrastructure.Rule	5	2
Qualimetrix\Infrastructure\Serializer\SerializerInterface	Infrastructure.Serializer	1	1
Qualimetrix\Infrastructure\Serializer\SerializerSelector	Infrastructure.Serializer	1	1
Qualimetrix\Reporting\Contract\OutputFormat	Reporting	1	1
Qualimetrix\Reporting\Contract\OutputFormatResolverInterface	Reporting	2	2
Qualimetrix\Reporting\CoverageFailure	Reporting	1	1
Qualimetrix\Reporting\Filter\FindingFilter	Reporting	2	2
Qualimetrix\Reporting\FindingProjection\Contract\ConfiguredFindingExclusions	Reporting	1	1
Qualimetrix\Reporting\FindingProjection\Contract\ConfiguredFindingExclusionsResolverInterface	Reporting	3	2
Qualimetrix\Reporting\FindingProjection\Contract\GitScopeQueryInterface	Reporting	2	2
Qualimetrix\Reporting\FindingProjection\Contract\GitScopeRequest	Reporting	2	2
Qualimetrix\Reporting\FindingProjection\Contract\GitScopeResult	Reporting	1	1
Qualimetrix\Reporting\FindingProjection\FindingProjectionOptions	Reporting	3	1
Qualimetrix\Reporting\FindingProjection\FindingProjectionResult	Reporting	1	1
Qualimetrix\Reporting\FindingProjection\FindingProjector	Reporting	2	1
Qualimetrix\Reporting\FormatterContext	Reporting	1	1
Qualimetrix\Reporting\Formatter\FormatterInterface	Reporting	2	2
Qualimetrix\Reporting\Formatter\FormatterRegistryInterface	Reporting	2	2
Qualimetrix\Reporting\GraphProjection\Contract\DependencyGraphProjectionInterface	Reporting.GraphProjection	1	1
Qualimetrix\Reporting\GraphProjection\Contract\GraphProjectionRequest	Reporting.GraphProjection	1	1
Qualimetrix\Reporting\GroupBy	Reporting	1	1
Qualimetrix\Reporting\Health\SummaryEnricher	Reporting	2	2
Qualimetrix\Reporting\ReportBuilder	Reporting	1	1
Qualimetrix\Reporting\ReportCoverage	Reporting	2	1
