source_fqcn	member_kind	member_name	target_fqcn
Qualimetrix\Analysis\Finding\RuleConfiguration\RuleOptionsFactory	method	optionsClass	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface
Qualimetrix\Analysis\Finding\RuleConfiguration\RuleOptionsParserFactory	method	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Analysis\Policy\Architecture\LayerViolation\LayerViolationRule	method	getOptionsClass	Qualimetrix\Analysis\Policy\Architecture\LayerViolation\LayerViolationOptions
Qualimetrix\Analysis\Policy\Architecture\LayerViolation\UnassignedClassRule	method	getOptionsClass	Qualimetrix\Analysis\Policy\Architecture\LayerViolation\UnassignedClassOptions
Qualimetrix\Analysis\Policy\Inline\Contract\RuleValidatorMapFactory	method	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Analysis\Policy\Inline\Directive\UnusedDirectiveRule	method	getOptionsClass	Qualimetrix\Analysis\Policy\Inline\Directive\InlineDirectiveOptions
Qualimetrix\Infrastructure\Console\Command\BaselineConfiguredThresholds	method	ruleClass	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Infrastructure\DependencyInjection\CompilerPass\ChannelDeclarationCompilerPass	method	openProducerOptionsClass	Qualimetrix\Analysis\Finding\Contract\Rule\RuleOptionsInterface
Qualimetrix\Infrastructure\Parallel\FileProcessingTask	constructor	collectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricCollectorInterface
Qualimetrix\Infrastructure\Parallel\FileProcessingTask	constructor	dependencyTraversalParticipantClass	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyTraversalParticipantInterface
Qualimetrix\Infrastructure\Parallel\FileProcessingTask	constructor	derivedCollectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\DerivedCollectorInterface
Qualimetrix\Infrastructure\Parallel\FileProcessingTask	constructor	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Infrastructure\Parallel\FileProcessingTaskFactory	constructor	collectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricCollectorInterface
Qualimetrix\Infrastructure\Parallel\FileProcessingTaskFactory	constructor	dependencyTraversalParticipantClass	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyTraversalParticipantInterface
Qualimetrix\Infrastructure\Parallel\FileProcessingTaskFactory	constructor	derivedCollectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\DerivedCollectorInterface
Qualimetrix\Infrastructure\Parallel\FileProcessingTaskFactory	constructor	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	classNames	Qualimetrix\Analysis\Evidence\Measurement\Contract\DerivedCollectorInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	classNames	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricCollectorInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	collectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricCollectorInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	collectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricCollectorInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	collectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricCollectorInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	dependencyTraversalParticipantClass	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyTraversalParticipantInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	dependencyTraversalParticipantClass	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyTraversalParticipantInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	derivedCollectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\DerivedCollectorInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	derivedCollectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\DerivedCollectorInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	derivedCollectorClasses	Qualimetrix\Analysis\Evidence\Measurement\Contract\DerivedCollectorInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	method	validateDependencyTraversalParticipantClass	Qualimetrix\Analysis\Evidence\DependencyModel\Contract\DependencyTraversalParticipantInterface
Qualimetrix\Infrastructure\Rule\ConfigurationValidatorRegistry	constructor	validatorClasses	Qualimetrix\Analysis\Finding\Contract\ConfigurationValidatorInterface
Qualimetrix\Infrastructure\Rule\ConfigurationValidatorRegistry	method	getClasses	Qualimetrix\Analysis\Finding\Contract\ConfigurationValidatorInterface
Qualimetrix\Infrastructure\Rule\ConfigurationValidatorRegistry	property	validatorClasses	Qualimetrix\Analysis\Finding\Contract\ConfigurationValidatorInterface
Qualimetrix\Infrastructure\Rule\RuleRegistry	constructor	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Infrastructure\Rule\RuleRegistry	property	ruleClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
Qualimetrix\Infrastructure\Rule\RuleRegistryInterface	method	getClasses	Qualimetrix\Analysis\Finding\Contract\Rule\RuleDefinitionInterface
