current_path	subject_owner	disposition
src/Infrastructure/Cache/README.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
src/Infrastructure/Console/README.md	Architecture.Governance	"Move or update atomically with the named subject owner."
src/Infrastructure/DependencyInjection/README.md	Infrastructure.DependencyInjection	"Move or update atomically with the named subject owner."
src/Infrastructure/Git/README.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
src/Infrastructure/Logging/README.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
src/Infrastructure/Parallel/README.md	Infrastructure.Parallel	"Move or update atomically with the named subject owner."
src/Infrastructure/Profiler/README.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
src/Infrastructure/README.md	Architecture.Governance	"Move or update atomically with the named subject owner."
src/Infrastructure/Rule/README.md	Infrastructure.Rule	"Move or update atomically with the named subject owner."
src/Infrastructure/Serializer/README.md	Infrastructure.Serializer	"Move or update atomically with the named subject owner."
src/Reporting/GraphProjection/README.md	Reporting.GraphProjection	"Move or update atomically with the named subject owner."
src/Reporting/README.md	Architecture.Governance	"Move or update atomically with the named subject owner."
website/docs/changelog.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/ci-cd/github-actions.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/ci-cd/github-actions.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/ci-cd/other-ci.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/ci-cd/other-ci.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/getting-started/configuration.md	Analysis.Run	"Move or update atomically with the named subject owner."
website/docs/getting-started/configuration.ru.md	Analysis.Run	"Move or update atomically with the named subject owner."
website/docs/getting-started/installation.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/getting-started/installation.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/getting-started/quick-start.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/getting-started/quick-start.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/guides/architecture-investigation.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/guides/architecture-investigation.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/index.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/index.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/reference/default-thresholds.md	Architecture.Governance	"Repository-wide governance documentation; review with the manifest and generated topology."
website/docs/reference/default-thresholds.ru.md	Architecture.Governance	"Repository-wide governance documentation; review with the manifest and generated topology."
website/docs/reference/health-scores.md	Analysis.Evidence.ComputedMetrics	"Move or update atomically with the named subject owner."
website/docs/reference/health-scores.ru.md	Analysis.Evidence.ComputedMetrics	"Move or update atomically with the named subject owner."
website/docs/reference/remediation-time.md	Analysis.Evidence.Prioritization	"Move or update atomically with the named subject owner."
website/docs/reference/remediation-time.ru.md	Analysis.Evidence.Prioritization	"Move or update atomically with the named subject owner."
website/docs/rules/annotation.md	Analysis.Policy.Inline	"Move or update atomically with the named subject owner."
website/docs/rules/annotation.ru.md	Analysis.Policy.Inline	"Move or update atomically with the named subject owner."
website/docs/rules/architecture.md	Architecture.Governance	"Move or update atomically with the named subject owner."
website/docs/rules/architecture.ru.md	Architecture.Governance	"Move or update atomically with the named subject owner."
website/docs/rules/code-smell.md	Analysis.Evidence.CodeSmell	"Move or update atomically with the named subject owner."
website/docs/rules/code-smell.ru.md	Analysis.Evidence.CodeSmell	"Move or update atomically with the named subject owner."
website/docs/rules/cohesion.md	Analysis.Evidence.Cohesion	"Move or update atomically with the named subject owner."
website/docs/rules/cohesion.ru.md	Analysis.Evidence.Cohesion	"Move or update atomically with the named subject owner."
website/docs/rules/complexity.md	Analysis.Evidence.Complexity	"Move or update atomically with the named subject owner."
website/docs/rules/complexity.ru.md	Analysis.Evidence.Complexity	"Move or update atomically with the named subject owner."
website/docs/rules/coupling.md	Analysis.Evidence.Coupling	"Move or update atomically with the named subject owner."
website/docs/rules/coupling.ru.md	Analysis.Evidence.Coupling	"Move or update atomically with the named subject owner."
website/docs/rules/design.md	Analysis.Evidence.Design	"Move or update atomically with the named subject owner."
website/docs/rules/design.ru.md	Analysis.Evidence.Design	"Move or update atomically with the named subject owner."
website/docs/rules/discovery.md	Analysis.Run	"Move or update atomically with the named subject owner."
website/docs/rules/discovery.ru.md	Analysis.Run	"Move or update atomically with the named subject owner."
website/docs/rules/duplication.md	Analysis.Evidence.Duplication	"Move or update atomically with the named subject owner."
website/docs/rules/duplication.ru.md	Analysis.Evidence.Duplication	"Move or update atomically with the named subject owner."
website/docs/rules/index.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/rules/index.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/rules/maintainability.md	Analysis.Evidence.Maintainability	"Move or update atomically with the named subject owner."
website/docs/rules/maintainability.ru.md	Analysis.Evidence.Maintainability	"Move or update atomically with the named subject owner."
website/docs/rules/security.md	Analysis.Evidence.Security	"Move or update atomically with the named subject owner."
website/docs/rules/security.ru.md	Analysis.Evidence.Security	"Move or update atomically with the named subject owner."
website/docs/rules/size.md	Analysis.Evidence.Size	"Move or update atomically with the named subject owner."
website/docs/rules/size.ru.md	Analysis.Evidence.Size	"Move or update atomically with the named subject owner."
website/docs/rules/suppression.md	Analysis.Finding	"Move or update atomically with the named subject owner."
website/docs/rules/suppression.ru.md	Analysis.Finding	"Move or update atomically with the named subject owner."
website/docs/usage/baseline.md	Analysis.Policy.Baseline	"Move or update atomically with the named subject owner."
website/docs/usage/baseline.ru.md	Analysis.Policy.Baseline	"Move or update atomically with the named subject owner."
website/docs/usage/cli-options.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/usage/cli-options.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/usage/git-integration.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/usage/git-integration.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/usage/output-formats.md	Analysis.Finding	"Move or update atomically with the named subject owner."
website/docs/usage/output-formats.ru.md	Analysis.Finding	"Move or update atomically with the named subject owner."
website/docs/usage/usage-scenarios.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
website/docs/usage/usage-scenarios.ru.md	Architecture.Governance	"Shared repository documentation; retain in place and update only when its governed surface changes."
