path	fqcn	proposed_owner	state_scope	mutable_static_properties	mutable_instance_properties	lifecycle_methods
src/Analysis/Evidence/Cohesion/LcomCollector.php	Qualimetrix\Analysis\Evidence\Cohesion\LcomCollector	Analysis.Evidence.Cohesion	"per-file or derivation state"	-	runtimeConfiguration	collect
src/Analysis/Evidence/Cohesion/LcomVisitor.php	Qualimetrix\Analysis\Evidence\Cohesion\LcomVisitor	Analysis.Evidence.Cohesion	"per-file or derivation state"	-	classData,methodStack	reset
src/Analysis/Evidence/Cohesion/Runtime/LcomCollectionConfigurationStore.php	Qualimetrix\Analysis\Evidence\Cohesion\Runtime\LcomCollectionConfigurationStore	Analysis.Evidence.Cohesion	"request scratch or mutable internal value"	-	configuration	reset
src/Analysis/Evidence/Cohesion/TccLccClassData.php	Qualimetrix\Analysis\Evidence\Cohesion\TccLccClassData	Analysis.Evidence.Cohesion	"request scratch or mutable internal value"	-	methods,propertyAccesses,propertyCount	addMethod,addPropertyAccess,buildMethodGraph
src/Analysis/Evidence/Cohesion/TccLccVisitor.php	Qualimetrix\Analysis\Evidence\Cohesion\TccLccVisitor	Analysis.Evidence.Cohesion	"per-file or derivation state"	-	classData,methodStack	reset
src/Analysis/Evidence/Complexity/CognitiveComplexityVisitor.php	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityVisitor	Analysis.Evidence.Complexity	"per-file or derivation state"	-	bodyLevels,callableStack,complexities,elseIfParts,increments,logicalIncrements,nestingLevel,recursionCounted,savedLevels,scopes	registerBodies,reset
src/Analysis/Evidence/Complexity/CyclomaticComplexityVisitor.php	Qualimetrix\Analysis\Evidence\Complexity\CyclomaticComplexityVisitor	Analysis.Evidence.Complexity	"per-file or derivation state"	-	complexities,methodStack,scopes	reset
src/Analysis/Evidence/Complexity/NpathComplexityVisitor.php	Qualimetrix\Analysis\Evidence\Complexity\NpathComplexityVisitor	Analysis.Evidence.Complexity	"per-file or derivation state"	-	calculatingFqn,factors,methodStack,npath,scopes	reset
src/Analysis/Evidence/ComputedMetrics/ComputedMetricAnalysis.php	Qualimetrix\Analysis\Evidence\ComputedMetrics\ComputedMetricAnalysis	Analysis.Evidence.ComputedMetrics	"request scratch or mutable internal value"	-	definitions	-
src/Analysis/Evidence/ComputedMetrics/ComputedMetricFormulaValidator.php	Qualimetrix\Analysis\Evidence\ComputedMetrics\ComputedMetricFormulaValidator	Analysis.Evidence.ComputedMetrics	"process-wide static"	catalogBaseKeys	-	-
src/Analysis/Evidence/ComputedMetrics/Contract/Evaluation/ComputedMetricBranchTrace.php	Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Evaluation\ComputedMetricBranchTrace	Analysis.Evidence.ComputedMetrics	"request scratch or mutable internal value"	-	entered,isPresent	-
src/Analysis/Evidence/ComputedMetrics/Contract/Evaluation/ComputedMetricExpression.php	Qualimetrix\Analysis\Evidence\ComputedMetrics\Contract\Evaluation\ComputedMetricExpression	Analysis.Evidence.ComputedMetrics	"request scratch or mutable internal value"	-	traces	-
src/Analysis/Evidence/ComputedMetrics/Health/Metadata/HealthDecompositionCatalog.php	Qualimetrix\Analysis\Evidence\ComputedMetrics\Health\Metadata\HealthDecompositionCatalog	Analysis.Evidence.ComputedMetrics.Health	"request scratch or mutable internal value"	-	decomposition	-
src/Analysis/Evidence/Coupling/RfcVisitor.php	Qualimetrix\Analysis\Evidence\Coupling\ClassRfcData	Analysis.Evidence.Coupling	"request scratch or mutable internal value"	-	externalMethods,ownMethods	addExternalMethod,addOwnMethod
src/Analysis/Evidence/Coupling/CouplingAnalysis.php	Qualimetrix\Analysis\Evidence\Coupling\CouplingAnalysis	Analysis.Evidence.Coupling	"analysis-run configuration"	-	frameworkMatcher,frameworkNamespaces	-
src/Analysis/Evidence/Coupling/RfcVisitor.php	Qualimetrix\Analysis\Evidence\Coupling\RfcVisitor	Analysis.Evidence.Coupling	"per-file or derivation state"	-	classStack,classes,currentNamespace,insideCallableDepth	addOwnPropertyHooks,buildClassFqn,collectInterfaceMethods,collectOwnMethods,collectOwnPropertyHooks,reset
src/Analysis/Evidence/DependencyModel/Extraction/DependencyResolver.php	Qualimetrix\Analysis\Evidence\DependencyModel\Extraction\DependencyResolver	Analysis.Evidence.DependencyModel	"request scratch or mutable internal value"	-	imports,namespace	addGroupUseStatement,addImport,addUseStatement,reset,setNamespace
src/Analysis/Evidence/DependencyModel/Extraction/DependencyVisitor.php	Qualimetrix\Analysis\Evidence\DependencyModel\Extraction\DependencyVisitor	Analysis.Evidence.DependencyModel	"per-file or derivation state"	-	anonymousClassDepth,currentClass,currentContext,declarationIndex,dependencies,file	reset
src/Analysis/Evidence/DependencyModel/Extraction/Handler/DependencyContext.php	Qualimetrix\Analysis\Evidence\DependencyModel\Extraction\Handler\DependencyContext	Analysis.Evidence.DependencyModel	"request scratch or mutable internal value"	-	dependencies,describesNestedAnonymousClass	addDependency,addInterfaceParent
src/Analysis/Evidence/DependencyModel/StringSet.php	Qualimetrix\Analysis\Evidence\DependencyModel\StringSet	Analysis.Evidence.DependencyModel	"request scratch or mutable internal value"	-	items	add,addAll
src/Analysis/Evidence/Design/Inheritance/InheritanceDepthResolver.php	Qualimetrix\Analysis\Evidence\Design\Inheritance\InheritanceDepthResolver	Analysis.Evidence.Design	"request scratch or mutable internal value"	-	depths	-
src/Analysis/Evidence/Design/Inheritance/InheritanceDepthVisitor.php	Qualimetrix\Analysis\Evidence\Design\Inheritance\InheritanceDepthVisitor	Analysis.Evidence.Design	"per-file or derivation state"	-	classInfo,currentNamespace,useImports	buildFqn,reset
src/Analysis/Evidence/Design/Inheritance/UnreadChainTally.php	Qualimetrix\Analysis\Evidence\Design\Inheritance\UnreadChainTally	Analysis.Evidence.Design	"request scratch or mutable internal value"	-	chains,names,sawMissingInstall	-
src/Analysis/Evidence/Design/TypeCoverage/TypeCoverageVisitor.php	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageVisitor	Analysis.Evidence.Design	"per-file or derivation state"	-	classInfos,classTypeInfo,currentNamespace	buildClassFqn,reset
src/Analysis/Evidence/Duplication/DuplicateBlockFinder.php	Qualimetrix\Analysis\Evidence\Duplication\DuplicateBlockFinder	Analysis.Evidence.Duplication	"request scratch or mutable internal value"	-	candidates,hintExtractor,request	buildBlock
src/Analysis/Evidence/Duplication/DuplicateMatchCandidates.php	Qualimetrix\Analysis\Evidence\Duplication\DuplicateMatchCandidates	Analysis.Evidence.Duplication	"request scratch or mutable internal value"	-	lengths,packedCopies	add
src/Analysis/Evidence/Duplication/DuplicationDetector.php	Qualimetrix\Analysis\Evidence\Duplication\DuplicationDetector	Analysis.Evidence.Duplication	"request scratch or mutable internal value"	-	blockFinder,hashIndexBuilder,minLines,minTokens,normalizer	detect,resetForRun
src/Analysis/Evidence/Duplication/DuplicationResultProvider.php	Qualimetrix\Analysis\Evidence\Duplication\DuplicationResultProvider	Analysis.Evidence.Duplication	"request scratch or mutable internal value"	-	blocks	reset
src/Analysis/Evidence/Duplication/HashIndexBuilder.php	Qualimetrix\Analysis\Evidence\Duplication\HashIndexBuilder	Analysis.Evidence.Duplication	"request scratch or mutable internal value"	-	normalizer	addCandidatePositionsToIndex,build,collectCandidatePositions
src/Analysis/Evidence/Duplication/SaturatingCandidateFilter.php	Qualimetrix\Analysis\Evidence\Duplication\SaturatingCandidateFilter	Analysis.Evidence.Duplication	"request scratch or mutable internal value"	-	hasCandidates,slotMask,states	-
src/Analysis/Evidence/Duplication/TokenNormalizer.php	Qualimetrix\Analysis\Evidence\Duplication\TokenNormalizer	Analysis.Evidence.Duplication	"request scratch or mutable internal value"	-	dataDeclarationTagger	-
src/Analysis/Evidence/Maintainability/HalsteadVisitor.php	Qualimetrix\Analysis\Evidence\Maintainability\HalsteadVisitor	Analysis.Evidence.Maintainability	"per-file or derivation state"	-	methodStack,metrics,scopes	reset
src/Analysis/Evidence/Maintainability/MaintainabilityIndexCollector.php	Qualimetrix\Analysis\Evidence\Maintainability\MaintainabilityIndexCollector	Analysis.Evidence.Maintainability	"per-file or derivation state"	-	calculator	-
src/Analysis/Evidence/Measurement/Contract/AbstractCollector.php	Qualimetrix\Analysis\Evidence\Measurement\Contract\AbstractCollector	Analysis.Evidence.Measurement	"per-file or derivation state"	-	visitor	collect,reset
src/Analysis/Evidence/Measurement/Contract/DeclarationIndexAwareTrait.php	Qualimetrix\Analysis\Evidence\Measurement\Contract\DeclarationIndexAwareTrait	Analysis.Evidence.Measurement	"request scratch or mutable internal value"	-	declarationIndex	-
src/Analysis/Evidence/Measurement/Contract/MetricBag.php	Qualimetrix\Analysis\Evidence\Measurement\Contract\MetricBag	Analysis.Evidence.Measurement	"request scratch or mutable internal value"	-	data,metrics	-
src/Analysis/Evidence/Measurement/Contract/VisitorMethodTrackingTrait.php	Qualimetrix\Analysis\Evidence\Measurement\Contract\VisitorMethodTrackingTrait	Analysis.Evidence.Measurement	"per-file or derivation state"	-	declarationIndex,visitorMethodContext	resetVisitorMethodContext
src/Analysis/Evidence/Measurement/DataBag.php	Qualimetrix\Analysis\Evidence\Measurement\DataBag	Analysis.Evidence.Measurement	"request scratch or mutable internal value"	-	entries	add
src/Analysis/Evidence/Measurement/Repository/InMemoryMetricRepository.php	Qualimetrix\Analysis\Evidence\Measurement\Repository\InMemoryMetricRepository	Analysis.Evidence.Measurement	"analysis-run repository"	-	metrics,namespaceIndex,subjectIndex,symbolInfos	add,addCallable,addLogicalClassProjection,addScalar,addSubject,addSubjectScalar
src/Analysis/Evidence/Measurement/Repository/MetricSubjectIndex.php	Qualimetrix\Analysis\Evidence\Measurement\Repository\MetricSubjectIndex	Analysis.Evidence.Measurement	"analysis-run repository"	-	declarationsByLogical,infos,metrics	add,addCallable,addLogicalClass,addLogicalClassScalar
src/Analysis/Evidence/Measurement/Repository/NamespaceMetricIndex.php	Qualimetrix\Analysis\Evidence\Measurement\Repository\NamespaceMetricIndex	Analysis.Evidence.Measurement	"analysis-run repository"	-	infosByNamespace,namespaceSet	add
src/Analysis/Evidence/Measurement/Visitor/DeclarationNumbering.php	Qualimetrix\Analysis\Evidence\Measurement\Visitor\DeclarationNumbering	Analysis.Evidence.Measurement	"per-file or derivation state"	-	index	-
src/Analysis/Evidence/Measurement/Visitor/FileEntrySubjectRegistry.php	Qualimetrix\Analysis\Evidence\Measurement\Visitor\FileEntrySubjectRegistry	Analysis.Evidence.Measurement	"per-file or derivation state"	-	nextSubject,subjects	register,reset
src/Analysis/Evidence/Measurement/Visitor/VisitorLexicalScope.php	Qualimetrix\Analysis\Evidence\Measurement\Visitor\VisitorLexicalScope	Analysis.Evidence.Measurement	"per-file or derivation state"	-	callableSubjects,callableTraversalOrdinals,callables,classes,closureCounter,namespace,namespaces,properties	reset
src/Analysis/Evidence/Prioritization/Debt/RemediationTimeRegistry.php	Qualimetrix\Analysis\Evidence\Prioritization\Debt\RemediationTimeRegistry	Analysis.Evidence.Prioritization	"runtime or composition registry"	-	declarations,minutesByRule	-
src/Analysis/Evidence/Security/Credential/HardcodedCredentialsVisitor.php	Qualimetrix\Analysis\Evidence\Security\Credential\HardcodedCredentialsVisitor	Analysis.Evidence.Security	"per-file or derivation state"	-	locations	reset
src/Analysis/Evidence/Security/SecurityPatternVisitor.php	Qualimetrix\Analysis\Evidence\Security\SecurityPatternVisitor	Analysis.Evidence.Security	"per-file or derivation state"	-	locations,reportedReads	addLocations,detectSqlInjection,reset
src/Analysis/Evidence/Security/SensitiveParameterVisitor.php	Qualimetrix\Analysis\Evidence\Security\SensitiveParameterVisitor	Analysis.Evidence.Security	"per-file or derivation state"	-	locations	reset
src/Analysis/Evidence/Size/ClassCountVisitor.php	Qualimetrix\Analysis\Evidence\Size\ClassCountVisitor	Analysis.Evidence.Size	"per-file or derivation state"	-	abstractClassCount,classCount,currentNamespace,enumCount,functionCount,implementingEnumCount,interfaceCount,namespaceCounts,traitCount	reset
src/Analysis/Evidence/Size/LocCollector.php	Qualimetrix\Analysis\Evidence\Size\LocCollector	Analysis.Evidence.Size	"per-file or derivation state"	-	namespaceMetrics	collect,reset
src/Analysis/Evidence/Size/LocVisitor.php	Qualimetrix\Analysis\Evidence\Size\LocVisitor	Analysis.Evidence.Size	"per-file or derivation state"	-	classRanges,currentNamespace,namespaceRanges	buildClassFqn,reset
src/Analysis/Evidence/Size/MethodCountMetrics.php	Qualimetrix\Analysis\Evidence\Size\MethodCountMetrics	Analysis.Evidence.Size	"request scratch or mutable internal value"	-	getterCount,hasConstructor,hasPublicConstructor,isAbstract,isException,isInterface,isReadonly,methodCountPrivate,methodCountProtected,methodCountPublic,methodCountPublicAll,methodCountTotal,promotedPropertyCount,propertyCount,propertyCountPrivate,propertyCountProtected,propertyCountPublic,setterCount	addProperty
src/Analysis/Evidence/Size/MethodCountVisitor.php	Qualimetrix\Analysis\Evidence\Size\MethodCountVisitor	Analysis.Evidence.Size	"per-file or derivation state"	-	classMetrics,classStack,currentNamespace,useImports	buildClassFqn,reset
src/Analysis/Evidence/Size/MethodStatementCountVisitor.php	Qualimetrix\Analysis\Evidence\Size\MethodStatementCountVisitor	Analysis.Evidence.Size	"per-file or derivation state"	-	counts,methodStack,scopes	reset
src/Analysis/Finding/ChannelPresentationView.php	Qualimetrix\Analysis\Finding\ChannelPresentationView	Analysis.Finding	"request scratch or mutable internal value"	-	descriptionByRule	-
src/Analysis/Finding/Contract/Rule/Override/IndependentAxisValidator.php	Qualimetrix\Analysis\Finding\Contract\Rule\Override\IndependentAxisValidator	Analysis.Finding	"process-wide static"	instance	-	-
src/Analysis/Finding/Contract/Rule/Override/InvertedOverrideValidator.php	Qualimetrix\Analysis\Finding\Contract\Rule\Override\InvertedOverrideValidator	Analysis.Finding	"process-wide static"	instance	-	-
src/Analysis/Finding/Contract/Rule/Override/WarningOnlyValidator.php	Qualimetrix\Analysis\Finding\Contract\Rule\Override\WarningOnlyValidator	Analysis.Finding	"process-wide static"	instance	-	-
src/Analysis/Finding/Contract/Rule/RuleSelector.php	Qualimetrix\Analysis\Finding\Contract\Rule\RuleSelector	Analysis.Finding	"request scratch or mutable internal value"	-	channels,declaredLevels	resetChannels
src/Analysis/Finding/Exclusion/RuleNamespaceExclusionProvider.php	Qualimetrix\Analysis\Finding\Exclusion\RuleNamespaceExclusionProvider	Analysis.Finding	"request scratch or mutable internal value"	-	channelExclusions,channelMatchers,exclusions,matchers	reset,setChannelExclusions,setExclusions
src/Analysis/Finding/Exclusion/RulePathExclusionProvider.php	Qualimetrix\Analysis\Finding\Exclusion\RulePathExclusionProvider	Analysis.Finding	"request scratch or mutable internal value"	-	exclusions,matchers	reset,setExclusions
src/Analysis/Finding/FindingExclusionLedger.php	Qualimetrix\Analysis\Finding\FindingExclusionLedger	Analysis.Finding	"request scratch or mutable internal value"	-	attributions,capturesExcluded,excludedFindings,namespaceExclusionCounts,pathExclusionCounts	-
src/Analysis/Finding/RuleConfiguration/RuleOptionsRegistry.php	Qualimetrix\Analysis\Finding\RuleConfiguration\RuleOptionsRegistry	Analysis.Finding	"runtime or composition registry"	-	capturesExcludedFindings,configuration	addCliOption,configureCli,configureNamespaceChannelExclusions,configureNamespaceExclusions,configurePathExclusions,configureSelection,resetRuntimeState,setCliOptions,setConfigFileOptions
src/Analysis/Finding/Rule/Override/StandardOverrideValidator.php	Qualimetrix\Analysis\Finding\Rule\Override\StandardOverrideValidator	Analysis.Finding	"process-wide static"	instance	-	-
src/Analysis/Policy/Architecture/ArchitecturePolicy.php	Qualimetrix\Analysis\Policy\Architecture\ArchitecturePolicy	Analysis.Policy.Architecture	"request scratch or mutable internal value"	-	configured,prepared	bind,prepare,reset
src/Analysis/Policy/Architecture/Configuration/Allow/ParseCapturedState.php	Qualimetrix\Analysis\Policy\Architecture\Configuration\Allow\ParseCapturedState	Analysis.Policy.Architecture	"request scratch or mutable internal value"	-	cursor,literalBuffer,seenCaptureNames,segments	-
src/Analysis/Policy/Architecture/LayerViolation/Observation/LayerEvidenceCollector.php	Qualimetrix\Analysis\Policy\Architecture\LayerViolation\Observation\LayerEvidenceCollector	Analysis.Policy.Architecture	"per-file or derivation state"	-	memo	collect,collectClassEvidence,collectEdgeEvidence
src/Analysis/Policy/Architecture/Layer/CapturePatternCompiler.php	Qualimetrix\Analysis\Policy\Architecture\Layer\CapturePatternCompiler	Analysis.Policy.Architecture	"request scratch or mutable internal value"	-	cursor,multiSegmentVariables,regex,seenVariables,variables	-
src/Analysis/Policy/Architecture/Layer/ClassContextFactory.php	Qualimetrix\Analysis\Policy\Architecture\Layer\ClassContextFactory	Analysis.Policy.Architecture	"request scratch or mutable internal value"	-	analysed,attributesMap,contextCache,extendsMap,graph,implementsMap,installDeclares,interfaceSources	bindGraph,build,collectTransitiveInterfaces
src/Analysis/Policy/Architecture/Layer/LayerRegistry.php	Qualimetrix\Analysis\Policy\Architecture\Layer\LayerRegistry	Analysis.Policy.Architecture	"runtime or composition registry"	-	contextFactory,layers,matchCache	bindGraph,clearCache
src/Analysis/Policy/Baseline/CanonicalBaselineReader.php	Qualimetrix\Analysis\Policy\Baseline\CanonicalBaselineReader	Analysis.Policy.Baseline	"request scratch or mutable internal value"	-	file,hash	-
src/Analysis/Policy/Inline/Directive/InlineDirectivePolicy.php	Qualimetrix\Analysis\Policy\Inline\Directive\InlineDirectivePolicy	Analysis.Policy.Inline	"request scratch or mutable internal value"	-	suppressions,thresholdDiagnostics,thresholdOverrides,usageReportingSeverity	prepare
src/Analysis/Policy/Inline/Suppression/SuppressionFilter.php	Qualimetrix\Analysis\Policy\Inline\Suppression\SuppressionFilter	Analysis.Policy.Inline	"request scratch or mutable internal value"	-	suppressions,symbolSuppressionsBySubject	clearSuppressions,setSuppressions
src/Analysis/Run/Collection/CollectionPhaseFold.php	Qualimetrix\Analysis\Run\Collection\CollectionPhaseFold	Analysis.Run	"request scratch or mutable internal value"	-	analyzedFiles,dependencies,failures,suppressions,thresholdDiagnostics,thresholdOverrides	-
src/Analysis/Run/Collection/FileProcessor.php	Qualimetrix\Analysis\Run\Collection\FileProcessor	Analysis.Run	"request scratch or mutable internal value"	-	projectRoot	collectMeasurements,setProjectRoot
src/Analysis/Run/Discovery/FinderFileDiscovery.php	Qualimetrix\Analysis\Run\Discovery\FinderFileDiscovery	Analysis.Run	"request scratch or mutable internal value"	-	skippedEntries	-
src/Core/Symbol/FileDeclarationIndex.php	Qualimetrix\Core\Symbol\FileDeclarationIndex	Core.Symbol	"request scratch or mutable internal value"	-	positions	register
src/Core/Symbol/PhpBuiltinClassRegistry.php	Qualimetrix\Core\Symbol\PhpBuiltinClassRegistry	Core.Symbol	"process-wide static"	byFoldedName	-	-
src/Infrastructure/Ast/CachedFileParser.php	Qualimetrix\Infrastructure\Ast\CachedFileParser	Infrastructure.Ast	"adapter session or cache"	-	resolvedCache	-
src/Infrastructure/Cache/CacheConfigurationStore.php	Qualimetrix\Infrastructure\Cache\CacheConfigurationStore	Infrastructure.Cache	"adapter session or cache"	-	configuration	reset
src/Infrastructure/Cache/CacheFactory.php	Qualimetrix\Infrastructure\Cache\CacheFactory	Infrastructure.Cache	"adapter session or cache"	-	cache	reset,resetConfiguration
src/Infrastructure/Cache/FileCache.php	Qualimetrix\Infrastructure\Cache\FileCache	Infrastructure.Cache	"adapter session or cache"	-	serializerVerified	clear,set
src/Infrastructure/Composer/ComposerAutoloadMap.php	Qualimetrix\Infrastructure\Composer\ComposerAutoloadMap	Infrastructure.Composer	"adapter session or cache"	-	classmap,loaded,psr4,roots	addPsr4
src/Infrastructure/Composer/DeclaredParentReader.php	Qualimetrix\Infrastructure\Composer\DeclaredParentReader	Infrastructure.Composer	"adapter session or cache"	-	answers	-
src/Infrastructure/Console/Command/BaselineCommand.php	Qualimetrix\Infrastructure\Console\Command\BaselineCommand	Infrastructure.Console	"adapter session or cache"	-	refusalPresenter	execute,setRefusalPresenter
src/Infrastructure/Console/Command/CheckCommand.php	Qualimetrix\Infrastructure\Console\Command\CheckCommand	Infrastructure.Console	"adapter session or cache"	-	hiddenOptionNames	configure,execute
src/Infrastructure/Console/ErrorStream.php	Qualimetrix\Infrastructure\Console\ErrorStream	Infrastructure.Console	"adapter session or cache"	-	boundTo,diagnostics,progress,sectionable,sections	bind,reset
src/Infrastructure/Console/FilteredInputDefinition.php	Qualimetrix\Infrastructure\Console\FilteredInputDefinition	Infrastructure.Console	"adapter session or cache"	-	hiddenOptionNames	setHiddenOptionNames
src/Infrastructure/Console/Progress/ConsoleProgressBar.php	Qualimetrix\Infrastructure\Console\Progress\ConsoleProgressBar	Infrastructure.Console	"adapter session or cache"	-	progressBar	setMessage
src/Infrastructure/Console/Progress/SwitchableProgressReporter.php	Qualimetrix\Infrastructure\Console\Progress\SwitchableProgressReporter	Infrastructure.Console	"adapter session or cache"	-	delegate	reset,setMessage
src/Infrastructure/Git/GitClient.php	Qualimetrix\Infrastructure\Git\GitClient	Infrastructure.Git	"adapter session or cache"	-	gitToplevelCache	-
src/Infrastructure/Git/NameStatusListing.php	Qualimetrix\Infrastructure\Git\NameStatusListing	Infrastructure.Git	"adapter session or cache"	-	lostSources,skipped	-
src/Infrastructure/Logging/FileLogger.php	Qualimetrix\Infrastructure\Logging\FileLogger	Infrastructure.Logging	"adapter session or cache"	-	handle	-
src/Infrastructure/Logging/LoggerHolder.php	Qualimetrix\Infrastructure\Logging\LoggerHolder	Infrastructure.Logging	"runtime holder"	-	logger	reset,setLogger
src/Infrastructure/Parallel/Runtime/ParallelConfigurationStore.php	Qualimetrix\Infrastructure\Parallel\Runtime\ParallelConfigurationStore	Infrastructure.Parallel	"adapter session or cache"	-	configuration	reset
src/Infrastructure/Parallel/Strategy/AmphpParallelStrategy.php	Qualimetrix\Infrastructure\Parallel\Strategy\AmphpParallelStrategy	Infrastructure.Parallel	"adapter session or cache"	-	cacheDir,minFilesForParallel,projectRoot,workerCount	execute,executeParallel,executeSequential,setCacheDir,setMinFilesForParallel,setProjectRoot,setWorkerCount
src/Infrastructure/Parallel/WorkerBootstrap.php	Qualimetrix\Infrastructure\Parallel\WorkerBootstrap	Infrastructure.Parallel	"worker-process static"	cacheKey,processor	-	buildCacheKey,reset
src/Infrastructure/Profiler/ProfileSession.php	Qualimetrix\Infrastructure\Profiler\ProfileSession	Infrastructure.Profiler	"adapter session or cache"	-	enabled,profiler	-
src/Infrastructure/Profiler/Profiler.php	Qualimetrix\Infrastructure\Profiler\Profiler	Infrastructure.Profiler	"adapter session or cache"	-	exporters,rootSpans,stack	clear,collectStats
src/Infrastructure/Profiler/Span.php	Qualimetrix\Infrastructure\Profiler\Span	Infrastructure.Profiler	"adapter session or cache"	-	children,endMemory,endTime,parent,stopped	-
src/Reporting/Formatter/FormatterRegistry.php	Qualimetrix\Reporting\Formatter\FormatterRegistry	Reporting	"runtime or composition registry"	-	formatters	register
src/Reporting/Formatter/Html/HtmlTreeNode.php	Qualimetrix\Reporting\Formatter\Html\HtmlTreeNode	Reporting	"report projection or builder state"	-	children,debtMinutes,findings,metrics,name,path,type,violationCountTotal	-
src/Reporting/ReportBuilder.php	Qualimetrix\Reporting\ReportBuilder	Reporting	"report projection or builder state"	-	coverage,duration,filesAnalyzed,filesSkipped,findings,metrics,namespaceTree,outOfScope,projectScope,suppressionComposition	addFinding,addFindings,build
