surface	universe	current_language	target	owner	principal_code	public
architecture layer exclude.patterns	class FQCNs	membership glob plus template substitution	keep Architecture capture DSL; repair contradictions	Analysis.Policy.Architecture	src/Analysis/Policy/Architecture/Layer/Expansion/TupleExtractor.php	yes
architecture layer suffix	short class names	literal suffix	keep typed criterion	Analysis.Policy.Architecture	src/Analysis/Policy/Architecture/Layer/LayerCriteriaMatcher.php	yes
architecture attributes implements extends	declared and inherited FQCN facts	exact typed values	keep typed criteria	Analysis.Policy.Architecture	src/Analysis/Policy/Architecture/Layer/LayerCriteriaMatcher.php	yes
architecture.allow source and targets	concrete layer names	exact glob or binding capture selector	keep Architecture binding DSL; repair contradictions	Analysis.Policy.Architecture	src/Analysis/Policy/Architecture/Configuration/Allow/LayerSelector.php	yes
only_rules disabled_rules --only-rule --disable-rule	rules channels and symbol levels	exact X or strict-descendant X.* plus optional level	keep fail-closed identity grammar	Analysis.Finding	src/Analysis/Finding/Contract/Rule/NameSelector.php	yes
rules section keys and --rule-opt owner	producer rules	exact producer identity	keep exact	Analysis.Finding	src/Analysis/Finding/RuleConfiguration/RuleOptionsParser.php	yes
qmx-ignore directives	channels and levels	exact X or strict-descendant X.*; special all-channels form	keep fail-closed identity grammar	Analysis.Policy.Inline	src/Analysis/Policy/Inline/Contract/SuppressionExtractor.php	yes
qmx-threshold directives	producer rules	exact producer identity	keep exact	Analysis.Policy.Inline	src/Analysis/Policy/Inline/Contract/ThresholdOverrideExtractor.php	yes
exclude_health	health dimensions	exact dimension with one alias	keep closed vocabulary	Analysis.Evidence.ComputedMetrics	src/Analysis/Evidence/ComputedMetrics/Health/Configuration/HealthFormulaExcluder.php	yes
boolean-argument allowed_prefixes	parameter names	case-insensitive semantic prefix at a word boundary	keep rule-specific predicate	Analysis.Evidence.CodeSmell	src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	yes
error-suppression allowed_functions	function names	normalized exact allow-list	keep exact	Analysis.Evidence.CodeSmell	src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php	yes
cohesion.lcom exclude_methods	method names	exact set	keep exact	Analysis.Evidence.Cohesion	src/Analysis/Evidence/Cohesion/LcomOptions.php	yes
baseline:explain --channel	finding channel	exact channel identity	keep exact	Infrastructure.Console	src/Infrastructure/Console/Command/BaselineExplainCommand.php	yes
baseline:cleanup --remove	baseline entry identity	exact 12-hex handle	keep exact	Analysis.Policy.Baseline	src/Analysis/Policy/Baseline/EntrySelector.php	yes
rules --group	display family	exact closed vocabulary	keep exact	Infrastructure.Console	src/Infrastructure/Console/Command/RulesCommand.php	yes
debug:layer-assignment	class FQCN	exact analyzed class	keep exact	Infrastructure.Console	src/Infrastructure/Console/Command/Debug/LayerAssignmentCommand.php	yes

# Enumeration method: source sweep over direct PathMatcher/NamespaceMatcher/GlobSyntax/PatternMatch imports,
# every production fnmatch(), selector-like str_starts_with()/strncasecmp(), user-input preg_match(),
# ConfigSchema and ConfigurationDocument consumers, CLI definitions, rule option declarations, DI/generic/reflection
# references, tests, governance, qmx.yaml(.example), website docs, ADRs, and CHANGELOG.
# Blind spots: external consumer configuration, ignored files, and future selector doors not covered by the proposed
# governance registry. Internal validation regexes, security detectors, build/test filesystem globs, and parser regexes
# were inspected but excluded because they do not match a user selector against a product object universe.
