# Constructor-injected collaborator types of every rule and configuration
# validator — the second-order surface on which re-execution could leave state.
#
# WHAT PRODUCED IT: enumeration-rule-collaborators.py — same transitive rule set
# as enumeration-execution-state.py, plus ConfigurationValidatorInterface
# implementors, then a regex over each constructor parameter list. 50 classes,
# 40 of them without a constructor of their own.
#
# WHAT IT CANNOT SEE: collaborators obtained from a container or a factory
# inside a method rather than injected; transitive collaborators (this is one
# level deep); union and intersection parameter types, of which the regex keeps
# only the first name.
kind	class	file	collaborator
rule	DistanceRule	src/Analysis/Evidence/Coupling/DistanceRule.php	RuleOptionsInterface
rule	EmptyCatchRule	src/Analysis/Evidence/CodeSmell/EmptyCatchRule.php	(no constructor)
rule	ErrorSuppressionRule	src/Analysis/Evidence/CodeSmell/ErrorSuppressionRule.php	(no constructor)
rule	EvalRule	src/Analysis/Evidence/CodeSmell/EvalRule.php	(no constructor)
rule	ExitRule	src/Analysis/Evidence/CodeSmell/ExitRule.php	(no constructor)
rule	GodClassRule	src/Analysis/Evidence/Design/GodClass/GodClassRule.php	(no constructor)
rule	GotoRule	src/Analysis/Evidence/CodeSmell/GotoRule.php	(no constructor)
rule	HardcodedCredentialsRule	src/Analysis/Evidence/Security/HardcodedCredentialsRule.php	(no constructor)
rule	IdenticalSubExpressionRule	src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionRule.php	(no constructor)
rule	InheritanceRule	src/Analysis/Evidence/Design/Inheritance/InheritanceRule.php	(no constructor)
rule	InstabilityRule	src/Analysis/Evidence/Coupling/InstabilityRule.php	(no constructor)
rule	LayerViolationRule	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php	LayerEvidenceCollector
rule	LayerViolationRule	src/Analysis/Policy/Architecture/LayerViolation/LayerViolationRule.php	RuleOptionsInterface
rule	LcomRule	src/Analysis/Evidence/Cohesion/LcomRule.php	(no constructor)
rule	LongParameterListRule	src/Analysis/Evidence/CodeSmell/LongParameterListRule.php	(no constructor)
rule	MaintainabilityRule	src/Analysis/Evidence/Maintainability/MaintainabilityRule.php	(no constructor)
rule	MethodCountRule	src/Analysis/Evidence/Size/MethodCountRule.php	(no constructor)
rule	NocRule	src/Analysis/Evidence/Design/Inheritance/NocRule.php	(no constructor)
rule	NpathComplexityRule	src/Analysis/Evidence/Complexity/NpathComplexityRule.php	(no constructor)
rule	ParamTypeCoverageRule	src/Analysis/Evidence/Design/TypeCoverage/ParamTypeCoverageRule.php	(no constructor)
rule	PropertyCountRule	src/Analysis/Evidence/Size/PropertyCountRule.php	(no constructor)
rule	PropertyTypeCoverageRule	src/Analysis/Evidence/Design/TypeCoverage/PropertyTypeCoverageRule.php	(no constructor)
rule	ReturnTypeCoverageRule	src/Analysis/Evidence/Design/TypeCoverage/ReturnTypeCoverageRule.php	(no constructor)
rule	SensitiveParameterRule	src/Analysis/Evidence/Security/SensitiveParameterRule.php	(no constructor)
rule	SqlInjectionRule	src/Analysis/Evidence/Security/SqlInjectionRule.php	(no constructor)
rule	SuperglobalsRule	src/Analysis/Evidence/CodeSmell/SuperglobalsRule.php	(no constructor)
rule	UnassignedClassRule	src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassRule.php	LayerEvidenceCollector
rule	UnassignedClassRule	src/Analysis/Policy/Architecture/LayerViolation/UnassignedClassRule.php	RuleOptionsInterface
rule	UnreachableCodeRule	src/Analysis/Evidence/CodeSmell/UnreachableCodeRule.php	(no constructor)
rule	UnusedDirectiveRule	src/Analysis/Policy/Inline/Directive/UnusedDirectiveRule.php	InlineDirectivePolicy
rule	UnusedDirectiveRule	src/Analysis/Policy/Inline/Directive/UnusedDirectiveRule.php	RuleOptionsInterface
rule	UnusedPrivateRule	src/Analysis/Evidence/CodeSmell/UnusedPrivateRule.php	(no constructor)
rule	WmcRule	src/Analysis/Evidence/Complexity/WmcRule.php	(no constructor)
rule	XssRule	src/Analysis/Evidence/Security/XssRule.php	(no constructor)
validator	InlineDirectiveValidator	src/Analysis/Policy/Inline/Directive/InlineDirectiveValidator.php	ChannelIdentityInterface
validator	InlineDirectiveValidator	src/Analysis/Policy/Inline/Directive/InlineDirectiveValidator.php	InlineDirectivePolicy
validator	InlineDirectiveValidator	src/Analysis/Policy/Inline/Directive/InlineDirectiveValidator.php	RuleOptionsInterface
validator	LayerDeclarationValidator	src/Analysis/Policy/Architecture/LayerViolation/LayerDeclarationValidator.php	LayerEvidenceCollector
validator	LayerDeclarationValidator	src/Analysis/Policy/Architecture/LayerViolation/LayerDeclarationValidator.php	LayerViolationOptions
