# X19, этап 04, пакет P-B/P-E: КЛАСС КАЖДОЙ ИЗ 67 ДЕФЕКТНЫХ СТРОК ОСЕЙ A И D.
# Знаменатель — сетка дерева d3c6afae: ось A 28 + ось D 39 = 67.
# Итог пакета: 18 вылечено, 49 остаток. Ось A 28 -> 12, ось D 39 -> 37, вместе 67 -> 49.
#
# =========================== ЧЕМ ПОЛУЧЕНО ===========================
# 1. Знаменатель: awk -F'\t' '($1=="A"||$1=="D") && $6=="yes"' по verdicts.tsv на d3c6afae
#    (снимок сохранён до прогона), 67 строк.
# 2. Класс каждой строки установлен ЧТЕНИЕМ читателя (файл:строка в колонке `why`) плюс живым
#    прогоном `bin/qmx check` на фикстуре стенда: для каждого класса отказа воспроизведён
#    хотя бы один документ и процитирован его текст. Правдоподобие классом не считается.
# 3. Совпадение классификации с измерением проверено СКРИПТОМ, а не глазами: ни одна строка,
#    объявленная вылеченной, не осталась дефектной, и ни одна объявленная остатком не позеленела.
#    Множество дефектных строк после прогона РАВНО объявленному остатку (49 = 49).
#
# =========================== ЧЕГО ЭТОТ СПОСОБ НЕ ВИДИТ ===========================
# - Из десяти строк `architecture.layers[*].*|list` живым прогоном воспроизведены все пять
#   верхнего уровня и одна из пяти внутри `exclude:`; остальные четыре отнесены по тождеству
#   кода (тот же CriterionListValidator, тот же текст отказа с подставленным именем критерия).
# - Класс STAND означает «дефект пробы», а не «продукт прав»: проба не задаёт продукту вопрос
#   о форме, и что ответил бы продукт на правильно заданный вопрос, эта таблица НЕ утверждает.
# - Класс OUT-OF-SCOPE — это утверждение о ТЕКСТЕ отказа (он об элементе или о ключе), а не о
#   том, что форма контейнера продуктом принята. Контейнер до суждения может не дойти.
# - Восемь строк `map` и двенадцать `list` отнесены к вынесенной координате по одному правилу;
#   если заход решит, что форма содержимого — часть формы контейнера, все двадцать переедут.
#
# КОЛОНКИ: axis, row, verdict (на d3c6afae), class, status, why
axis	row	verdict	class	status	why
D	form|yaml|architecture.layers[*].patterns|string-nonnumber	REFUSES	STAND	REMAINDER	отказ принадлежит КОНВЕРТУ: база строки в axis-d-envelopes.tsv пишет слой с именем "Domain", а LayerDefinition::NAME_REGEX отвергает заглавную букву раньше, чем доходит до листа. Измерено: с именем `domain` тот же документ принимается (exit 2). Лечение — одна правка promise-effect/axis-d-envelopes.tsv, файла, который этот пакет трогать не должен
D	form|yaml|architecture.layers[*].patterns|string-number	REFUSES	STAND	REMAINDER	отказ принадлежит КОНВЕРТУ: база строки в axis-d-envelopes.tsv пишет слой с именем "Domain", а LayerDefinition::NAME_REGEX отвергает заглавную букву раньше, чем доходит до листа. Измерено: с именем `domain` тот же документ принимается (exit 2). Лечение — одна правка promise-effect/axis-d-envelopes.tsv, файла, который этот пакет трогать не должен
D	form|yaml|architecture.layers[*].suffix|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture.layers[*].suffix|string-nonnumber	REFUSES	STAND	REMAINDER	отказ принадлежит КОНВЕРТУ: база строки в axis-d-envelopes.tsv пишет слой с именем "Domain", а LayerDefinition::NAME_REGEX отвергает заглавную букву раньше, чем доходит до листа. Измерено: с именем `domain` тот же документ принимается (exit 2). Лечение — одна правка promise-effect/axis-d-envelopes.tsv, файла, который этот пакет трогать не должен
D	form|yaml|architecture.layers[*].suffix|string-number	REFUSES	STAND	REMAINDER	отказ принадлежит КОНВЕРТУ: база строки в axis-d-envelopes.tsv пишет слой с именем "Domain", а LayerDefinition::NAME_REGEX отвергает заглавную букву раньше, чем доходит до листа. Измерено: с именем `domain` тот же документ принимается (exit 2). Лечение — одна правка promise-effect/axis-d-envelopes.tsv, файла, который этот пакет трогать не должен
D	form|yaml|architecture.layers|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|architecture|map	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о КЛЮЧЕ карты (`{a: 7331}` — `a` не называет ни секции, ни слоя, ни уровня), а не о форме контейнера; та же вынесенная координата
D	form|yaml|cache.dir|string-number	COLLAPSED	PROMISE	CURED	имя каталога из одних цифр — законный путь; сказано в configuration.md, реестр перевыведён
D	form|yaml|cache|map	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о КЛЮЧЕ карты (`{a: 7331}` — `a` не называет ни секции, ни слоя, ни уровня), а не о форме контейнера; та же вынесенная координата
D	form|yaml|computed_metrics.<name>.formulas|map	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о КЛЮЧЕ карты (`{a: 7331}` — `a` не называет ни секции, ни слоя, ни уровня), а не о форме контейнера; та же вынесенная координата
D	form|yaml|computed_metrics.<name>.formula|string-nonnumber	REFUSES	STAND	REMAINDER	каноническая величина `abc` формулой не является, поэтому отказ — о значении, а не о форме; строке нужен объявленный hit, а таблицы величин лежат в promise-effect/**
D	form|yaml|computed_metrics.<name>.formula|string-number	COLLAPSED	PROMISE	CURED	числовая константа — законное выражение; сказано в health-scores.md, реестр перевыведён
D	form|yaml|computed_metrics.<name>.levels|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
D	form|yaml|computed_metrics|map	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о КЛЮЧЕ карты (`{a: 7331}` — `a` не называет ни секции, ни слоя, ни уровня), а не о форме контейнера; та же вынесенная координата
D	form|yaml|coupling|map	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о КЛЮЧЕ карты (`{a: 7331}` — `a` не называет ни секции, ни слоя, ни уровня), а не о форме контейнера; та же вынесенная координата
D	form|yaml|fail_on|string-nonnumber	REFUSES	DECLARATION	REMAINDER	у корней вне rules: формы объявляют маркеры ConfigSchema (три штуки), закрытость ими не выражается; механизм читателя — M1/M2/M3 в closed-sets.tsv. Перенос в словарь отвергнут поимённо: у format слов на момент объявления нет, у memory_limit предмет не слова, у fail_on копия слов Severity была бы вторым местом решения
D	form|yaml|format|string-nonnumber	REFUSES	DECLARATION	REMAINDER	у корней вне rules: формы объявляют маркеры ConfigSchema (три штуки), закрытость ими не выражается; механизм читателя — M1/M2/M3 в closed-sets.tsv. Перенос в словарь отвергнут поимённо: у format слов на момент объявления нет, у memory_limit предмет не слова, у fail_on копия слов Severity была бы вторым местом решения
D	form|yaml|memory_limit|string-nonnumber	REFUSES	DECLARATION	REMAINDER	у корней вне rules: формы объявляют маркеры ConfigSchema (три штуки), закрытость ими не выражается; механизм читателя — M1/M2/M3 в closed-sets.tsv. Перенос в словарь отвергнут поимённо: у format слов на момент объявления нет, у memory_limit предмет не слова, у fail_on копия слов Severity была бы вторым местом решения
D	form|yaml|parallel|map	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о КЛЮЧЕ карты (`{a: 7331}` — `a` не называет ни секции, ни слоя, ни уровня), а не о форме контейнера; та же вынесенная координата
A	form|yaml|rules.annotation.directive.unused-directive-severity|string-nonnumber	REFUSES	DECLARATION	REMAINDER	объявление говорит «любая строка», читатель проверяет статическим списком слов (механизм M1 в closed-sets.tsv). Форма oneOf() в словарь добавлена, но объявить её нечем: Stand::effectWritesFor() требует записи одной из восьми величин раньше, чем смотрит в свой effect-magnitudes.tsv, и прогон обрывается (Stand.php:1590, воспроизведено). Для severity и mode вдобавок файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом
A	form|yaml|rules.architecture.layer-violation.severity|string-nonnumber	REFUSES	DECLARATION	REMAINDER	объявление говорит «любая строка», читатель проверяет статическим списком слов (механизм M1 в closed-sets.tsv). Форма oneOf() в словарь добавлена, но объявить её нечем: Stand::effectWritesFor() требует записи одной из восьми величин раньше, чем смотрит в свой effect-magnitudes.tsv, и прогон обрывается (Stand.php:1590, воспроизведено). Для severity и mode вдобавок файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом
A	form|yaml|rules.architecture.unassigned-class.mode|string-nonnumber	REFUSES	DECLARATION	REMAINDER	объявление говорит «любая строка», читатель проверяет статическим списком слов (механизм M1 в closed-sets.tsv). Форма oneOf() в словарь добавлена, но объявить её нечем: Stand::effectWritesFor() требует записи одной из восьми величин раньше, чем смотрит в свой effect-magnitudes.tsv, и прогон обрывается (Stand.php:1590, воспроизведено). Для severity и mode вдобавок файл лежит в src/Analysis/Policy/Architecture/**, закрытом предыдущим пакетом
A	form|yaml|rules.code-smell.boolean-argument.allowed-prefixes|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
A	form|yaml|rules.code-smell.boolean-argument.allowed-prefixes|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|yaml|rules.code-smell.boolean-argument.allowed-prefixes|string-number	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|yaml|rules.code-smell.error-suppression.allowed-functions|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
A	form|yaml|rules.code-smell.error-suppression.allowed-functions|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|yaml|rules.code-smell.error-suppression.allowed-functions|string-number	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|yaml|rules.cohesion.lcom.exclude-methods|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
A	form|yaml|rules.cohesion.lcom.exclude-methods|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|yaml|rules.cohesion.lcom.exclude-methods|string-number	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|yaml|rules.coupling.distance.include-namespaces|list	REFUSES	OUT-OF-SCOPE	REMAINDER	отказ о ФОРМЕ ЭЛЕМЕНТА списка (`[7331]` — целое там, где ожидается непустая строка), а не о форме контейнера; координата «форма контейнера × форма содержимого» вынесена заходом
A	form|yaml|rules.coupling.distance.include-namespaces|string-nonnumber	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
A	form|yaml|rules.coupling.distance.include-namespaces|string-number	COLLAPSED	PROMISE	CURED	носитель не называл однострочную форму списка; сказан на странице правила, реестр перевыведён
