axis	row	probe	point	verdict	defect	ledger_status	decided_by
A	form|cli-alias|rules.complexity.ccn.callable.error|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.error|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.error|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.error|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.error|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.warning|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.warning|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.warning|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.warning|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.warning|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.warning|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.warning|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.callable.warning|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_error|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_error|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_error|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_error|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_error|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_error|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_error|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_error|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_warning|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_warning|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_warning|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_warning|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_warning|map	map	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no map syntax: the braces arrive as characters; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_warning|null	null	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_warning|string-nonnumber	string-nonnumber	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.ccn.class.max_warning|string-number	string-number	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door carries text: `7331` is the only spelling, and quoting it writes six characters; lost at nowhere
A	form|cli-alias|rules.complexity.cognitive.callable.error|bool	bool	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.cognitive.callable.error|float	float	optionsObject	REFUSES	no	DECIDED	refused; lost at nowhere
A	form|cli-alias|rules.complexity.cognitive.callable.error|int	int	optionsObject	OK	no	DECIDED	effect distinguishable and the producer reachable; lost at nowhere
A	form|cli-alias|rules.complexity.cognitive.callable.error|list	list	optionsObject	NOT OBSERVABLE	no	DECIDED	a CLI door has no list syntax: the brackets arrive as characters; lost at nowhere
