row_id	file	line	class	counterpart	severity	source_report	note
R011	tests/Analysis/Finding/Unit/RuleConfigurationIsolationTest.php		dupe	tests/Analysis/Finding/Unit/RuleOptionsFactoryTest.php	medium	01-finding,01a-groupA	the RuleOptionsRegistry reset overlaps with two state-reset tests inside RuleOptionsFactoryTest
R012	tests/Analysis/Finding/Integration/ChannelCoverageTest.php		stale-doc		low	01-finding,01c-groupC	#[CoversNothing] with an SUT explicitly named in the docblock — the attribute is misleading
R013	tests/Analysis/Finding/Integration/ChannelEmissionStaticGuardTest.php		other		low	01-finding,01c-groupC	skipList() is empty — the argument AST-resolver's complexity is currently never exercised
R014	tests/Analysis/Finding/Integration/AnalysisContextScopeArgumentGuardTest.php		other		medium	01-finding,01c-groupC	checks only that the argument is named, not that the value is correct anywhere — the oracle is weaker than the promise
R015	tests/Analysis/Finding/Integration/ChannelLevelAssemblyTopologyTest.php		other		low	01-finding,01c-groupC	one test checks the helper's own parser, not the product
R016	tests/Analysis/Finding/Integration/ChannelLevelRefusalTopologyTest.php		other		medium	01-finding,01c-groupC	the substring-based detector is fragile; two self-tests check the detectors themselves, not the product
R017	tests/Analysis/Finding/Integration/ChannelPresentationCoverageTest.php	31	dupe	tests/Analysis/Finding/Integration/ChannelUniverseCoverageTest.php	medium	01-finding,01c-groupC	DECLARED_CHANNEL_COUNT=58 is hardcoded independently in both files; the number match is not verified programmatically
R018	tests/Analysis/Finding/Integration/ChannelSuggestionTieTest.php		misplaced		low	01-finding,01c-groupC	recomputes Levenshtein by hand and never calls DirectiveNameHints; the subject is Analysis/Policy/Inline
R019	tests/Analysis/Finding/Integration/ConfigurationErrorClassificationTopologyTest.php		other		low	01-finding,01c-groupC	one file mixes two genres: two AST-based control tests and five fixture-based integration tests
R020	tests/Analysis/Finding/Integration/RuleRemediationMinutesCoverageTest.php		dupe	tests/Analysis/Finding/Integration/RuleDocsPageCoverageTest.php	medium	01-finding,01d-groupD	the private helpers ruleClasses()/docsRoot() and the count 48 are duplicated verbatim
R021	tests/Analysis/Finding/Support/FindingFactory.php		misplaced		low	01-finding,01d-groupD	all eight consumers live in tests/Analysis/Policy/Baseline/Unit; no Finding test uses it
R022	tests/Analysis/Finding/Integration/ChannelCoverageTest.php	88	stale-doc		low	01c-groupC	the docblock references {@see \Qualimetrix\Tests\Integration\Infrastructure\Rule\ChannelDeclarationFixtureDriftTest} — no such FQCN exists in the tree; the real class lives in Tests\Analysis\Finding\Integration
R023	tests/Analysis/Finding/Unit/AbstractRuleSubjectControlTest.php		other		low	01b-groupB	the name promises a control test, but this is an ordinary unit test of a single method, AbstractRule::getEffectiveSeverity()
R024	tests/Analysis/Policy/Baseline/Functional/BaselineCommandOptionSurfaceTest.php	168	other		low	02-baseline-inline	the method (168-203) reads action.yml, docker-compose.yml and pre-commit-hook.sh — a control fragment inside a functional file
R025	tests/Analysis/Policy/Baseline/Functional/ConfiguredWarningBoundaryMapTest.php		category-wrong		medium	02-baseline-inline	lives in Functional/ but does not run the CLI — reads the map from the DI container, which is integration
R026	tests/Analysis/Policy/Baseline/Unit/BaselineChannelRenamerTest.php		category-wrong		medium	02-baseline-inline	real flock, symlinks and child-process spawning in the Unit/ directory
R027	tests/Analysis/Policy/Baseline/Unit/BaselineWriterTest.php		category-wrong		medium	02-baseline-inline	real flock, symlinks and a child process in the Unit/ directory
R028	tests/Analysis/Policy/Baseline/Unit/BaselineRoundTripVOTest.php		category-wrong		medium	02-baseline-inline	checks a writer-reader pair (two classes), lives in Unit/
R029	tests/Analysis/Policy/Baseline/Unit/ConfigurationErrorChannelRejectionTest.php		category-wrong		medium	02-baseline-inline	covers five different components with one question — essentially integration, lives in Unit/
R030	tests/Analysis/Policy/Baseline/Integration/MemoryCeilingManifestTest.php		misplaced		low	02-baseline-inline	checks a JSON manifest against benchmarks/composer.lock; the docblock itself calls this a verification command, not a test
R031	tests/Analysis/Policy/Baseline/Integration/ResidualLimitationsCoverageTest.php		misplaced		low	02-baseline-inline	checks the Residual limitations section of ADR 0017 against the index of test methods — documentation state, not src/ behavior
R032	tests/Analysis/Policy/Baseline/Unit/ChannelRenameTsvGateAgreementTest.php		misplaced		low	02-baseline-inline	the SUT is QmxFindingGate\RenameMaps from scripts/finding-gate/, outside the product autoloader
R033	tests/Analysis/Policy/Inline/Unit/ThresholdOverrideIntegrationTest.php		category-wrong		medium	02-baseline-inline	the class name and docblock call the test integration, the file lives in Unit/; 17 cooperating classes
R034	tests/Analysis/Policy/Architecture/Integration/ModularArchitectureGovernanceIntegrationTest.php		misplaced		low	03-architecture-system	tests scripts/generate-modular-architecture*.php and docs/internal/generated — the subject is scripts/, not Architecture
R035	tests/Analysis/Policy/Architecture/Integration/LayerViolationIntegrationTest.php	37	stale-doc		low	03-architecture-system	the docblock claims Controller -> Domain is forbidden by the allow-list, but buildPolicy() (~213-218) allows it
R036	tests/Analysis/Policy/Architecture/Integration/Phase1ConfigCompatibilityTest.php		dupe	tests/Analysis/Policy/Architecture/Integration/LayerViolationIntegrationTest.php	medium	03-architecture-system	the same Sample fixture and the same four-layer allow-list; only the configuration-build path differs, both golden files turn red at once
R037	tests/Analysis/Policy/Architecture/Unit/ArchitectureInternalTopologyTest.php		dupe	tests/Analysis/Policy/Architecture/Integration/DogfoodingTopologyTest.php	medium	03-architecture-system	both read modular-architecture-manifest.json with their own private code — the reading code is duplicated, not the verified fact
R038	tests/Integration/Architecture/MaxExpandedLayersFromYamlTest.php		misplaced		low	03-architecture-system	lives in the legacy role bucket tests/Integration/Architecture instead of tests/Analysis/Policy/Architecture/Integration
R039	tests/TestSupport/ArchitectureStaticAnalysis/Unit/BannedStringPathPromotedPropertyRuleTest.php		other		low	03-architecture-system	namespace Tests\Unit\PhpStan\Rules does not match the file's physical path
R040	tests/TestSupport/ArchitectureStaticAnalysis/Unit/BannedStringPathPropertyRuleTest.php		other		low	03-architecture-system	the same namespace/physical-path mismatch
R041	tests/System/DocumentationConsistency/Integration/DocumentationConsistencyTest.php		other		low	03-architecture-system	itRecognizesPlanningChronologyOnlyInsideComments — a unit test of the file's own private helper inside a control class
R042	tests/Functional/Console/Command/HookInstallCommandTest.php	40	other		medium	04-console	chdir() in setUp() without restoring cwd in tearDown() — process-state leak into later tests
R043	tests/Functional/Console/Command/HookStatusCommandTest.php	32	other		medium	04-console	the same chdir() without restoring cwd
R044	tests/Functional/Console/Command/HookUninstallCommandTest.php	32	other		medium	04-console	the same chdir() without restoring cwd
R045	tests/Infrastructure/Console/Functional/Command/CheckCommandTest.php	137	dupe	tests/Infrastructure/Console/Functional/Command/CheckCommandPathInputTest.php	medium	04-console	itHandlesNonExistentPath (137-152) — the same fixture and the same three assertions as itRejectsNonExistentPath in the specialized file
R046	tests/Infrastructure/Console/Functional/Command/CheckCommandInputValidationTest.php	458	other		low	04-console	a reflection call into the private ResultPresenter::relativizeFailureMessage inside a functional file — a unit case at the wrong level
R047	tests/Infrastructure/Console/Functional/FormatOptionKeyRefusalTest.php		other		low	04-console	itNamesEveryKnownKeyInTheRefusal pins the exact key list — breaks on any new formatter option
R048	tests/Infrastructure/Console/Integration/RuleExclusionStatsWiringTest.php		category-wrong		medium	04-console	a full CLI run via CommandTester lives in Integration/
R049	tests/Infrastructure/Console/Integration/SuppressedFormatWiringTest.php		category-wrong		medium	04-console	a full CLI run via CommandTester lives in Integration/
R050	tests/Infrastructure/Console/Unit/FindingFilterOrchestratorBaselineReportingTest.php		category-wrong		medium	04-console	real FindingProjector/BaselineLoader/SuppressionFilter and file I/O in the Unit/ directory
R051	tests/Infrastructure/Console/Unit/FindingFilterOrchestratorTest.php		category-wrong		medium	04-console	real FindingProjector/BaselineLoader/SuppressionFilter and file I/O in the Unit/ directory
R052	tests/Infrastructure/Console/Unit/ResultPresenterTest.php		category-wrong		medium	04-console	real SummaryEnricher/DebtCalculator/HealthSummaryBuilder plus chmod/mkdir in the Unit/ directory; two SUTs in one file
R053	tests/Infrastructure/Console/Unit/RuntimeConfiguratorTest.php		category-wrong		medium	04-console	real AnalysisRuntimeConfigurator/CacheFactory/ParallelConfigurationStore and a temp directory in Unit/
R054	tests/Infrastructure/Console/Unit/RuntimeConfiguratorTest.php	262	dupe	tests/Infrastructure/Console/Integration/RuntimeConfigurationIsolationTest.php	medium	04-console	both check RuntimeConfigurator state reset and isolation between runs in one process
R055	tests/Infrastructure/Console/Unit/RuleOptionKeyDoorSymmetryTest.php		category-wrong		medium	04-console	a full ContainerFactory+CheckCommand+CommandTester in the Unit/ directory
R056	tests/Infrastructure/Console/Unit/TranslatedRefusalVocabularyTest.php		category-wrong		medium	04-console	a full CLI run of 22 configurations through CheckCommand in the Unit/ directory
R057	tests/Infrastructure/Console/Unit/DrillDownBindingTest.php	250	other		low	04-console	one case reads HealthSummaryBuilder.php's text with a regex for a cross-module constant check
R058	tests/Infrastructure/Console/Unit/ProfileSummaryRendererTest.php		other		low	04-console	does not check rendering of the memory/peak_memory fields even though the fixture carries them — a coverage gap
R059	tests/Infrastructure/Integration/RulesCommandWiringTest.php		misplaced		low	04-console	the SUT is from the Console domain, but the file sits one level above its siblings in tests/Infrastructure/Console/Integration
R060	tests/Functional/Reporting/CoverageProjectionFormatterTest.php		category-wrong		medium	05-reporting	lives in Functional/ but does not run the CLI — builds the DI container directly
R061	tests/Functional/Reporting/JsonShapePreservationTest.php		category-wrong		medium	05-reporting	a plain unit test of four formatters (CoversNothing, no I/O or container) in the Functional/ directory
R062	tests/Reporting/FindingProjection/Unit/ConfigurationErrorProjectionTest.php		category-wrong		medium	05-reporting	a real git repository in a temp directory via Symfony Process, in the Unit/ directory
R063	tests/Reporting/FindingProjection/Unit/FindingProjectorTest.php		category-wrong		medium	05-reporting	some of the 36 methods run git and temp directories — the Unit/ directory is misleading
R064	tests/Reporting/FindingProjection/Unit/ProjectScopedChannelProjectionTest.php		category-wrong		medium	05-reporting	a nested git/tmp setup in the Unit/ directory
R065	tests/Reporting/FindingProjection/Unit/DeclaredChannelFileScopeTest.php		tautology		high	05-reporting	the test's declaredKeys() is built from the same two hardcoded interfaces as DeclaredChannelFileScope::create()
R066	tests/Reporting/Unit/FindingExclusionShapeRefusalTest.php		dupe	tests/Reporting/FindingProjection/Unit/ConfiguredFindingExclusionsResolverTest.php	medium	05-reporting	the same SUT and at least three matching assertions: a bare number as a path, a bare number as a namespace, a map instead of a list
R067	tests/Reporting/Unit/FindingExclusionShapeRefusalTest.php		misplaced		low	05-reporting	lives in the flat tests/Reporting/Unit instead of next to its SUT in FindingProjection
R068	tests/Reporting/Unit/OutputFormatRefusesUnexecutableValuesTest.php		misplaced		low	05-reporting	the SUT lives in src/Reporting/Configuration/, the test in the flat tests/Reporting/Unit
R069	tests/Reporting/Unit/OutputFormatResolverTest.php		misplaced		low	05-reporting	the SUT lives in src/Reporting/Configuration/, the test in the flat tests/Reporting/Unit
R070	tests/Unit/Reporting/Formatter/ArchitectureViolationSmokeTest.php		category-wrong		medium	05-reporting	CoversNothing, a de facto run of about 15 product classes in the Unit/ directory
R071	tests/Unit/Reporting/Formatter/HealthTextFormatterTest.php		misplaced		low	05-reporting	the SUT is in src/Reporting/Formatter/Health/, the test sits flat in Formatter/
R072	tests/Unit/Reporting/Formatter/HtmlFormatterTest.php		misplaced		low	05-reporting	the SUT is in src/Reporting/Formatter/Html/, the test sits flat in Formatter/
R073	tests/Unit/Reporting/Formatter/JsonFormatterTest.php		misplaced		low	05-reporting	the SUT is in src/Reporting/Formatter/Json/, the test sits flat in Formatter/
R074	tests/Unit/Reporting/Formatter/SarifFormatterTest.php		misplaced		low	05-reporting	the SUT is in src/Reporting/Formatter/Sarif/, the test sits flat in Formatter/
R075	tests/Unit/Reporting/Formatter/SummaryFormatterTest.php		misplaced		low	05-reporting	the SUT is in src/Reporting/Formatter/Summary/, the test sits flat in Formatter/
R076	tests/Unit/Reporting/Formatter/Sarif/SarifRuleCollectorTest.php		category-wrong		medium	05-reporting	builds ContainerFactory — de facto integration in the Unit/ directory
R077	tests/Analysis/Evidence/CodeSmell/Integration/NamespaceExclusionOccurrenceTest.php		misplaced		low	06-codesmell-security-complexity	the test's subject is suppress-namespace from Policy/Inline; eval here is only a convenient fixture
R078	tests/Analysis/Evidence/CodeSmell/Integration/PropertyHookControlPrecedenceTest.php		misplaced		low	06-codesmell-security-complexity	CodeSmell is not involved as either SUT or subject — the test is about Run and Policy/Inline
R079	tests/Analysis/Evidence/CodeSmell/Unit/IdenticalSubExpressionCollectorTest.php		name-lies		high	06-codesmell-security-complexity	the file is named after the collector but does not cover it: the collector's real tests live in IdenticalSubExpressionVisitorTest under someone else's CoversClass
R080	tests/Analysis/Evidence/CodeSmell/Unit/IdenticalSubExpressionVisitorTest.php		misplaced		low	06-codesmell-security-complexity	carries four collector tests under someone else's CoversClass — the flip side of the defect in IdenticalSubExpressionCollectorTest
R081	tests/Analysis/Evidence/CodeSmell/Integration/LongParameterListVoPropagationTest.php		dupe	tests/Analysis/Evidence/CodeSmell/Unit/LongParameterListRuleTest.php	medium	06-codesmell-security-complexity	one regression story about isVoConstructor is spread across three files with no cross-references
R082	tests/Analysis/Evidence/CodeSmell/Unit/ParameterCountCollectorTest.php		dupe	tests/Analysis/Evidence/CodeSmell/Unit/LongParameterListRuleTest.php	medium	06-codesmell-security-complexity	the getCallablesWithMetrics() section repeats the same regression story at a third level of depth
R083	tests/Analysis/Evidence/CodeSmell/Integration/CodeSmellLinePrecisionTest.php		dupe	tests/Analysis/Evidence/CodeSmell/Unit/EvalRuleTest.php	medium	06-codesmell-security-complexity	itCreatesASingleFindingWithTheCorrectLineForASingleOccurrence repeats itReportsAnErrorForEachEvalUsage; only the input source differs
R084	tests/Analysis/Evidence/CodeSmell/Unit/DebugCodeDocumentationConsistencyTest.php		misplaced		low	06-codesmell-security-complexity	checks DebugCodeRule::SEVERITY against the text of website/docs/rules/code-smell.md — no product behavior is executed
R085	tests/Analysis/Evidence/CodeSmell/Integration/CodeSmellRuleContractTest.php		other		low	06-codesmell-security-complexity	one file mixes a directory-scan control invariant with a DI-container integration test
R086	tests/Analysis/Evidence/Security/Unit/HardcodedCredentialsVisitorTest.php		dupe	tests/Analysis/Evidence/Security/Unit/CredentialLiteralsTest.php	medium	06-codesmell-security-complexity	about 15 of the 30 provideDetectionCases cases verbatim repeat CredentialLiteralsTest, via the parser instead of hand-built AST nodes
R087	tests/Analysis/Evidence/Security/Unit/SecurityPatternVisitorTest.php		dupe	tests/Analysis/Evidence/Security/Unit/SqlInjectionDetectorTest.php	medium	06-codesmell-security-complexity	30+ scenarios across three providers repeat Sql/Xss/CommandInjectionDetectorTest one-for-one; the only remainder is dispatch logic
R088	tests/Analysis/Evidence/Complexity/Unit/CognitiveComplexityCollectorTest.php		dupe	tests/Analysis/Evidence/Complexity/Unit/CognitiveComplexityVisitorTest.php	medium	06-codesmell-security-complexity	eight named tests literally repeat the provideComplexityCases provider cases with the same snippets and values
R089	tests/Analysis/Evidence/Complexity/Integration/WmcIntegrationTest.php		dupe	tests/Analysis/Evidence/Complexity/Integration/WmcIntegrationTest.php	medium	06-codesmell-security-complexity	three of the four tests check one fact: a class's wmc equals the sum of its methods' ccn
R090	tests/Analysis/Evidence/ComputedMetrics/Health/Unit/DecompositionItemTest.php		tautology		high	07-measurement-computed	a VO constructor check with no logic — an assertion on the value just passed in
R091	tests/Analysis/Evidence/ComputedMetrics/Health/Unit/HealthScoreTest.php		tautology		high	07-measurement-computed	a VO constructor check with no logic
R092	tests/Analysis/Evidence/ComputedMetrics/Health/Unit/HealthDimensionCatalogTest.php		stale-doc		low	07-measurement-computed	dead header comments from a different class; itGetDecompositionKnownDimension checks two different things under one name
R093	tests/Analysis/Evidence/ComputedMetrics/Health/Unit/MetricHintCatalogTest.php		stale-doc		low	07-measurement-computed	dead header comments from a different class
R094	tests/Analysis/Evidence/ComputedMetrics/Health/Unit/WorstOffenderEvidenceTest.php		other		low	07-measurement-computed	CoversClass points at a class with no logic; the actual subject is WorstOffender::fromEvidence()
R095	tests/Analysis/Evidence/ComputedMetrics/Integration/BenchmarkConsumersCoverageTest.php		misplaced		low	07-measurement-computed	checks scripts/benchmark-regression.php and scripts/collect-benchmark-data.php, not ComputedMetrics
R096	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricAnalysisTest.php		other		low	07-measurement-computed	peeks at a private field via Reflection instead of checking observable behavior
R097	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricContributionReaderTest.php		dupe	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricAnalysisTest.php	medium	07-measurement-computed	itPreservesPriorRunDefinitionsWhenALaterContributionIsInvalid repeats itPreservesInstalledDefinitionsWhenResolutionFails
R098	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricRuleOptionsTest.php		dupe	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricRuleOptionsTest.php	medium	07-measurement-computed,identical-bodies	four tests check one fact, 'enabled by default'; the Holder and Populated names do not match the class contents
R099	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricRuleTest.php		other		low	07-measurement-computed	a dead, unused provider dimensionRecommendationProvider(), copied from ComputedMetricFindingBuilderTest
R100	tests/Analysis/Evidence/ComputedMetrics/Unit/ComputedMetricsInternalTopologyTest.php		other		medium	07-measurement-computed	a hand-maintained DAG of 42 edges and five magic numbers duplicates the manifest-based composer architecture:check and needs manual upkeep
R101	tests/Analysis/Evidence/Measurement/Integration/Identity/RatchetKeyGrammarTest.php		other		medium	07-measurement-computed	the key grammar is parsed by the test's own private parser; no product class with the same algorithm was found — a risk of divergence from the real parser
R102	tests/Analysis/Evidence/Measurement/Unit/AnonymousClassContextRegressionTest.php		other		low	07-measurement-computed	namespace Tests\Unit\Metrics does not match the file's directory
R103	tests/Analysis/Evidence/Measurement/Unit/CallableWithMetricsTest.php		other		low	07-measurement-computed	namespace Tests\Unit\Core\Metric does not match the file's directory
R104	tests/Analysis/Evidence/Measurement/Unit/DataBagTest.php		other		low	07-measurement-computed	namespace Tests\Unit\Core\Metric does not match the file's directory
R105	tests/Analysis/Evidence/Measurement/Unit/MetricBagTest.php		other		low	07-measurement-computed	pinning the text of an internal exception instead of behavior; plus a stale namespace
R106	tests/Analysis/Evidence/Measurement/Unit/MetricDefinitionTest.php		other		low	07-measurement-computed	a stale namespace that does not match the directory
R107	tests/Analysis/Evidence/Measurement/Unit/VisitorMethodContextTest.php	38	other		low	07-measurement-computed	itExposesTheExactImmutableCallableScopeContract pins the exact list of property and method names via reflection — a structural snapshot, not behavior
R108	tests/Analysis/Evidence/Measurement/Unit/FileMeasurement/CompositeCollectorTest.php		dupe	tests/Analysis/Evidence/Measurement/Unit/FileMeasurement/DerivedCollectorRunnerTest.php	medium	07-measurement-computed	itThrowsOnCyclicDerivedCollectorDependencies — a third entry point into the same DerivedCollectorRunner cycle detector
R109	tests/Analysis/Evidence/Measurement/Unit/FileMeasurement/DerivedCollectorSortTest.php		dupe	tests/Analysis/Evidence/Measurement/Unit/FileMeasurement/DerivedCollectorRunnerTest.php	medium	07-measurement-computed	the cycle and topological order repeat DerivedCollectorRunnerTest; only the fact about independence from registration order is distinct
R110	tests/Analysis/Evidence/Measurement/Unit/Aggregation/MeasurementAggregationServiceTest.php		dupe	tests/Analysis/Evidence/Measurement/Unit/Aggregation/MeasurementAggregationServiceTest.php	medium	07-measurement-computed	itRunsEveryConfiguredCollector and itRunsIndependentCollectorsInAnyOrder check the same fact through different mock scaffolding
R111	tests/Analysis/Evidence/Prioritization/Unit/Debt/DebtSummaryTest.php		dupe	tests/Analysis/Evidence/Prioritization/Unit/Debt/DebtSummaryTest.php	medium	07-measurement-computed	itFormatsTotalByDelegatingToFormatMinutes and itFormatsTotalAsZeroMinutes repeat the itFormatsMinutesStatically provider cases
R112	tests/Analysis/Evidence/Prioritization/Unit/Debt/DebtCalculatorTest.php		other		low	07-measurement-computed	pinning the text of an internal exception instead of behavior
R113	tests/Analysis/Evidence/Prioritization/Unit/Debt/RemediationTimeRegistryTest.php		other		low	07-measurement-computed	the same pinning of an identical message template on a second call path
R114	tests/Analysis/Evidence/CircularDependency/Unit/CircularDependencyRuleTest.php	100	dupe	tests/Analysis/Evidence/CircularDependency/Unit/CycleIdentityStabilityTest.php	medium	08-evidence-rest	one guarantee, 'permuting cycle members does not change identity', is checked at two levels
R115	tests/Analysis/Evidence/CircularDependency/Unit/CycleIdentityStabilityTest.php		category-wrong		medium	08-evidence-rest	an end-to-end detector+rule run over real graphs lives in the Unit/ directory
R116	tests/Analysis/Evidence/CircularDependency/Unit/CycleTest.php		dupe	tests/Analysis/Evidence/CircularDependency/Unit/CycleMemberLabelsTest.php	medium	08-evidence-rest	cycle-member name disambiguation is checked twice — directly and via delegation to Cycle::toShortString()
R117	tests/Analysis/Evidence/Cohesion/Unit/LcomCollectorTest.php	636	dupe	tests/Analysis/Evidence/Cohesion/Unit/LcomCollectorTest.php	medium	08-evidence-rest	itDoesNotInflateLcomWithStaticMethod (636) repeats itExcludesStaticMethodsFromLcom (601); the same pair for abstract — 768 and 733
R118	tests/Analysis/Evidence/Cohesion/Unit/LcomCollectorTest.php		category-wrong		medium	08-evidence-rest	a real php-parser pipeline (collector, visitor, ClassData) lives in the Unit/ directory
R119	tests/Analysis/Evidence/Cohesion/Unit/TccLccCollectorTest.php	694	dupe	tests/Analysis/Evidence/Cohesion/Unit/TccLccCollectorTest.php	medium	08-evidence-rest	itPreventsStaticMethodsFromInflatingTccLcc (694) repeats itExcludesStaticMethodsFromTccLcc (657)
R120	tests/Analysis/Evidence/Cohesion/Unit/TccLccCollectorTest.php		category-wrong		medium	08-evidence-rest	a real php-parser pipeline lives in the Unit/ directory
R121	tests/Analysis/Evidence/Coupling/Unit/UnmatchedFrameworkNamespaceRuleTest.php	161	other		medium	08-evidence-rest	itPinsTheNumberOfClassificationSitesTheUniverseMirrors (161-172) reads CouplingCollector.php as text and counts occurrences with a regex — a control pattern inside a unit file
R122	tests/Analysis/Evidence/Coupling/Unit/NamespaceInstabilityOptionsTest.php	24	tautology		high	08-evidence-rest	itIsEnabledWhenTheEnabledFlagIsTrue sets enabled=true and checks isEnabled()===true
R123	tests/Analysis/Evidence/Coupling/Unit/NamespaceCboOptionsTest.php		dupe	tests/Analysis/Evidence/Coupling/Unit/CboRuleTest.php	medium	08-evidence-rest	the only test for the default, while real fromArray coverage is already given by CboRuleTest through the same class
R124	tests/Analysis/Evidence/Coupling/Unit/RfcCollectorTest.php		dupe	tests/Analysis/Evidence/Coupling/Unit/RfcVisitorTest.php	medium	08-evidence-rest	almost entirely repeats RfcVisitorTest's scenarios, adding only the collect() wrapper and the metric names in MetricBag
R125	tests/Analysis/Evidence/DependencyModel/Unit/DependencyGraphBuilderTest.php		dupe	tests/Analysis/Evidence/DependencyModel/Unit/DependencyGraphTest.php	medium	08-evidence-rest	Ce/Ca deduplication and builtin-class filtering are checked in both files on semantically equivalent fixtures
R126	tests/Analysis/Evidence/DependencyModel/Unit/DependencyTest.php	171	tautology		high	08-evidence-rest	itDependencyIsReadonly — assertInstanceOf on the object just created; readonly is not verified by a runtime assertion
R127	tests/Analysis/Evidence/DependencyModel/Unit/EmptyDependencyGraphTest.php		tautology		high	08-evidence-rest	itMultipleCallsReturnConsistentResults and itDifferentInstancesReturnSameResults follow trivially from the file's other tests
R128	tests/Analysis/Evidence/DependencyModel/Unit/Extraction/DependencyVisitorTest.php	723	dupe	tests/Analysis/Evidence/DependencyModel/Unit/Extraction/DependencyVisitorTest.php	medium	08-evidence-rest	itClearsResolverAndDependencyStateWhenBeginningASecondFile (723) repeats itResetsDependenciesAndImportsWhenReusedForAnotherFile (462)
R129	tests/Analysis/Evidence/Design/Unit/TypeCoverage/TypeCoverageRuleTest.php	143	never-runs		high	08-evidence-rest,untested-methods	itAliasesItsOwnTwoBoundariesOnly is declared without #[Test] and #[DataProvider] — PHPUnit never calls it, so the three-rule CLI-alias contract is not verified (re-checked by reading the file)
R130	tests/Analysis/Evidence/Design/Unit/TypeCoverage/TypeCoverageScaleTest.php		dupe	tests/Analysis/Evidence/Design/Unit/TypeCoverage/TypeCoverageCollectorTest.php	medium	08-evidence-rest	the same value-assertion pairs (100.0, 50.0, 66.67, 0.0) on the same SUT; only assertGreaterThan(1.0, ...) is new
R131	tests/Analysis/Evidence/Duplication/Unit/DuplicationDetectorTest.php		category-wrong		medium	08-evidence-rest	real temp files and the detector's full pipeline in the Unit/ directory
R132	tests/Analysis/Evidence/Duplication/Unit/DuplicationMemoryLimitProcessTest.php		category-wrong		medium	08-evidence-rest	proc_open of a real PHP process and a real CLI in the Unit/ directory
R133	tests/Analysis/Configuration/Integration/ConfigSchemaCoverageTest.php		category-wrong		medium	09-configuration-run-vocabulary	lives in Integration/ but does no I/O and builds no container
R134	tests/Analysis/Configuration/Integration/Loader/YamlNormalizationCharacterizationTest.php		dupe	tests/Analysis/Configuration/Unit/Loader/YamlConfigLoaderTest.php	medium	09-configuration-run-vocabulary	cases over the same root keys almost literally repeat YamlConfigLoaderTest
R135	tests/Analysis/Configuration/Integration/YamlKeyReachabilityTest.php		dupe	tests/Analysis/Configuration/Unit/Loader/YamlConfigLoaderTest.php	medium	09-configuration-run-vocabulary	a third set of nearly identical assertions about the same YamlConfigLoader behavior
R136	tests/Analysis/Configuration/Unit/DeadConfigurationKeysTest.php		dupe	tests/Analysis/Configuration/Unit/Loader/YamlConfigLoaderTest.php	medium	09-configuration-run-vocabulary	the refusal for a removed namespace root is checked in both files with the same assertion
