# INTERACTING RULE-OPTION KEY PAIRS
# The counting unit is producer rule name, not options class, because one class may serve several rules and threshold groups are keyed by rule name. Pairs are unordered and deduplicated within producer and kind.
# Keys come from the live rule registry and both halves of RuleOptionKeySet; hierarchical level slots are included. Interaction kind records explicit groups, heuristic threshold groups, flat-versus-level conflicts, and framework-owned relationships.
# The inventory contains 465 rows across 54 producers. It records key interaction, not runtime reachability or value precedence.
# Columns: kind, rule, options class, path or slot, key A, key B, interaction, source.
#
rule	options_class	path	key_a	key_b	kind	interaction	evidence
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	class	class.error	class.warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","class") group#0
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	class	class.threshold	class.warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","class") group#0
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","") group#0
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","") group#0
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	namespace	namespace.error	namespace.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","namespace") group#0
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	namespace	namespace.error	namespace.warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","namespace") group#0
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	namespace	namespace.threshold	namespace.warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","namespace") group#0
coupling.cbo	Qualimetrix\Analysis\Evidence\Coupling\CboOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.cbo","") group#0
coupling.class-rank	Qualimetrix\Analysis\Evidence\Coupling\ClassRankOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.class-rank","") group#0
coupling.class-rank	Qualimetrix\Analysis\Evidence\Coupling\ClassRankOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.class-rank","") group#0
coupling.class-rank	Qualimetrix\Analysis\Evidence\Coupling\ClassRankOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.class-rank","") group#0
coupling.distance	Qualimetrix\Analysis\Evidence\Coupling\DistanceOptions	(top)	max-distance-error	max-distance-warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.distance","") group#0
coupling.distance	Qualimetrix\Analysis\Evidence\Coupling\DistanceOptions	(top)	max-distance-error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.distance","") group#0
coupling.distance	Qualimetrix\Analysis\Evidence\Coupling\DistanceOptions	(top)	max-distance-warning	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.distance","") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	class	class.max-error	class.max-warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","class") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	class	class.max-error	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","class") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	class	class.max-warning	class.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","class") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	(top)	max-error	max-warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	(top)	max-error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	(top)	max-warning	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	namespace	namespace.max-error	namespace.max-warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","namespace") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	namespace	namespace.max-error	namespace.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","namespace") group#0
coupling.instability	Qualimetrix\Analysis\Evidence\Coupling\InstabilityOptions	namespace	namespace.max-warning	namespace.threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("coupling.instability","namespace") group#0
design.dit	Qualimetrix\Analysis\Evidence\Design\Inheritance\InheritanceOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.dit","") group#0
design.dit	Qualimetrix\Analysis\Evidence\Design\Inheritance\InheritanceOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("design.dit","") group#0
design.dit	Qualimetrix\Analysis\Evidence\Design\Inheritance\InheritanceOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.dit","") group#0
design.noc	Qualimetrix\Analysis\Evidence\Design\Inheritance\NocOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.noc","") group#0
design.noc	Qualimetrix\Analysis\Evidence\Design\Inheritance\NocOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("design.noc","") group#0
design.noc	Qualimetrix\Analysis\Evidence\Design\Inheritance\NocOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.noc","") group#0
design.type-coverage.param	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.param","") group#0
design.type-coverage.param	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.param","") group#0
design.type-coverage.param	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.param","") group#0
design.type-coverage.property	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.property","") group#0
design.type-coverage.property	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.property","") group#0
design.type-coverage.property	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.property","") group#0
design.type-coverage.return	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.return","") group#0
design.type-coverage.return	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.return","") group#0
design.type-coverage.return	Qualimetrix\Analysis\Evidence\Design\TypeCoverage\TypeCoverageOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("design.type-coverage.return","") group#0
duplication.clone	Qualimetrix\Analysis\Evidence\Duplication\CodeDuplicationOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("duplication.clone","") group#0
duplication.clone	Qualimetrix\Analysis\Evidence\Duplication\CodeDuplicationOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("duplication.clone","") group#0
duplication.clone	Qualimetrix\Analysis\Evidence\Duplication\CodeDuplicationOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("duplication.clone","") group#0
maintainability.mi	Qualimetrix\Analysis\Evidence\Maintainability\MaintainabilityOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("maintainability.mi","") group#0
maintainability.mi	Qualimetrix\Analysis\Evidence\Maintainability\MaintainabilityOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("maintainability.mi","") group#0
maintainability.mi	Qualimetrix\Analysis\Evidence\Maintainability\MaintainabilityOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("maintainability.mi","") group#0
size.class-count	Qualimetrix\Analysis\Evidence\Size\ClassCountOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("size.class-count","") group#0
size.class-count	Qualimetrix\Analysis\Evidence\Size\ClassCountOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("size.class-count","") group#0
size.class-count	Qualimetrix\Analysis\Evidence\Size\ClassCountOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("size.class-count","") group#0
size.method-count	Qualimetrix\Analysis\Evidence\Size\MethodCountOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("size.method-count","") group#0
size.method-count	Qualimetrix\Analysis\Evidence\Size\MethodCountOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("size.method-count","") group#0
size.method-count	Qualimetrix\Analysis\Evidence\Size\MethodCountOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("size.method-count","") group#0
size.property-count	Qualimetrix\Analysis\Evidence\Size\PropertyCountOptions	(top)	error	threshold	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("size.property-count","") group#0
size.property-count	Qualimetrix\Analysis\Evidence\Size\PropertyCountOptions	(top)	error	warning	1-threshold-group-declared	compose within one group (warning+error pair)	RuleThresholdKeyGroupRegistry::groupsFor("size.property-count","") group#0
size.property-count	Qualimetrix\Analysis\Evidence\Size\PropertyCountOptions	(top)	threshold	warning	1-threshold-group-declared	mutually exclusive within one source (ThresholdParser guard); across sources the higher layer evicts the lower (evictUsingDeclaredGroups)	RuleThresholdKeyGroupRegistry::groupsFor("size.property-count","") group#0
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	(top)|callable	callable.enabled	enabled	2-same-name-top-vs-level	the same word written at two depths	normalized intersection of acceptedOptionKeys()+answeredByTheClass at top and at slot "callable"
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	(top)|callable	callable.threshold	threshold	2-same-name-top-vs-level	the same word written at two depths	normalized intersection of acceptedOptionKeys()+answeredByTheClass at top and at slot "callable"
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	(top)|class	class.enabled	enabled	2-same-name-top-vs-level	the same word written at two depths	normalized intersection of acceptedOptionKeys()+answeredByTheClass at top and at slot "class"
complexity.ccn	Qualimetrix\Analysis\Evidence\Complexity\ComplexityOptions	(top)|class	class.threshold	threshold	2-same-name-top-vs-level	the same word written at two depths	normalized intersection of acceptedOptionKeys()+answeredByTheClass at top and at slot "class"
complexity.cognitive	Qualimetrix\Analysis\Evidence\Complexity\CognitiveComplexityOptions	(top)|callable	callable.enabled	enabled	2-same-name-top-vs-level	the same word written at two depths	normalized intersection of acceptedOptionKeys()+answeredByTheClass at top and at slot "callable"
