# FORM-DECIDING CONFIGURATION SITES
# One row per physical source line that decides the shape of a user-supplied configuration value. Consecutive mechanisms on one line remain one row in execution order.
# The inventory follows input doors to consumers and includes option classes, configuration roots, inline directives, CLI adapters, composer input, and architecture sub-schemas.
# Scope contains 455 sites in 84 files: 447 USER_INPUT and 8 MEASURED_VALUE. Of the 440 sites outside RuleOptionsFactory, 205 are within the rule-option declaration boundary and 235 are explicit exclusions.
# Blind spots: PHP numeric widening, values inside computed-metric formulas, baseline documents, multi-line casts, Symfony Console parsing, and unnamed-key sites that require the companion resolution table.
# Reachability is explicit: typed withOverride inputs and empty-config branches may be unreachable through the factory even though direct calls can reach them.
# Columns: file, line, class, method, key, kind, input_kind, on_mismatch, reachable, in_factory, exception_candidate, reason, snippet.
#
file	line	class	method	key	kind	on_mismatch	value	door	in_factory	exception_candidate	snippet
src/Analysis/Configuration/Discovery/ComposerReader.php	191	ComposerReader	collectPsr4Roots	любой	подстановка дефолта+сужение домена	молча дефолт	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if ($normalized !== '' && !\in_array($normalized, $roots[$prefix] ?? [], true)) {
src/Analysis/Configuration/Discovery/ComposerReader.php	206	ComposerReader	normalizePaths	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if (\is_string($pathOrPaths)) {
src/Analysis/Configuration/Discovery/ComposerReader.php	210	ComposerReader	normalizePaths	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if (!\is_array($pathOrPaths)) {
src/Analysis/Configuration/Discovery/ComposerReader.php	216	ComposerReader	normalizePaths	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	composer	no	composer.json — чужой документ, форму задаёт Composer, не qmx-схема	if (\is_string($path)) {
src/Analysis/Configuration/Loader/YamlConfigLoader.php	45	YamlConfigLoader	load	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	if (!\is_array($content)) {
src/Analysis/Configuration/Loader/YamlConfigLoader.php	46			весь документ	проверка is_*	молча дефолт (пустой конфиг)	USER_INPUT	yaml	no	дверь документа: форма решается до того, как значение станет вкладом	if ($content === null) {   // пустой файл -> []
src/Analysis/Configuration/Loader/YamlConfigLoader.php	265	YamlConfigLoader	validateRulesSection	ConfigSchema::RULES,RULES	проверка is_*	отказ	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	if (!\is_array($config[ConfigSchema::RULES])) {
src/Analysis/Configuration/Loader/YamlConfigLoader.php	276	YamlConfigLoader	validateRulesSection	RULES (унаследован из этого же метода)	проверка is_*	отказ	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	if (!\is_array($ruleConfig) && !\is_bool($ruleConfig) && $ruleConfig !== null) {
src/Analysis/Configuration/Loader/YamlConfigLoader.php	278	YamlConfigLoader	validateRulesSection	RULES (унаследован из этого же метода)	cast	отказ	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	$ruleNameString = (string) $ruleName;
src/Analysis/Configuration/Loader/YamlConfigLoader.php	304	YamlConfigLoader	validateTypeConstraints	section	проверка is_*	отказ	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	if (!\is_array($config[$section])) {
src/Analysis/Configuration/Loader/YamlConfigLoader.php	316	YamlConfigLoader	validateTypeConstraints	field	проверка is_*	отказ	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	if (isset($config[$field]) && !\is_array($config[$field])) {
src/Analysis/Configuration/Loader/YamlConfigLoader.php	337	YamlConfigLoader	validateSectionSubKeys	section	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	if (!isset($config[$section]) || !\is_array($config[$section])) {
src/Analysis/Configuration/Loader/YamlConfigLoader.php	401			любой ENTRIES-ключ	подстановка дефолта	молча дефолт	USER_INPUT	yaml	no	дверь документа: форма решается до того, как значение станет вкладом	if ($value === null) {   // null пропускает проверку типа
src/Analysis/Configuration/Loader/YamlConfigLoader.php	405			любой ENTRIES-ключ со scalarType	проверка is_*	отказ	USER_INPUT	yaml	no	дверь документа: форма решается до того, как значение станет вкладом	if (ConfigSchema::matchesScalarType($value, $scalarType)) {   // ConfigSchema::matchesScalarType
src/Analysis/Configuration/Loader/YamlConfigLoader.php	432	YamlConfigLoader	resolveNormalizedValue	section	проверка is_*+подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	return \is_array($config[$section] ?? null) ? ($config[$section][$key] ?? null) : null;
src/Analysis/Configuration/Loader/YamlConfigLoader.php	435	YamlConfigLoader	resolveNormalizedValue	sourcePath	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	return $config[$sourcePath] ?? null;
src/Analysis/Configuration/Pipeline/ConfigDataNormalizer.php	37			любой ENTRIES-ключ	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset	no	дверь документа: форма решается до того, как значение станет вкладом	if ($value !== null) {   // null-значение выбрасывается из слоя
src/Analysis/Configuration/Pipeline/ConfigDataNormalizer.php	43			любой DOCUMENT_ROOTS-ключ	страж присутствия	проходит как есть	USER_INPUT	yaml|preset	no	дверь документа: форма решается до того, как значение станет вкладом	if (\array_key_exists($root, $data)) {   // array_key_exists: null СОХРАНЯЕТСЯ, в отличие от :37
src/Analysis/Configuration/Pipeline/ConfigDataNormalizer.php	68	ConfigDataNormalizer	resolve	любой	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	дверь документа: форма решается до того, как значение станет вкладом	return $data[$sourcePath] ?? null;
src/Analysis/Evidence/CircularDependency/CircularDependencyOptions.php	34	CircularDependencyOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/CircularDependency/CircularDependencyOptions.php	35	CircularDependencyOptions	fromArray	maxCycleSize,max_cycle_size	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	maxCycleSize: (int) ($config['max_cycle_size'] ?? $config['maxCycleSize'] ?? 0),
src/Analysis/Evidence/CircularDependency/CircularDependencyOptions.php	36	CircularDependencyOptions	fromArray	directAsError,direct_as_error	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	directAsError: (bool) ($config['direct_as_error'] ?? $config['directAsError'] ?? true),
src/Analysis/Evidence/CircularDependency/CircularDependencyOptions.php	54	CircularDependencyOptions	getSeverity	любой	cast	молча приведение	MEASURED_VALUE	yaml|preset|cli	no	не предмет: приводится ИЗМЕРЕННАЯ величина метрики	$cycleSize = (int) $value;
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	42	BooleanArgumentOptions	fromArray	allowedPrefixes,allowed_prefixes	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	-	$raw = $config['allowedPrefixes'] ?? $config['allowed_prefixes'] ?? null;
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	45	BooleanArgumentOptions	fromArray	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	-	if (\is_string($raw)) {
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	47	BooleanArgumentOptions	fromArray	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	-	} elseif (\is_array($raw)) {
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	48	BooleanArgumentOptions	fromArray	любой	фильтр	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	-	$prefixes = array_values(array_filter($raw, 'is_string'));
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	51	BooleanArgumentOptions	fromArray	flagPromotedProperties,flag_promoted_properties	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	-	$flagPromotedProperties = $config['flagPromotedProperties'] ?? $config['flag_promoted_properties'] ?? false;
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	54	BooleanArgumentOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	56	BooleanArgumentOptions	fromArray	flagPromotedProperties	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	flagPromotedProperties: (bool) $flagPromotedProperties,
src/Analysis/Evidence/CodeSmell/BooleanArgumentOptions.php	94	BooleanArgumentOptions	isAllowedPrefix	любой	подстановка дефолта	молча дефолт	MEASURED_VALUE	yaml|preset|cli	no	не предмет: приводится ИЗМЕРЕННАЯ величина метрики	$next = $name[$len] ?? '';
src/Analysis/Evidence/CodeSmell/CodeSmellOptions.php	29	CodeSmellOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	39	ConstructorOverinjectionOptions	fromArray	корень правила	подстановка дефолта	молча ВЫКЛЮЧАЕТ правило (через фабрику НЕДОСТИЖИМО)	USER_INPUT	yaml|preset|cli	no	-	if ($config === []) {   -> return new self(enabled: false);   // через RuleOptionsFactory недостижимо: :124 подставляет непустые $defaults; достижимо лишь прямым fromArray([]) или при конструкторе без параметров
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	46	ConstructorOverinjectionOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	47	ConstructorOverinjectionOptions	fromArray	warning	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	warning: (int) $thresholds['warning'],
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	48	ConstructorOverinjectionOptions	fromArray	error	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	error: (int) $thresholds['error'],
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	70	ConstructorOverinjectionOptions	withOverride	@qmx-threshold warning/error	типизированный параметр	падение (TypeError) — НЕДОСТИЖИМО	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	public function withOverride(int|float|null $warning, int|float|null $error): static
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	74	ConstructorOverinjectionOptions	withOverride	warning	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	warning: $warning !== null ? (int) $warning : $this->warning,
src/Analysis/Evidence/CodeSmell/ConstructorOverinjectionOptions.php	75	ConstructorOverinjectionOptions	withOverride	error	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	error: $error !== null ? (int) $error : $this->error,
src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php	33	ErrorSuppressionOptions	fromArray	allowedFunctions,allowed_functions	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	-	$raw = $config['allowedFunctions'] ?? $config['allowed_functions'] ?? [];
src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php	36	ErrorSuppressionOptions	fromArray	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	-	if (\is_string($raw)) {
src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php	38	ErrorSuppressionOptions	fromArray	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	-	} elseif (\is_array($raw)) {
src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php	39	ErrorSuppressionOptions	fromArray	любой	фильтр	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	-	$functions = array_map('strtolower', array_values(array_filter($raw, 'is_string')));
src/Analysis/Evidence/CodeSmell/ErrorSuppressionOptions.php	43	ErrorSuppressionOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/CodeSmell/IdenticalSubExpressionOptions.php	27	IdenticalSubExpressionOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	56	LongParameterListOptions	fromArray	корень правила	подстановка дефолта	молча ВЫКЛЮЧАЕТ правило (через фабрику НЕДОСТИЖИМО)	USER_INPUT	yaml|preset|cli	no	-	if ($config === []) {   -> return new self(enabled: false);   // через RuleOptionsFactory недостижимо: :124 подставляет непустые $defaults; достижимо лишь прямым fromArray([]) или при конструкторе без параметров
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	72	LongParameterListOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	73	LongParameterListOptions	fromArray	warning	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	warning: (int) $thresholds['warning'],
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	74	LongParameterListOptions	fromArray	error	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	error: (int) $thresholds['error'],
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	75	LongParameterListOptions	fromArray	voWarning	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	voWarning: (int) $voThresholds['warning'],
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	76	LongParameterListOptions	fromArray	voError	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	voError: (int) $voThresholds['error'],
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	114	LongParameterListOptions	withOverride	@qmx-threshold warning/error	типизированный параметр	падение (TypeError) — НЕДОСТИЖИМО	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	public function withOverride(int|float|null $warning, int|float|null $error): static
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	118	LongParameterListOptions	withOverride	warning	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	warning: $warning !== null ? (int) $warning : $this->warning,
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	119	LongParameterListOptions	withOverride	error	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	error: $error !== null ? (int) $error : $this->error,
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	138	LongParameterListOptions	withVoOverride	voWarning	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	voWarning: $warning !== null ? (int) $warning : $this->voWarning,
src/Analysis/Evidence/CodeSmell/LongParameterListOptions.php	139	LongParameterListOptions	withVoOverride	voError	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	voError: $error !== null ? (int) $error : $this->voError,
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	37	UnreachableCodeOptions	fromArray	корень правила	подстановка дефолта	молча ВЫКЛЮЧАЕТ правило (через фабрику НЕДОСТИЖИМО)	USER_INPUT	yaml|preset|cli	no	-	if ($config === []) {   -> return new self(enabled: false);   // через RuleOptionsFactory недостижимо: :124 подставляет непустые $defaults; достижимо лишь прямым fromArray([]) или при конструкторе без параметров
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	44	UnreachableCodeOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	45	UnreachableCodeOptions	fromArray	warning	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	warning: (int) $thresholds['warning'],
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	46	UnreachableCodeOptions	fromArray	error	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	error: (int) $thresholds['error'],
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	68	UnreachableCodeOptions	withOverride	@qmx-threshold warning/error	типизированный параметр	падение (TypeError) — НЕДОСТИЖИМО	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	public function withOverride(int|float|null $warning, int|float|null $error): static
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	72	UnreachableCodeOptions	withOverride	warning	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	warning: $warning !== null ? (int) $warning : $this->warning,
src/Analysis/Evidence/CodeSmell/UnreachableCodeOptions.php	73	UnreachableCodeOptions	withOverride	error	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	error: $error !== null ? (int) $error : $this->error,
src/Analysis/Evidence/CodeSmell/UnusedPrivateOptions.php	24	UnusedPrivateOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/Cohesion/Configuration/LcomCollectionConfigurationResolver.php	16	LcomCollectionConfigurationResolver	resolve	cohesion.lcom	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	корень вне rules: у фабрики опций правил нет над ним власти	$value = $options['cohesion.lcom']['exclude_methods'] ?? $options['cohesion.lcom']['excludeMethods'] ?? [];
src/Analysis/Evidence/Cohesion/Configuration/LcomCollectionConfigurationResolver.php	17	LcomCollectionConfigurationResolver	resolve	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	корень вне rules: у фабрики опций правил нет над ним власти	$methods = \is_string($value) ? array_map('trim', explode(',', $value)) : (\is_array($value) ? array_values($value) : []);
src/Analysis/Evidence/Cohesion/Configuration/LcomCollectionConfigurationResolver.php	19	LcomCollectionConfigurationResolver	resolve	любой	проверка is_*+фильтр	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	корень вне rules: у фабрики опций правил нет над ним власти	return new LcomCollectionConfiguration(array_values(array_filter($methods, is_string(...))));
src/Analysis/Evidence/Cohesion/LcomOptions.php	46	LcomOptions	fromArray	корень правила	подстановка дефолта	молча ВЫКЛЮЧАЕТ правило (через фабрику НЕДОСТИЖИМО)	USER_INPUT	yaml|preset|cli	no	-	if ($config === []) {   -> return new self(enabled: false);   // через RuleOptionsFactory недостижимо: :124 подставляет непустые $defaults; достижимо лишь прямым fromArray([]) или при конструкторе без параметров
src/Analysis/Evidence/Cohesion/LcomOptions.php	53	LcomOptions	fromArray	exclude_methods,excludeMethods	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	-	$excludeKey = $config['exclude_methods'] ?? $config['excludeMethods'] ?? null;
src/Analysis/Evidence/Cohesion/LcomOptions.php	55	LcomOptions	fromArray	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	-	if (\is_string($excludeKey)) {
src/Analysis/Evidence/Cohesion/LcomOptions.php	60	LcomOptions	fromArray	любой	проверка is_*	молча дефолт/отбрасывание	USER_INPUT	yaml|preset|cli	no	-	} elseif (\is_array($excludeKey)) {
src/Analysis/Evidence/Cohesion/LcomOptions.php	65	LcomOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/Cohesion/LcomOptions.php	66	LcomOptions	fromArray	warning	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	warning: (int) $thresholds['warning'],
src/Analysis/Evidence/Cohesion/LcomOptions.php	67	LcomOptions	fromArray	error	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	error: (int) $thresholds['error'],
src/Analysis/Evidence/Cohesion/LcomOptions.php	68	LcomOptions	fromArray	excludeReadonly,exclude_readonly	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	excludeReadonly: (bool) ($config['exclude_readonly'] ?? $config['excludeReadonly'] ?? true),
src/Analysis/Evidence/Cohesion/LcomOptions.php	69	LcomOptions	fromArray	minMethods,min_methods	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	minMethods: (int) ($config['min_methods'] ?? $config['minMethods'] ?? 3),
src/Analysis/Evidence/Cohesion/LcomOptions.php	97	LcomOptions	withOverride	@qmx-threshold warning/error	типизированный параметр	падение (TypeError) — НЕДОСТИЖИМО	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	public function withOverride(int|float|null $warning, int|float|null $error): static
src/Analysis/Evidence/Cohesion/LcomOptions.php	101	LcomOptions	withOverride	warning	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	warning: $warning !== null ? (int) $warning : $this->warning,
src/Analysis/Evidence/Cohesion/LcomOptions.php	102	LcomOptions	withOverride	error	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	error: $error !== null ? (int) $error : $this->error,
src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	38	ClassCognitiveComplexityOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	39	ClassCognitiveComplexityOptions	fromArray	maxWarning,warning	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	maxWarning: (int) $thresholds['warning'],
src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	40	ClassCognitiveComplexityOptions	fromArray	maxError,error	cast	молча приведение	USER_INPUT	yaml|preset|cli	no	-	maxError: (int) $thresholds['error'],
src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	62	ClassCognitiveComplexityOptions	withOverride	@qmx-threshold warning/error	типизированный параметр	падение (TypeError) — НЕДОСТИЖИМО	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	public function withOverride(int|float|null $warning, int|float|null $error): static
src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	66	ClassCognitiveComplexityOptions	withOverride	maxWarning	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	maxWarning: $warning !== null ? (int) $warning : $this->maxWarning,
src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	67	ClassCognitiveComplexityOptions	withOverride	maxError	cast	молча приведение	USER_INPUT	inline	no	иная грамматика (docblock), свой словарь диагностик; фабрика опций её не видит	maxError: $error !== null ? (int) $error : $this->maxError,
src/Analysis/Evidence/Complexity/ClassComplexityOptions.php	36	ClassComplexityOptions	fromArray	корень правила	подстановка дефолта	молча дефолт	USER_INPUT	yaml|preset|cli	no	-	if ($config === []) {   -> return new self();   // через RuleOptionsFactory недостижимо: :124 подставляет непустые $defaults; достижимо лишь прямым fromArray([]) или при конструкторе без параметров
src/Analysis/Evidence/Complexity/ClassComplexityOptions.php	43	ClassComplexityOptions	fromArray	enabled,ENABLED	cast+подстановка дефолта	молча приведение	USER_INPUT	yaml|preset|cli	no	-	enabled: (bool) ($config[RuleOptionKey::ENABLED] ?? true),
