# NON-RULE CONFIGURATION PATH INVENTORY
# Enumerates configuration positions outside rules: from ConfigSchema, closed-subtree probes, and check-command CLI doors.
# Unknown-key refusal makes a subtree ENUMERATED; silence leaves it UNENUMERATED. This measures accepted shape, not downstream effect.
# Probes cover nesting to depth four and the check command only. Presets share the YAML loader; composer.json path injection is not measured.
# Normalization policy belongs to the root. List element shape is recorded separately from container shape.
# Columns: path, YAML spelling, door, CLI option, owner, shape declaration, closed probe, element shape, normalization policy, status, removed confounder, note.
#
path	yaml_spelling	door	cli_option	owner	shape_decl	closed_probe	element_shape	policy	status	dropped_invariant	note
cache.enabled	cache: {enabled: …}	both (CLI только false)	--no-cache	Infrastructure\Cache\CacheConfigurationResolver	ConfigSchema::ENTRIES scalarType=boolean	—	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	CLI-дверь односторонняя: флаг умеет только false, «включить» с CLI нельзя
parallel	parallel	yaml (корень)	—	Infrastructure\Parallel\Configuration\ParallelConfigurationResolver	ConfigSchema::allowedSectionSubKeys() = workers	ОТКАЗ: «Unknown key in "parallel" section: "bogus". Allowed keys: workers»	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	--workers снимался	
parallel.workers	parallel: {workers: …}	both	--workers	Infrastructure\Parallel\Configuration\ParallelConfigurationResolver	ConfigSchema::ENTRIES scalarType=integer + ParallelConfigurationResolver.php:22 (>=0)	—	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	--workers снимался	РАЗНАЯ валидация: CLI кастует (int) и имеет ВТОРОЙ, рамочный валидатор RuleInputValidator.php:250, до которого -1 не доживает; YAML отвергает "3" как строку, CLI её принял бы
coupling	coupling	yaml	—	Analysis\Evidence\Coupling\CouplingAnalysis	ConfigSchema::allowedSectionSubKeys() = framework_namespaces	ОТКАЗ: «Unknown key in "coupling" section: "bogus". Allowed keys: framework_namespaces»	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	корень одновременно sectionKey и DOCUMENT_ROOT
coupling.framework_namespaces	coupling: {framework_namespaces: […]}	yaml	—	Analysis\Evidence\Coupling\CouplingAnalysis	ConfigSchema::ENTRIES (без типа) + CouplingAnalysis.php:71	—	ОБЪЯВЛЕНА: [1]/[~]/[{a:x}] → exit 3 «coupling.framework_namespaces entries must be strings.» (БЕЗ рамки)	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	
include_generated	include_generated	both (CLI только true)	--include-generated	Analysis\Run\Configuration\RunConfigurationResolver	ConfigSchema::ENTRIES scalarType=boolean	—	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	CLI-дверь односторонняя
memory_limit	memory_limit	both	--memory-limit	Infrastructure\Console\RuntimeLimits	ConfigSchema::ENTRIES scalarType=string + разбор размера в RuntimeLimits	значение bogus отказывает рамочно	н/п	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	--memory-limit= молча отбрасывается put()
architecture	architecture	yaml	—	Analysis\Policy\Architecture\Configuration\ArchitectureConfigurationFactory	ArchitectureConfigurationFactory.php:63 ALLOWED_TOP_LEVEL_KEYS	ОТКАЗ: «architecture: unknown key "bogus". Allowed keys: "layers", "allow", "coverage-gap", "max_expanded_layers"»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	вопреки постановке плана поддерево ЗАКРЫТО
architecture.layers	architecture: {layers: […]}	yaml	—	Analysis\Policy\Architecture\Configuration\LayersValidator	LayersValidator.php:50 ALLOWED_ENTRY_KEYS	—	ОБЪЯВЛЕНА: элемент — запись слоя с закрытым набором из 9 ключей	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.allow	architecture: {allow: {…}}	yaml	—	Analysis\Policy\Architecture\Configuration\ArchitectureConfigurationFactory	словарь = имена объявленных слоёв	ОТКАЗ: «architecture.allow.bogus: unknown layer.»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	ключи проверяются против объявленных слоёв, а не против статического списка
architecture.coverage-gap	architecture: {coverage-gap: …}	yaml	—	Analysis\Policy\Architecture\Configuration\ArchitectureConfigurationFactory	словарь ignore|warn|error	значение bool отказывает рамочно (сосед)	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.max_expanded_layers	architecture: {max_expanded_layers: N}	yaml	—	Analysis\Policy\Architecture\Configuration\ArchitectureConfigurationFactory	ArchitectureConfigurationFactory.php:242 (целое >= 1)	—	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].name	… layers: [{name: …}]	yaml	—	LayersValidator	LayersValidator.php:50	ОТКАЗ на неизвестный ключ записи: «architecture.layers[0]: unknown key(s) "bogus". Allowed keys: "name", "patterns", "suffix", "attributes", "implements", "extends", "match", "exclude", "pending"»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].patterns	… layers: [{patterns: […]}]	yaml	—	LayersValidator	LayersValidator.php:50 + проверка элемента	—	ОБЪЯВЛЕНА: [1] → «"patterns" entry at index 0 must be a non-empty string (got int)»	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].suffix	… layers: [{suffix: …}]	yaml	—	LayersValidator / LayerCriterionNormalizer	LayersValidator.php:53, LayerCriterionNormalizer.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].attributes	… layers: [{attributes: […]}]	yaml	—	LayersValidator	LayersValidator.php:50	—	ОБЪЯВЛЕНА: [1] → «"attributes" entry at index 0 must be a non-empty string (got int)»	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].implements	… layers: [{implements: […]}]	yaml	—	LayersValidator	LayersValidator.php:50	—	ОБЪЯВЛЕНА: [{a:x}] → «must be a non-empty string (got array)»	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].extends	… layers: [{extends: […]}]	yaml	—	LayersValidator	LayersValidator.php:50	—	не проверялась отдельно (тот же валидатор, что implements)	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].match	… layers: [{match: any|all}]	yaml	—	LayersValidator	словарь any|all	ОТКАЗ: «"match" must be one of "any", "all", got array»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude	… layers: [{exclude: {…}}]	yaml	—	Analysis\Policy\Architecture\Configuration\ExcludeBlockValidator	ExcludeBlockValidator.php:59 ALLOWED_EXCLUDE_KEYS	ОТКАЗ: «unknown key(s) "bogus" inside "exclude". Allowed keys: "patterns", "suffix", "attributes", "implements", "extends", "match"»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].pending	… layers: [{pending: bool}]	yaml	—	LayersValidator	LayersValidator.php:50 + проверка bool	—	н/п	PRESERVE_SUBTREE	ENUMERATED	—	«"pending" must be a boolean, got array»
architecture.layers[*].exclude.patterns	… exclude: {patterns: […]}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.suffix	… exclude: {suffix: …}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.attributes	… exclude: {attributes: […]}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.implements	… exclude: {implements: […]}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.extends	… exclude: {extends: […]}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.layers[*].exclude.match	… exclude: {match: any|all}	yaml	—	ExcludeBlockValidator	ExcludeBlockValidator.php:59	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.allow.<layer>	… allow: {<layer>: […]}	yaml	—	ArchitectureConfigurationFactory	имена объявленных слоёв	ОТКАЗ на неизвестный слой	ОБЪЯВЛЕНА: [1] → «each target must be a layer name (string) or a map with a non-empty 'target' key»	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.allow.<layer>[*].target	… allow: {<l>: [{target: …}]}	yaml	—	ArchitectureConfigurationFactory	отказ печатает 'target', 'relations', 'allow_cross_instance'	ОТКАЗ: «unknown long-form key 'bogus'. Allowed keys: 'target', 'relations', 'allow_cross_instance'»	н/п	PRESERVE_SUBTREE	ENUMERATED	—	глубина 4 — предел этого измерения
architecture.allow.<layer>[*].relations	… allow: {<l>: [{relations: …}]}	yaml	—	ArchitectureConfigurationFactory	тот же отказ	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
architecture.allow.<layer>[*].allow_cross_instance	… allow: {<l>: [{allow_cross_instance: …}]}	yaml	—	ArchitectureConfigurationFactory	тот же отказ	—	не проверялась отдельно	PRESERVE_SUBTREE	ENUMERATED	—	
computed_metrics	computed_metrics	yaml	—	Analysis\Evidence\ComputedMetrics\ComputedMetricsConfigResolver	строки ENTRIES НЕТ; корень дописан вручную в associativeRootKeys()/sectionPolicies()	ОТКАЗ на имя: «Computed metric name "totally.new.metric" must be "health.<name>" или "computed.<name>" … lower-case kebab»	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	имена метрик — свободный словарь, но ФОРМА имени объявлена регуляркой
computed_metrics.<name>	computed_metrics: {<name>: {…}}	yaml	—	ComputedMetricEntryKeyRecognition	ComputedMetricEntryKeys.php	ОТКАЗ: «Option "bogus" is not an option of computed metric … Options here: description, enabled, error, formula, formulas, inverted, levels, threshold, warning»	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	девять опций — весь состав второго уровня
computed_metrics.<name>.description	… {description: "…"}	yaml	—	ComputedMetricEntryKeyRecognition	отказ: «must be a string, got int»	—	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	
computed_metrics.<name>.enabled	… {enabled: bool}	yaml	—	ComputedMetricEntryKeyRecognition	отказ: «must be a boolean»	—	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	сосед: `~` здесь ОТКАЗЫВАЕТ, в отличие от соседнего warning
computed_metrics.<name>.error	… {error: N}	yaml	—	ComputedMetricEntryKeyRecognition	отказ по образцу warning/threshold	—	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	
computed_metrics.<name>.formula	… {formula: "…"}	yaml	—	ComputedMetricEntryKeyRecognition	отказ: «must be a string»	—	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	
computed_metrics.<name>.formulas	… {formulas: {<level>: "…"}}	yaml	—	ComputedMetricEntryKeyRecognition	ComputedMetricEntryKeyRecognition.php:40,76,92	ОТКАЗ: «declares a formula for "bogus", which is not a level at all»	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	
computed_metrics.<name>.formulas.<level>	… formulas: {class: "…"}	yaml	—	ComputedMetricEntryKeyRecognition	словарь уровней + «must be a string»	ОТКАЗ: «The "formulas.class" value … must be a string, got int»	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	глубина 4 — предел этого измерения
computed_metrics.<name>.inverted	… {inverted: bool}	yaml	—	ComputedMetricEntryKeyRecognition	отказ: «must be a boolean, got string»	—	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	
computed_metrics.<name>.levels	… {levels: [class, …]}	yaml	—	ComputedMetricShapeRefusalWording.php:56	словарь уровней	ОТКАЗ: карта вместо списка отвергается	ОБЪЯВЛЕНА: [bogus] → «Invalid computed metric level: "bogus"»	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	
computed_metrics.<name>.threshold	… {threshold: N}	yaml	—	ComputedMetricEntryKeyRecognition	отказ: «must be a number or null, got string»	—	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	
computed_metrics.<name>.warning	… {warning: N}	yaml	—	ComputedMetricEntryKeyRecognition	отказ: «must be a number or null»	—	н/п	PRESERVE_IMMEDIATE_CHILDREN	ENUMERATED	—	
exclude_health	exclude_health	both	--exclude-health	Analysis\Evidence\ComputedMetrics\Configuration\ComputedMetricContributionReader / HealthFormulaExcluder	строки ENTRIES НЕТ; корень дописан вручную в listKeys()/sectionPolicies(); ComputedMetricShapeRefusalWording.php:109,114	значение bogus отказывает обеими дверями со списком допустимых измерений	ОБЪЯВЛЕНА: [~]/[true]/[{a:x}] → «exclude_health entries must be strings.» (сосед)	NORMALIZE_TO_CAMEL_CASE	ENUMERATED	—	текст отказа по YAML-двери называет «--exclude-health», то есть говорит про дверь, которой автор не пользовался
